date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-29,36.94,37.7,36.71,30.0888605801,3450300.0,0.0766,0.9037,0.8271,26.8204,29.982,28.4012,69.4875,29.6184,28.608,10.6221,127.5121,10.4755,True
2012-03-01,37.74,37.8,37.16,29.8568539444,1255000.0,0.0647,0.908,0.8432,26.8428,30.1756,28.5092,66.7365,29.6392,28.7379,8.3095,124.1924,10.7813,True
2012-03-02,37.25,37.3,36.33,29.2808374696,1960100.0,0.0095,0.8551,0.8456,26.8916,30.2549,28.5732,60.3781,29.684,28.8163,6.0262,103.3148,7.6769,True
2012-03-05,36.52,36.55,35.29,28.3608111557,2488100.0,-0.0921,0.7305,0.8226,26.9154,30.257,28.5862,51.9137,29.4392,28.8675,3.0158,77.0669,3.9645,False
2012-03-06,34.69,35.48,34.6,28.2488079522,1993600.0,-0.1656,0.6156,0.7812,27.0312,30.2221,28.6266,50.9815,29.1672,28.8942,1.2268,59.9749,1.6011,False
2012-03-07,35.51,35.97,35.26,28.6008180202,1285700.0,-0.1876,0.5467,0.7343,27.1399,30.207,28.6734,53.7765,28.8696,28.9603,3.8395,70.6189,3.1905,False
2012-03-08,36.3,36.82,36.1,29.1368333509,1747800.0,-0.1641,0.5292,0.6933,27.2306,30.2391,28.7348,57.7106,28.7256,29.0371,5.2,87.0206,5.8725,False
2012-03-09,36.52,36.82,36.05,29.4168413595,1330700.0,-0.1292,0.5318,0.661,27.2974,30.3035,28.8004,59.6336,28.7528,29.0856,4.2764,87.4332,5.6974,False
2012-03-12,36.73,36.86,36.1,29.2808374696,872400.0,-0.1152,0.517,0.6322,27.4759,30.2938,28.8848,58.2551,28.9368,29.1582,4.1243,84.8839,5.8241,False
2012-03-13,36.95,37.67,36.875,30.1048610378,1290200.0,-0.0536,0.5652,0.6188,27.5773,30.4179,28.9976,63.702,29.308,29.2734,7.1083,104.4998,8.361,False
2012-03-14,37.6,38.37,37.0,29.6888491393,2228200.0,-0.0444,0.5633,0.6077,27.804,30.3992,29.1016,59.5024,29.5256,29.3379,9.8168,105.4097,10.4802,False
2012-03-15,37.14,37.765,36.89,30.312866987,1624800.0,-0.002,0.6052,0.6072,27.9244,30.5117,29.218,63.3821,29.7609,29.3752,6.8067,106.8688,10.4802,False
2012-03-16,37.84,38.8,37.6704,30.4252557947,2352000.0,0.0263,0.6401,0.6138,27.9341,30.6756,29.3049,64.0468,29.9625,29.4665,8.2996,123.3517,13.5479,True
2012-03-19,37.77,38.16,37.615,30.5537001463,1005800.0,0.0453,0.6704,0.6251,28.049,30.7968,29.4229,64.8285,30.2171,29.5311,6.989,117.3471,13.3365,True
2012-03-20,37.7,38.145,37.5,30.5296168304,1764200.0,0.0476,0.6846,0.637,28.164,30.8971,29.5305,64.5466,30.3021,29.5924,6.6936,114.5459,12.8928,True
2012-03-21,38.09,38.6,37.85,30.7945333056,1360400.0,0.0576,0.709,0.6514,28.2155,31.053,29.6342,66.2752,30.5232,29.6395,6.6387,123.4436,14.2437,True
2012-03-22,38.18,38.34,37.86,30.4653946546,1968000.0,0.0339,0.6938,0.6599,28.2059,31.1338,29.6699,62.2358,30.5537,29.6801,3.2528,114.9044,14.2437,True
2012-03-23,37.81,38.17,37.52,30.5858112342,1486300.0,0.019,0.6836,0.6646,28.2589,31.2337,29.7463,63.117,30.5858,29.7671,2.4102,109.5689,12.8907,True
2012-03-26,38.46,38.85,37.97,31.1798663606,1667800.0,0.0405,0.7152,0.6747,28.2158,31.4363,29.8261,67.1665,30.711,29.955,4.8232,126.5865,14.9396,True
