date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-05,55.73,56.96,55.68,47.6494130153,3951500.0,-0.0999,-1.1804,-1.0806,50.6368,46.9865,48.8117,37.9701,47.5251,48.5844,-7.9062,-144.3552,9.8441,False
2012-06-06,57.38,58.42,57.1375,49.060252174,4011900.0,0.0385,-1.0324,-1.0709,50.5419,47.0042,48.773,46.9326,47.6427,48.5558,-3.2942,-98.6286,5.3755,True
2012-06-07,59.25,59.25,58.675,49.4297576679,4154600.0,0.1566,-0.8752,-1.0318,50.4987,47.0171,48.7579,49.0004,47.9383,48.5413,-0.787,-70.5066,2.9541,True
2012-06-08,58.56,58.88,58.02,49.1526285475,3003700.0,0.2141,-0.7642,-0.9783,50.4839,47.0177,48.7508,47.5127,48.4842,48.5491,-1.5055,-79.2496,4.7113,True
2012-06-11,58.98,59.0,57.18,48.0609077699,3790900.0,0.1781,-0.7556,-0.9337,50.4368,46.9489,48.6928,42.1158,48.6706,48.5256,-0.4219,-92.7039,6.9096,True
2012-06-12,57.24,57.85,57.13,48.1616819955,4460000.0,0.1612,-0.7322,-0.8934,50.3596,46.9035,48.6315,42.7588,48.773,48.4293,-2.2307,-97.5679,7.0395,True
2012-06-13,57.51,57.705,56.75,47.8089722058,3202200.0,0.1278,-0.7337,-0.8615,50.2641,46.8311,48.5476,41.0488,48.5228,48.3173,-3.9371,-100.9888,8.0307,True
2012-06-14,57.13,58.12,57.0,48.5731767501,3059100.0,0.1568,-0.6655,-0.8223,50.1348,46.8529,48.4938,46.057,48.3515,48.2574,-3.3267,-84.7258,6.7663,True
2012-06-15,58.16,59.15,57.83,49.6145104149,3884400.0,0.2407,-0.5214,-0.7621,50.2204,46.8252,48.5228,52.0093,48.4438,48.3184,-0.1604,-57.773,3.7028,True
2012-06-18,58.7,59.13,58.49,49.4465533722,2402000.0,0.2769,-0.416,-0.6929,50.3179,46.831,48.5744,51.0361,48.721,48.3991,0.3564,-52.502,3.7028,True
2012-06-19,59.36,60.32,59.35,50.2443493251,3211800.0,0.3423,-0.265,-0.6073,50.4449,46.7678,48.6063,55.2936,49.1375,48.4786,1.9263,-27.3035,0.2653,True
2012-06-20,60.0,60.1,59.07,50.0428008738,2501400.0,0.358,-0.1598,-0.5178,50.5404,46.7277,48.6341,54.0221,49.5843,48.5833,0.7544,-31.6945,1.0501,True
2012-06-21,59.58,59.83,56.55,47.5822301982,5552800.0,0.1968,-0.2718,-0.4686,50.4578,46.6214,48.5396,41.5308,49.3861,48.5586,1.1838,-76.2828,7.698,True
2012-06-22,57.12,57.81,56.89,48.3380368904,3503700.0,0.1379,-0.2962,-0.4341,50.4402,46.6029,48.5215,45.6655,49.1308,48.6863,-2.6276,-80.3272,7.698,True
2012-06-25,56.8,56.9,56.18,47.4058753034,4308300.0,0.0383,-0.3863,-0.4246,50.4566,46.5033,48.48,41.7629,48.7227,48.7047,-2.3427,-99.8708,9.4703,True
2012-06-26,56.51,57.05,56.11,47.4058753034,4060200.0,-0.0223,-0.4525,-0.4301,50.409,46.3864,48.3977,41.7629,48.155,48.6885,-2.9101,-96.5173,9.0205,False
2012-06-27,56.77,56.77,55.425,46.9187998795,6226700.0,-0.0863,-0.538,-0.4517,50.4313,46.2087,48.32,39.7264,47.5302,48.5457,-2.5742,-106.7568,10.7238,False
