date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-25,32.28,32.51,32.13,23.7405680966,2225500.0,0.5316,0.0751,0.4565,22.7634,23.9782,21.5487,75.1388,23.6513,23.0043,8.9112,190.8936,15.359,True
2012-01-26,32.59,32.67,32.3458,23.8137060143,9069900.0,0.541,0.0675,0.4734,22.8545,24.0972,21.6118,75.9032,23.685,23.1179,8.3223,188.1516,16.1789,True
2012-01-27,32.58,32.73,32.11,23.5430957187,2700000.0,0.5205,0.0377,0.4828,22.9386,24.1274,21.7498,67.6562,23.6674,23.1876,8.6653,164.6591,14.5163,True
2012-01-30,31.65,31.71,31.37,23.3236819655,2695000.0,0.4811,-0.0014,0.4825,23.0011,24.1314,21.8709,61.821,23.6148,23.2413,6.0643,127.1467,11.6093,False
2012-01-31,31.85,31.87,31.32,23.2793544103,2217900.0,0.4412,-0.0331,0.4742,23.064,24.1058,22.0222,60.688,23.5401,23.2754,6.6701,122.2879,12.4746,False
2012-02-01,31.83,31.98,31.63,23.5009921863,2678500.0,0.4225,-0.0414,0.4639,23.1263,24.1149,22.1377,64.2026,23.4922,23.3257,5.1225,130.47,13.0696,False
2012-02-02,31.8399,31.84,31.59,23.3458457431,2581800.0,0.3907,-0.0585,0.4493,23.1881,24.0627,22.3134,60.1682,23.3986,23.3647,5.4862,116.5567,12.7861,False
2012-02-03,32.07,32.27,31.92,23.6044231485,2736200.0,0.382,-0.0538,0.4358,23.2434,24.0753,22.4116,64.1868,23.4109,23.421,5.3558,131.6802,15.1131,False
2012-02-06,31.81,31.89,31.63,23.4381948164,2076700.0,0.3576,-0.0626,0.4202,23.2894,24.055,22.5238,60.0162,23.4338,23.4725,4.2163,108.9375,13.0444,False
2012-02-07,31.66,31.8,31.5,23.4197250018,1614500.0,0.3329,-0.0698,0.4027,23.322,24.0506,22.5934,59.5556,23.4618,23.5126,3.0388,99.9897,12.1258,False
2012-02-08,31.76,31.84,31.5,23.3827853724,2020600.0,0.3068,-0.0768,0.3835,23.3538,24.033,22.6747,58.5918,23.4382,23.5272,2.2988,95.8579,12.3487,False
2012-02-09,31.7,31.75,31.47,23.40494915,1521300.0,0.2846,-0.0791,0.3637,23.3861,24.0083,22.7638,59.0182,23.45,23.5112,2.4659,90.4275,12.1318,False
2012-02-10,31.51,31.6,31.16,23.1315958929,2272300.0,0.2422,-0.0973,0.3394,23.4046,23.9707,22.8385,51.9504,23.3555,23.4779,2.1368,72.4904,9.9021,False
