date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-27,117.0001,120.6,116.84,120.16,2185000.0,3.9359,1.1381,2.7978,125.7444,98.8916,112.318,63.0579,121.516,114.5167,13.1969,152.1189,9.3067,True
2012-01-30,119.0,121.0,117.75,120.1,1067000.0,3.8904,0.8741,3.0163,126.5748,99.3712,112.973,62.9291,121.332,115.4087,12.9469,151.3008,9.594,True
2012-01-31,121.18,121.2,119.12,119.74,1033900.0,3.7817,0.6123,3.1694,127.1788,100.1292,113.654,62.1136,120.66,116.0253,12.6918,149.6469,9.7393,True
2012-02-01,121.17,123.45,119.5,122.42,1564200.0,3.8672,0.5583,3.309,128.0305,100.9255,114.478,65.663,120.648,116.8793,12.2783,165.9034,11.3697,True
2012-02-02,121.75,122.82,120.05,120.52,1867500.0,3.7386,0.3437,3.3949,128.2383,102.3377,115.288,61.3006,120.588,117.5327,16.9158,148.3495,11.3697,True
2012-02-03,121.9,125.0,121.576,124.77,1919800.0,3.9343,0.4315,3.5028,128.9788,103.5512,116.265,66.616,121.51,118.4633,18.6183,172.9839,12.9454,True
2012-02-06,124.76,125.0,123.55,125.0,1038200.0,4.0611,0.4466,3.6144,129.6425,104.7155,117.179,66.8798,122.49,119.678,16.6916,171.2126,12.9454,True
2012-02-07,124.92,127.81,124.18,126.4,1540600.0,4.2258,0.4891,3.7367,130.6577,105.2913,117.9745,68.5028,123.822,121.0173,13.8518,179.8237,14.9607,True
2012-02-08,127.06,127.37,124.35,125.4,1039700.0,4.227,0.3922,3.8348,131.2302,106.2978,118.764,66.0266,124.418,122.1467,12.8666,164.4261,14.9607,True
2012-02-09,126.0,126.0,123.52,125.75,837700.0,4.2076,0.2983,3.9093,131.7616,107.2694,119.5155,66.481,125.464,122.53,12.6509,147.9879,14.1535,True
2012-02-10,124.3,125.759,123.53,124.01,884600.0,4.0057,0.0771,3.9286,131.8847,108.4663,120.1755,62.06,125.312,122.7793,12.536,132.9902,14.1535,True
