date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,59.96,59.97,58.5,14.64,1121800.0,0.0182,0.1222,0.1041,14.1343,14.5053,14.8762,54.7052,14.704,14.5295,3.3966,104.4969,4.5058,True
2012-01-04,58.54,58.55,57.77,14.535,976300.0,0.0033,0.1082,0.1049,14.1441,14.512,14.8799,51.9458,14.6505,14.5387,-0.0683,45.4403,2.3054,True
2012-01-05,57.87,58.95,57.52,14.6725,648300.0,0.0017,0.107,0.1053,14.1511,14.5238,14.8964,55.1219,14.66,14.556,1.2017,60.0905,3.4383,True
2012-01-06,58.7,58.99,58.26,14.6,493100.0,-0.005,0.0991,0.1041,14.1622,14.5329,14.9036,53.1378,14.6265,14.5757,1.9002,70.3397,3.5521,False
2012-01-09,58.47,59.15,58.46,14.7325,568500.0,-0.0014,0.1023,0.1037,14.2017,14.5573,14.9128,56.2233,14.636,14.6038,2.5663,90.5213,4.012,False
2012-01-10,59.19,59.48,59.06,14.7975,804500.0,0.0041,0.1088,0.1047,14.1958,14.564,14.9322,57.6876,14.6675,14.6332,1.0362,117.5764,4.9626,True
2012-01-11,58.92,59.82,58.92,14.93,621500.0,0.0148,0.1233,0.1084,14.1982,14.5906,14.9831,60.5684,14.7465,14.6877,2.204,131.1929,5.9385,True
2012-01-12,60.0,61.17,59.72,15.26,1089700.0,0.0409,0.1595,0.1187,14.1533,14.633,15.1127,66.6308,14.864,14.7345,4.1546,207.1086,9.6837,True
2012-01-13,61.0,61.04,60.33,15.1975,723300.0,0.05,0.1811,0.1312,14.1635,14.6776,15.1918,64.6149,14.9835,14.7738,5.697,199.2567,9.6837,True
2012-01-17,61.15,62.0,61.08,15.315,901600.0,0.0593,0.2053,0.146,14.1725,14.7279,15.2833,66.6474,15.1,14.8172,7.0257,233.0676,12.253,True
2012-01-18,61.22,61.93,61.22,15.47,1072300.0,0.0707,0.2343,0.1637,14.168,14.7835,15.399,69.1518,15.2345,14.8687,6.7575,230.3225,12.253,True
2012-01-19,62.04,62.88,61.55,15.64,854600.0,0.0834,0.268,0.1845,14.2179,14.8599,15.5019,71.6531,15.3765,14.9245,8.4699,250.5361,14.7355,True
2012-01-20,62.62,62.91,62.28,15.66,1010500.0,0.0867,0.2928,0.2062,14.201,14.915,15.629,71.9399,15.4565,14.9935,7.8889,247.3403,14.8129,True
2012-01-23,62.55,63.29,62.3,15.7075,684600.0,0.0853,0.3128,0.2275,14.1926,14.97,15.7474,72.6442,15.5585,15.0562,8.188,236.2292,15.7974,True
2012-01-24,62.44,62.962,62.19,15.73,597000.0,0.0793,0.3266,0.2473,14.1926,15.0233,15.8539,72.9882,15.6415,15.1258,6.5354,212.2089,15.4048,True
2012-01-25,62.69,63.54,62.6,15.85,627300.0,0.0768,0.3433,0.2665,14.1909,15.0809,15.9709,74.7995,15.7175,15.2065,7.9511,225.0656,16.9103,True
2012-01-26,63.6,63.78,62.93,15.815,719900.0,0.0666,0.3497,0.2832,14.1965,15.1315,16.0665,73.2643,15.7525,15.2918,7.4823,221.7769,17.53,True
2012-01-27,63.25,63.6,62.94,15.7625,669700.0,0.0507,0.3466,0.2958,14.2452,15.1884,16.1315,70.9248,15.773,15.3645,7.1609,202.4667,17.53,True
2012-01-30,62.37,62.7489,62.18,15.6525,522900.0,0.0284,0.3313,0.3029,14.2896,15.2326,16.1757,66.1807,15.762,15.4347,6.1921,162.65,14.7276,True
2012-01-31,62.77,63.3,62.44,15.7225,578200.0,0.0146,0.3212,0.3066,14.3536,15.2845,16.2154,67.6558,15.7605,15.5007,6.8896,166.8908,16.201,True
2012-02-01,63.5,64.06,63.34,15.9625,487600.0,0.0178,0.3288,0.311,14.4244,15.3506,16.2769,72.1225,15.783,15.5783,6.8201,187.1091,18.1837,True
2012-02-02,63.8,64.37,63.04,15.7775,1471400.0,0.0041,0.3162,0.3121,14.5491,15.4128,16.2764,64.7387,15.7755,15.6348,9.9402,166.2265,18.9789,True
2012-02-03,64.04,66.06,64.04,16.47,1735800.0,0.0367,0.358,0.3213,14.5929,15.5026,16.4123,75.0026,15.917,15.7155,12.0611,211.8586,23.1212,True
2012-02-06,65.25,65.51,64.89,16.3025,779500.0,0.0416,0.3733,0.3317,14.7139,15.5878,16.4616,69.7417,16.047,15.7892,11.0527,191.1217,23.1212,True
2012-02-07,64.87,65.03,64.69,16.2325,743600.0,0.035,0.3754,0.3404,14.8394,15.6628,16.4861,67.618,16.149,15.8503,9.9408,168.6273,22.3556,True
2012-02-08,64.75,65.01,64.64,16.22375,879600.0,0.0254,0.3722,0.3468,14.9785,15.7341,16.4896,67.3433,16.2013,15.9006,9.2972,156.6963,22.1625,True
2012-02-09,64.88,65.0,64.26,16.2225,547600.0,0.0148,0.3652,0.3505,15.1113,15.7987,16.4861,67.3015,16.2903,15.9394,8.6593,143.5782,20.6901,True
2012-02-10,64.35,64.46,63.71,16.0575,743600.0,-0.0064,0.3425,0.3489,15.1893,15.8386,16.4878,61.8653,16.2078,15.9659,5.3785,120.8592,18.5863,False
2012-02-13,64.75,65.2,64.32,16.235,496800.0,-0.0112,0.3349,0.3461,15.2904,15.8904,16.4904,65.1132,16.1943,16.0011,6.8152,131.1472,20.4828,False
2012-02-14,64.73,65.52,64.58,16.3425,735400.0,-0.0099,0.3337,0.3436,15.3725,15.9418,16.5111,66.9403,16.2163,16.0419,5.6774,132.1377,21.2892,False
2012-02-15,65.37,65.54,64.585,16.1625,693400.0,-0.0232,0.3147,0.3378,15.443,15.9764,16.5098,61.1911,16.204,16.0627,5.8292,120.3254,21.3399,False
2012-02-16,64.91,65.45,64.855,16.305,680600.0,-0.0243,0.3075,0.3318,15.4814,16.0097,16.5379,63.8263,16.2205,16.0954,4.0872,120.4572,21.3399,False
2012-02-17,65.33,65.5,64.84,16.2775,1064200.0,-0.0285,0.2962,0.3246,15.5257,16.0406,16.5555,62.9426,16.2645,16.1297,4.117,114.7661,21.4706,False
2012-02-21,65.34,65.57,65.05,16.3275,777900.0,-0.0294,0.2879,0.3173,15.566,16.0716,16.5771,63.9159,16.283,16.1747,3.6025,113.7942,21.6561,False
2012-02-22,65.13,65.51,65.06,16.3175,626500.0,-0.0319,0.2774,0.3093,15.6101,16.1009,16.5917,63.5582,16.278,16.2144,4.0469,109.159,21.6561,False
2012-02-23,65.27,65.9375,65.17,16.46,460800.0,-0.0256,0.2773,0.3029,15.6311,16.1314,16.6318,66.4269,16.3375,16.2476,3.7732,113.6869,22.8073,False
2012-02-24,66.0,67.0,65.71,16.7175,1073800.0,-0.0066,0.2947,0.3013,15.6372,16.1766,16.7159,70.867,16.42,16.3102,5.0486,128.872,25.5717,False
2012-02-27,66.14,66.77,65.83,16.62,807300.0,-0.0033,0.2971,0.3004,15.6823,16.2194,16.7566,67.2584,16.4885,16.3202,4.9843,120.5952,25.5717,False
2012-02-28,66.41,66.87,66.07,16.635,626000.0,-0.0029,0.2969,0.2997,15.7694,16.2686,16.7677,67.5309,16.55,16.3424,6.5676,119.0594,25.8303,False
2012-02-29,66.4,66.74,66.15,16.575,862400.0,-0.009,0.2885,0.2975,15.8628,16.3112,16.7596,65.2049,16.6015,16.3652,5.4344,112.8204,25.8303,False
2012-03-01,66.52,66.795,66.08,16.68,1002200.0,-0.0084,0.287,0.2954,15.9012,16.3471,16.7929,67.3157,16.6455,16.3957,4.2694,111.9121,25.5146,False
2012-03-02,66.61,66.93,66.32,16.6025,754600.0,-0.0152,0.2764,0.2916,16.014,16.3883,16.7627,64.2341,16.6225,16.421,3.977,108.664,25.8793,False
2012-03-05,66.25,66.58,66.07,16.635,719000.0,-0.0193,0.2675,0.2868,16.0084,16.3966,16.7848,64.9549,16.6255,16.4595,0.7872,101.8152,24.7294,False
2012-03-06,66.04,66.67,65.81,16.525,856000.0,-0.0304,0.2487,0.2792,16.0182,16.4077,16.7972,60.5309,16.6035,16.4788,1.7707,94.4968,23.5358,False
2012-03-07,66.18,66.99,65.91,16.71,889600.0,-0.0266,0.246,0.2725,16.0296,16.4316,16.8336,64.8454,16.6305,16.5033,3.014,100.5374,24.4408,False
2012-03-08,67.0,68.0,66.96,16.97,846500.0,-0.0086,0.2617,0.2704,16.0157,16.4689,16.9221,69.8141,16.6885,16.5572,4.5993,120.5031,27.2061,False
2012-03-09,67.95,68.19,67.55,16.9925,599100.0,0.002,0.2729,0.2709,16.0153,16.5074,16.9995,70.2045,16.7665,16.603,4.9077,123.7085,27.7122,True
2012-03-12,68.02,68.36,67.51,17.0525,622000.0,0.0099,0.2833,0.2733,16.0559,16.5571,17.0583,71.2664,16.85,16.6547,6.0503,123.1622,28.1666,True
2012-03-13,68.46,68.88,68.06,17.2175,795900.0,0.0224,0.3014,0.279,16.0513,16.6063,17.1612,73.9971,16.9885,16.714,5.6442,132.7323,29.5444,True
2012-03-14,68.86,69.47,68.65,17.3225,874000.0,0.0332,0.3205,0.2873,16.0331,16.6553,17.2774,75.5794,17.111,16.781,6.0287,140.8136,31.0699,True
2012-03-15,69.31,69.6,68.71,17.36,883200.0,0.038,0.3348,0.2968,16.0643,16.7151,17.3659,76.1351,17.189,16.841,6.1947,139.5326,31.4027,True
2012-03-16,69.25,69.39,68.88,17.2925,1146500.0,0.0321,0.3368,0.3048,16.0961,16.7645,17.4329,72.9344,17.249,16.8793,6.0199,133.4966,31.4027,True
2012-03-19,68.87,69.15,68.48,17.23,840900.0,0.0198,0.3296,0.3097,16.1536,16.8121,17.4706,70.0143,17.2845,16.92,5.5725,122.9786,29.4144,True
2012-03-20,68.73,68.82,68.34,17.1925,374700.0,0.0059,0.3172,0.3112,16.2165,16.8554,17.4942,68.2575,17.2795,16.9572,4.9565,114.9344,28.7211,True
2012-03-21,68.57,69.19,68.57,17.2475,434300.0,-0.0024,0.3082,0.3106,16.2917,16.9019,17.5121,69.4616,17.2645,17.002,5.6175,118.0954,29.7328,False
2012-03-22,68.71,69.18,68.45,17.25,467300.0,-0.0102,0.2979,0.3081,16.3487,16.9414,17.5341,69.5179,17.2425,17.04,4.9175,114.2503,29.1283,False
2012-03-23,68.89,69.34,68.57,17.315,424700.0,-0.0132,0.2916,0.3048,16.3666,16.9713,17.5759,71.0073,17.247,17.0875,3.4925,115.6282,29.5733,False
2012-03-26,69.59,69.96,69.56,17.49,764400.0,-0.006,0.2973,0.3033,16.3925,17.0148,17.637,74.5889,17.299,17.1445,4.7776,131.3612,31.2736,False
2012-03-27,70.0,70.0,69.59,17.425,520900.0,-0.0081,0.2932,0.3013,16.4331,17.0543,17.6754,71.0938,17.3455,17.2045,4.6807,127.3122,31.3823,False
2012-03-28,69.75,69.76,69.19,17.3725,478800.0,-0.0151,0.2824,0.2975,16.4994,17.0941,17.6889,68.3233,17.3705,17.2487,4.525,118.1302,29.3027,False
2012-03-29,69.18,69.7,69.09,17.3975,569800.0,-0.0198,0.2728,0.2925,16.5532,17.13,17.7068,68.9408,17.4,17.2772,4.3491,115.0229,28.7844,False
2012-03-30,70.0,70.0,69.38,17.3475,633200.0,-0.0275,0.2581,0.2857,16.6372,17.1673,17.6973,66.1764,17.4065,17.3008,4.5869,116.0966,29.6447,False
2012-04-02,69.32,70.54,69.275,17.6025,653200.0,-0.0173,0.264,0.2813,16.7128,17.2156,17.7185,72.2556,17.429,17.3375,5.9477,125.2442,31.1668,False
2012-04-03,70.45,70.67,69.64,17.555,678500.0,-0.0156,0.2619,0.2774,16.855,17.2671,17.6793,69.7534,17.455,17.36,5.9997,124.184,31.5295,False
2012-04-04,69.71,69.88,69.2,17.3025,872600.0,-0.0323,0.2371,0.2694,16.9734,17.2968,17.6201,58.2624,17.441,17.3587,4.3141,100.9784,29.1867,False
2012-04-05,68.74,69.55,68.74,17.335,911200.0,-0.0415,0.2175,0.259,17.0284,17.315,17.6016,59.1896,17.4285,17.357,2.2794,92.2862,26.7858,False
2012-04-09,68.57,68.93,68.3,17.1925,499400.0,-0.0565,0.1883,0.2449,17.0721,17.325,17.5779,53.5965,17.3975,17.3503,1.0852,74.7613,24.5345,False
2012-04-10,68.47,68.68,67.55,16.8975,925000.0,-0.084,0.1398,0.2238,17.025,17.3173,17.6095,44.3095,17.2565,17.3282,0.4681,51.6373,20.8156,False
2012-04-11,68.09,68.52,67.95,17.0875,544500.0,-0.0868,0.1153,0.2021,17.0045,17.3108,17.617,50.2574,17.163,17.3212,-0.5226,59.6026,20.8156,False
2012-04-12,68.7,69.19,68.36,17.2775,533900.0,-0.0737,0.11,0.1837,17.0019,17.3085,17.6151,55.365,17.158,17.3232,-0.4031,76.2268,22.9416,False
2012-04-13,68.87,68.94,68.48,17.125,618800.0,-0.073,0.0924,0.1655,16.9811,17.2968,17.6124,50.8728,17.116,17.3148,-0.9483,66.0636,22.9416,False
2012-04-16,68.66,68.91,68.21,17.185,628600.0,-0.0665,0.0824,0.1489,16.972,17.2914,17.6108,52.4976,17.1145,17.3062,-0.6917,62.8567,21.5812,False
2012-04-17,69.0,70.44,68.77,17.5075,881700.0,-0.0396,0.0993,0.1389,16.9739,17.3053,17.6366,60.0974,17.2365,17.3073,1.8655,96.0184,26.2819,False
2012-04-18,69.57,70.05,69.2,17.305,701800.0,-0.0349,0.0953,0.1302,16.9835,17.3109,17.6382,54.2575,17.28,17.2993,1.7873,84.7606,26.2819,False
2012-04-19,68.97,69.67,68.29,17.1825,595600.0,-0.0392,0.0813,0.1204,16.9766,17.3076,17.6387,51.0427,17.261,17.2867,0.6937,62.9822,21.7913,False
2012-04-20,69.13,69.61,68.74,17.23,653000.0,-0.0378,0.0731,0.111,16.9747,17.3066,17.6385,52.2188,17.282,17.2755,0.6216,67.2723,21.7913,False
2012-04-23,68.55,69.11,67.88,17.25,824800.0,-0.0347,0.0675,0.1023,16.9706,17.3034,17.6361,52.7312,17.295,17.269,-0.3317,50.8124,17.7005,False
2012-04-24,69.21,69.58,68.78,17.2625,598900.0,-0.0311,0.0634,0.0945,16.9702,17.292,17.6138,53.0681,17.246,17.2463,-0.5432,65.3952,19.2087,False
2012-04-25,69.51,69.7999,69.0599,17.33,518500.0,-0.0238,0.0648,0.0886,16.9706,17.2873,17.6039,54.9271,17.251,17.2313,-0.2859,72.8196,19.907,False
2012-04-26,69.04,70.26,69.0,17.5175,640400.0,-0.0068,0.0801,0.0869,16.9641,17.2945,17.6249,59.6804,17.318,17.2457,0.7167,85.3547,21.3535,False
2012-04-27,70.11,70.9,70.11,17.6675,669800.0,0.013,0.1032,0.0901,16.9417,17.308,17.6743,63.0228,17.4055,17.2678,1.7217,113.0721,23.3127,True
2012-04-30,70.49,70.69,70.17,17.5725,451100.0,0.0179,0.1125,0.0946,16.9354,17.3193,17.7031,59.6664,17.47,17.2932,0.9857,104.5849,23.3127,True
2012-05-01,70.65,71.74,70.37,17.6875,941100.0,0.0264,0.1277,0.1012,16.9256,17.3235,17.7214,62.2724,17.555,17.3458,1.7012,124.29,26.4225,True
2012-05-02,68.0,69.97,68.0,17.4575,1245700.0,0.0148,0.1197,0.1049,16.9299,17.3186,17.7074,54.6992,17.5805,17.3705,-0.9905,55.1257,15.6567,True
2012-05-03,69.69,69.84,69.01,17.2675,638400.0,-0.0063,0.097,0.1033,16.9276,17.3169,17.7062,49.3836,17.5305,17.3698,-0.0572,55.286,15.6567,False
2012-05-04,68.42,68.64,67.51,16.8775,755600.0,-0.0451,0.047,0.0921,16.8604,17.294,17.7276,40.6877,17.3725,17.3533,-1.3084,-7.1548,9.5504,False
2012-05-07,67.26,67.62,66.9,16.765,702100.0,-0.075,-0.0017,0.0733,16.7826,17.2726,17.7626,38.5877,17.211,17.3253,-1.9005,-40.8031,7.2095,False
2012-05-08,66.92,66.94,65.89,16.635,1235900.0,-0.0988,-0.0502,0.0486,16.7186,17.2595,17.8004,36.2699,17.0005,17.2672,-2.5335,-78.5538,3.4861,False
2012-05-09,65.77,66.6,65.44,16.57,878300.0,-0.1131,-0.0928,0.0203,16.6179,17.2336,17.8493,35.1393,16.823,17.2182,-2.8021,-97.7706,1.8829,False
2012-05-10,66.59,66.97,66.33,16.6175,700000.0,-0.1133,-0.1213,-0.008,16.5296,17.2006,17.8716,36.6847,16.693,17.1805,-3.2086,-77.3866,3.1376,False
2012-05-11,66.28,67.33,66.02,16.64,755700.0,-0.106,-0.1405,-0.0345,16.4625,17.1764,17.8902,37.4412,16.6455,17.1412,-2.3354,-78.4686,4.348,False
2012-05-14,65.97,66.45,65.54,16.51,595200.0,-0.1039,-0.1643,-0.0605,16.372,17.1426,17.9132,34.8626,16.5945,17.0918,-3.5699,-111.9611,2.6095,False
2012-05-15,66.02,66.82,65.79,16.545,799300.0,-0.0943,-0.1783,-0.084,16.3012,17.0945,17.8878,36.1314,16.5765,17.044,-5.1391,-101.7757,3.865,False
2012-05-16,66.33,66.71,65.83,16.49,876700.0,-0.0861,-0.1916,-0.1055,16.2249,17.0538,17.8826,34.9841,16.5605,16.988,-4.768,-108.9455,3.865,False
2012-05-17,66.11,66.16,65.33,16.3325,719600.0,-0.0855,-0.2124,-0.1269,16.1278,17.0113,17.8947,31.8781,16.5035,16.909,-5.038,-139.2293,2.0268,False
2012-05-18,65.73,65.7391,64.54,16.1525,646300.0,-0.091,-0.2407,-0.1497,16.0051,16.9574,17.9096,28.7524,16.406,16.808,-5.5608,-170.6147,0.7943,False
2012-05-21,65.0,66.02,64.48,16.495,773700.0,-0.0664,-0.2327,-0.1663,15.957,16.9196,17.8823,40.622,16.403,16.7362,-4.4711,-139.8872,0.2035,False
2012-05-22,66.03,66.64,65.82,16.5575,544400.0,-0.0421,-0.2189,-0.1768,15.9229,16.8844,17.8459,42.4951,16.4055,16.6608,-4.2254,-101.8723,2.3728,False
2012-05-23,66.03,66.88,65.54,16.675,653000.0,-0.0155,-0.1961,-0.1807,15.9086,16.8516,17.7946,45.9307,16.4425,16.6087,-4.1832,-94.276,1.3609,False
2012-05-24,66.68,67.14,66.36,16.74,746900.0,0.0078,-0.1709,-0.1787,15.92,16.8128,17.7055,47.7798,16.524,16.5735,-4.4406,-72.3323,2.2731,True
2012-05-25,66.47,67.335,66.47,16.7925,538400.0,0.027,-0.145,-0.172,15.9669,16.769,17.5711,49.2809,16.652,16.5678,-5.0282,-64.3727,2.9575,True
2012-05-29,67.74,68.0,66.96,16.905,615400.0,0.0463,-0.1141,-0.1604,16.0191,16.7356,17.4522,52.4209,16.734,16.5772,-3.8053,-38.1378,5.2588,True
2012-05-30,67.22,67.22,66.57,16.675,658900.0,0.0428,-0.1069,-0.1497,16.1169,16.685,17.2531,46.1609,16.7575,16.5798,-6.3005,-75.5876,3.7909,True
2012-05-31,66.61,67.86,66.31,16.8575,1286000.0,0.0513,-0.0855,-0.1369,16.2015,16.655,17.1085,51.1231,16.794,16.599,-3.0156,-57.8427,5.9791,True
2012-06-01,66.24,66.83,65.55,16.395,837400.0,0.0258,-0.1047,-0.1304,16.2418,16.6114,16.9809,40.89,16.725,16.5842,-4.3099,-121.3013,3.146,True
2012-06-04,65.97,66.48,65.64,16.6025,836700.0,0.0228,-0.1019,-0.1247,16.2488,16.5976,16.9464,46.0783,16.687,16.5817,-3.1469,-107.4605,3.146,True
2012-06-05,66.43,67.25,66.14,16.7825,738500.0,0.0324,-0.0843,-0.1166,16.2479,16.5985,16.9491,50.1454,16.6625,16.5998,-0.5472,-70.8778,5.785,True
2012-06-06,67.53,68.54,67.53,17.1175,983400.0,0.0591,-0.0427,-0.1019,16.2053,16.6226,17.04,56.6633,16.751,16.638,2.3902,-2.4859,9.9645,True
2012-06-07,69.3,69.41,68.27,17.1175,845600.0,0.0737,-0.0097,-0.0834,16.1814,16.65,17.1186,56.6633,16.803,16.6798,4.2192,24.8986,12.623,True
2012-06-08,68.34,69.15,68.15,17.275,732500.0,0.0898,0.0288,-0.061,16.1414,16.6829,17.2243,59.5197,16.979,16.7427,3.2552,29.5546,12.1585,True
2012-06-11,69.49,69.69,68.33,17.1125,555600.0,0.0854,0.0457,-0.0396,16.1342,16.7065,17.2788,55.4776,17.081,16.8067,3.5051,31.2558,13.7858,True
2012-06-12,68.5,69.1,68.36,17.275,592800.0,0.0888,0.0714,-0.0174,16.1295,16.7448,17.36,58.4974,17.1795,16.8587,3.988,33.1567,13.7858,True
2012-06-13,68.86,69.45,68.25,17.115,577900.0,0.0763,0.078,0.0017,16.145,16.7733,17.4015,54.5912,17.179,16.8958,3.9359,26.4028,14.8433,True
2012-06-14,68.71,70.3,68.6,17.4325,779700.0,0.0847,0.1075,0.0228,16.1445,16.8204,17.4962,60.2366,17.242,16.9463,5.3815,67.6687,17.3471,True
2012-06-15,70.02,71.0,69.72,17.7175,1514200.0,0.1035,0.1522,0.0487,16.1474,16.8896,17.6319,64.4833,17.3305,17.0115,7.3156,115.0493,19.3334,True
2012-06-18,71.74,71.74,69.93,17.59,1030700.0,0.1013,0.1753,0.074,16.2406,16.9615,17.6824,61.3431,17.426,17.0647,9.1284,118.7557,21.3651,True
2012-06-19,70.78,71.37,70.16,17.7025,950100.0,0.1011,0.2004,0.0993,16.266,17.0219,17.7778,63.0444,17.5115,17.1178,8.1036,120.3139,21.3651,True
