date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-30,38.92,39.2,38.73,31.0562103899,2322400.0,0.0588,0.8609,0.8021,32.5453,30.0597,27.574,62.9729,31.3661,30.5524,8.8889,149.3685,16.153,True
2012-01-31,39.35,39.54,38.98,31.0959445383,2492700.0,0.0138,0.8193,0.8055,32.5998,30.1928,27.7858,63.2791,31.2517,30.6864,9.4988,151.1249,17.2304,True
2012-02-01,39.46,39.86,39.2,31.2707747912,3186300.0,-0.0114,0.7913,0.8027,32.6634,30.3247,27.986,64.6571,31.1834,30.8236,8.5808,153.6706,18.236,False
2012-02-02,39.43,39.82,39.27,31.2628279615,2300900.0,-0.0344,0.7597,0.7941,32.6885,30.4582,28.2279,64.5391,31.1929,30.9524,10.3659,146.6258,18.236,False
2012-02-03,39.78,40.16,39.62,31.8508933579,3688000.0,-0.0167,0.7732,0.7899,32.7734,30.6148,28.4561,69.0197,31.3073,31.0991,10.878,158.4563,19.3132,False
2012-02-06,39.85,39.86,39.45,31.4456050442,3152900.0,-0.0378,0.7426,0.7804,32.7209,30.7606,28.8003,63.1296,31.3852,31.2554,10.0497,137.5749,18.5193,False
2012-02-07,39.35,39.79,39.24,31.525073341,2013400.0,-0.0511,0.7165,0.7677,32.7098,30.8826,29.0553,63.779,31.471,31.3947,8.4492,128.2712,17.5368,False
2012-02-08,39.67,40.28,39.6,31.6999035939,2361900.0,-0.0526,0.7019,0.7545,32.6959,31.0069,29.3179,65.2228,31.5569,31.4339,8.9237,134.6291,19.1276,False
2012-02-09,39.98,40.16,39.7498,31.8667870172,2520400.0,-0.047,0.6957,0.7428,32.6748,31.1337,29.5926,66.585,31.6777,31.4567,8.5405,129.9145,19.1276,False
2012-02-10,39.74,39.74,39.31,31.3581899177,2381100.0,-0.0803,0.6424,0.7227,32.6031,31.2191,29.8351,59.0344,31.5791,31.4398,6.0016,106.1003,17.0319,False
2012-02-13,39.74,39.8,38.98,31.3899772364,2056500.0,-0.1015,0.5959,0.6973,32.3194,31.3336,30.3477,59.3431,31.568,31.4398,7.2487,98.6195,15.4817,False
2012-02-14,39.23,39.52,39.07,31.3343494287,2109800.0,-0.1193,0.5481,0.6675,31.8921,31.4285,30.9649,58.5163,31.5298,31.4175,6.008,91.4972,15.4817,False
2012-02-15,39.64,40.04,39.47,31.4853391926,2222300.0,-0.1207,0.5166,0.6373,31.8878,31.4472,31.0066,60.1318,31.4869,31.409,1.4956,99.4406,17.2676,False
2012-02-16,39.69,40.51,39.65,32.0734045889,3169300.0,-0.0836,0.5328,0.6164,31.9926,31.4746,30.9566,65.7051,31.5283,31.4663,1.9119,109.5972,18.8438,False
2012-02-17,40.82,40.83,40.24,32.121085567,2035100.0,-0.0585,0.5433,0.6018,32.0879,31.5,30.9122,66.1166,31.6808,31.5224,2.4849,114.7023,19.9004,False
2012-02-21,40.7,40.7,40.08,31.9383084844,2088000.0,-0.0568,0.5308,0.5876,32.1427,31.5275,30.9122,63.0114,31.7905,31.5812,1.8519,104.8443,19.1119,False
2012-02-22,39.74,40.37,39.61,31.6442757862,3278600.0,-0.0769,0.4914,0.5684,32.1405,31.5263,30.912,58.2927,31.8525,31.6178,1.0008,89.1779,16.8168,False
2012-02-23,39.86,40.17,39.06,31.2548811319,6144100.0,-0.1155,0.4239,0.5395,32.1323,31.5084,30.8845,52.6936,31.8064,31.6167,0.803,73.2501,14.1983,False
2012-02-24,39.46,39.46,38.65,30.8734333072,4719500.0,-0.1629,0.3358,0.4987,32.1633,31.4913,30.8193,47.8679,31.5664,31.5908,-2.2784,53.7155,12.2902,False
2012-02-27,38.63,39.23,38.41,30.8495928182,3258500.0,-0.1902,0.261,0.4512,32.193,31.4698,30.7466,47.5761,31.3121,31.524,-0.8843,46.0444,11.1842,False
2012-02-28,38.95,39.7,38.8204,31.4456050442,2687400.0,-0.1633,0.247,0.4104,32.1874,31.4893,30.7912,54.9338,31.2136,31.524,1.2755,61.8791,12.8928,False
2012-02-29,39.72,39.77,39.15,31.1595191757,2958500.0,-0.16,0.2104,0.3704,32.184,31.4925,30.801,51.2356,31.1166,31.4996,0.5817,60.2109,13.1458,False
2012-03-01,39.32,39.46,38.84,31.1118381976,2693700.0,-0.1559,0.1755,0.3314,32.1896,31.4845,30.7795,50.627,31.088,31.4604,-1.0035,50.8256,11.6846,False
2012-03-02,38.99,39.27,38.59,30.7224435433,2334100.0,-0.173,0.1151,0.2881,32.2324,31.4575,30.6826,45.8603,31.0578,31.3841,-1.3812,38.9335,10.5141,False
2012-03-05,38.55,38.63,37.69,30.1661654657,2673600.0,-0.2128,0.0221,0.2349,32.3085,31.3733,30.4381,40.0838,30.9211,31.3047,-3.8098,12.4462,6.4304,False
