date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-14,49.09,49.625,48.91,31.113096339,2035700.0,0.4236,0.1927,-0.2308,31.9204,32.9526,30.8882,48.1766,31.3916,31.9227,1.2755,37.6901,9.1953,False
2012-02-15,49.82,50.38,49.26,30.9437306936,2371700.0,0.364,0.126,-0.2381,31.8988,32.992,30.8055,46.8389,31.142,31.8428,0.2089,45.7152,11.1151,False
2012-02-16,49.14,50.84,49.0301,32.0101069795,2691200.0,0.3227,0.1573,-0.1654,31.8988,32.992,30.8055,55.2261,31.1746,31.875,-0.5032,74.3521,13.1219,False
2012-02-17,51.0,51.13,49.91,31.6879847506,2273900.0,0.289,0.1544,-0.1347,31.8679,32.9484,30.7875,52.5431,31.3134,31.7992,-0.994,80.3246,13.8341,False
2012-02-21,48.96,49.28,48.03,30.4500248121,3832000.0,0.2415,0.0516,-0.19,31.8043,33.0489,30.5598,43.7845,31.241,31.6935,-3.6498,7.531,7.9974,False
2012-02-22,48.12,48.495,47.98,30.5068699114,2945500.0,0.1882,-0.025,-0.2133,31.722,33.0762,30.3677,44.2417,31.1197,31.59,-4.8706,-6.2271,7.8478,False
2012-02-23,48.4,48.75,47.96,30.6647729647,2177400.0,0.1361,-0.0722,-0.2083,31.6481,33.0625,30.2337,45.5597,31.064,31.4725,-4.6861,-4.1197,8.505,False
2012-02-24,48.63,48.98,47.64,30.1594831939,2469100.0,0.0792,-0.1486,-0.2278,31.5797,33.136,30.0234,42.1443,30.6938,31.3282,-5.3574,-21.7019,7.5264,False
2012-02-27,47.67,48.75,47.29,30.4752893007,2129000.0,0.027,-0.1816,-0.2086,31.4622,32.9789,29.9455,44.9098,30.4513,31.1861,-7.4709,-28.3001,6.4585,False
2012-02-28,48.34,49.3,48.14,30.9868951936,1983200.0,-0.0113,-0.1645,-0.1533,31.4098,32.9161,29.9035,49.1304,30.5587,31.1263,-4.4457,4.4912,7.9199,False
2012-02-29,49.09,49.3,48.23,30.5637150106,2748600.0,-0.0456,-0.1831,-0.1374,31.335,32.8532,29.8167,46.0067,30.57,31.0271,-4.132,-7.1851,7.9199,False
2012-03-01,48.53,48.87,47.89,30.3679152244,2343400.0,-0.0787,-0.2111,-0.1324,31.232,32.719,29.745,44.6009,30.5107,30.9055,-5.6424,-27.0595,6.8527,False
2012-03-02,47.95,48.27,47.64,30.1594831939,1925900.0,-0.1125,-0.2473,-0.1349,31.1238,32.5921,29.6555,43.0989,30.5107,30.793,-6.514,-47.4287,6.0683,False
2012-03-05,47.63,47.7,46.58,29.6857740338,2949800.0,-0.1521,-0.3107,-0.1586,30.9778,32.4077,29.5478,39.8324,30.3528,30.7058,-8.148,-85.7314,2.814,False
2012-03-06,46.79,47.48,46.66,29.8942060643,3634500.0,-0.1897,-0.3401,-0.1504,30.8783,32.3189,29.4376,41.908,30.1342,30.6446,-7.5103,-80.2217,2.814,False
2012-03-07,47.53,47.81,47.19,30.0836897283,2430900.0,-0.2206,-0.3442,-0.1236,30.7799,32.154,29.4058,43.7965,30.0382,30.576,-5.9578,-59.9722,3.7646,False
2012-03-08,47.9,48.03,47.525,30.2858056366,2831900.0,-0.242,-0.3274,-0.0854,30.6846,31.91,29.4591,45.8098,30.0218,30.5321,-6.4932,-44.9284,4.3986,False
2012-03-09,48.11,49.55,48.1,31.239540079,3807600.0,-0.2404,-0.2343,0.0061,30.6542,31.7897,29.5187,54.1193,30.2378,30.4808,-3.1219,13.6169,8.628,True
2012-03-12,49.29,49.96,48.94,31.4669204759,2896100.0,-0.2205,-0.1407,0.0798,30.6779,31.8595,29.4963,55.8487,30.594,30.466,-0.0893,38.7501,9.7235,True
2012-03-13,50.0,50.64,49.72,31.9469457581,3488500.0,-0.1819,-0.0274,0.1545,30.7346,32.0391,29.4301,59.3171,31.0046,30.5658,1.7759,73.4682,11.513,True
