date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-06,34.88,34.96,34.65,34.84,169600.0,-0.832,-0.0035,-0.8285,33.3134,36.0025,38.6916,39.2109,35.144,35.6867,-10.531,-144.0388,17.7412,False
2012-07-09,34.94,35.44,34.36,35.37,423800.0,-0.7702,0.0467,-0.8168,33.2533,35.9375,38.6217,43.513,35.21,35.548,-3.5646,-126.2693,15.5966,True
2012-07-10,35.44,36.0,34.95,35.29,240300.0,-0.7193,0.078,-0.7973,33.1916,35.873,38.5544,43.0206,35.278,35.372,-2.439,-105.3839,13.1514,True
2012-07-11,35.19,35.74,35.04,35.68,359600.0,-0.6402,0.1257,-0.7659,33.1749,35.8075,38.4401,46.2005,35.294,35.202,-3.6138,-97.7145,13.1514,True
2012-07-12,35.43,36.35,34.94,36.14,572000.0,-0.5342,0.1854,-0.7196,33.1964,35.753,38.3096,49.7448,35.464,35.1053,-3.0408,-80.5605,10.5179,True
2012-07-13,36.05,36.69,35.5,36.47,348400.0,-0.4188,0.2406,-0.6594,33.2294,35.7125,38.1956,52.167,35.79,35.106,-2.2645,-60.9104,9.0789,True
2012-07-16,36.47,36.47,35.9,35.96,231200.0,-0.3642,0.2361,-0.6004,33.2817,35.638,37.9943,48.3114,35.908,35.17,-3.1856,-63.2076,9.0789,True
2012-07-17,36.18,36.8,35.95,36.44,365000.0,-0.279,0.2571,-0.5361,33.4169,35.5635,37.7101,51.8965,36.138,35.304,-3.3613,-49.5089,7.6716,True
2012-07-18,36.33,36.75,36.081,36.28,255500.0,-0.2219,0.2514,-0.4733,33.6631,35.466,37.2689,50.642,36.258,35.43,-4.2969,-48.9403,7.6716,True
2012-07-19,36.25,36.472,36.17,36.34,178800.0,-0.1698,0.2428,-0.4126,33.827,35.4035,36.98,51.1168,36.298,35.58,-4.7977,-48.958,7.6716,True
2012-07-20,36.0,36.34,35.69,36.01,413600.0,-0.1534,0.2073,-0.3607,33.8533,35.381,36.9087,48.3748,36.206,35.7133,-3.7606,-59.754,9.4585,True
2012-07-23,35.58,35.72,34.82,35.48,200100.0,-0.1811,0.1437,-0.3248,33.887,35.405,36.923,44.2869,36.11,35.7427,-2.5375,-84.998,12.5772,True
2012-07-24,35.5,35.5,35.19,35.47,256700.0,-0.2015,0.0987,-0.3001,34.0064,35.457,36.9076,44.2114,35.916,35.7773,1.1396,-80.6329,12.5772,True
2012-07-25,35.52,36.06,35.36,35.77,330000.0,-0.1912,0.0871,-0.2783,34.1559,35.526,36.8961,47.1106,35.814,35.7887,3.7101,-64.1597,10.0537,True
2012-07-26,36.25,36.61,35.68,36.52,308600.0,-0.1212,0.1257,-0.2469,34.3813,35.6475,36.9137,53.5732,35.85,35.8707,5.7787,-39.1939,7.6438,True
2012-07-27,36.61,37.41,36.17,37.27,325900.0,-0.0051,0.1934,-0.1986,34.591,35.8105,37.03,58.9477,36.102,36.0327,9.6103,-7.016,4.2665,True
2012-07-30,37.27,37.5,36.91,36.98,256700.0,0.0627,0.209,-0.1463,34.6408,35.9075,37.1742,56.25,36.402,36.14,7.0205,3.9893,3.8935,True
2012-07-31,36.83,37.24,36.69,36.92,437800.0,0.1104,0.2054,-0.095,34.7461,36.006,37.2659,55.6851,36.692,36.2487,5.6754,-1.9753,4.7405,True
2012-08-01,36.97,37.07,36.34,36.39,403100.0,0.1042,0.1593,-0.0551,34.7895,36.0455,37.3015,50.8517,36.816,36.296,4.1292,-17.0608,6.0796,True
2012-08-02,36.2,36.23,35.6,35.78,427100.0,0.0495,0.0837,-0.0342,34.8555,36.07,37.2845,45.935,36.668,36.272,1.4562,-52.8858,8.8351,True
2012-08-03,36.19,36.52,36.0,36.07,218400.0,0.0292,0.0507,-0.0215,35.0557,36.1315,37.2073,48.4727,36.428,36.2453,4.4622,-32.9577,7.5773,True
2012-08-06,36.09,36.53,35.88,35.99,213100.0,0.0066,0.0225,-0.0159,35.1419,36.1625,37.1831,47.8094,36.23,36.2473,3.0756,-34.4573,8.0246,True
2012-08-07,36.03,36.74,36.03,36.56,356700.0,0.0343,0.0402,-0.0058,35.2748,36.226,37.1772,52.7455,36.158,36.2553,2.0556,-14.1102,7.1021,True
2012-08-08,36.6,36.75,36.2,36.7,276000.0,0.0668,0.0581,0.0087,35.3391,36.277,37.2149,53.8931,36.22,36.2833,2.826,-4.9185,7.0578,True
2012-08-09,39.0,40.95,38.72,40.08,1867400.0,0.3611,0.2819,0.0792,34.5731,36.474,38.3749,71.6819,37.08,36.5327,12.6547,205.7863,9.0079,True
2012-08-10,40.11,40.99,39.87,40.65,626800.0,0.633,0.4431,0.1899,34.0512,36.683,39.3148,73.5274,37.996,36.842,11.7198,235.4842,9.1399,True
2012-08-13,40.71,40.71,39.73,39.99,335800.0,0.7862,0.477,0.3092,33.9102,36.8845,39.8588,68.0275,38.796,37.1427,11.626,207.4828,8.579,True
