date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-25,17.08,17.08,16.401,14.7782081517,292200.0,0.6501,0.0527,0.7027,14.0269,15.4385,12.6153,63.2063,15.1135,14.1945,9.9099,129.1653,17.9644,True
2012-01-26,16.66,17.27,16.12,14.813690044,158000.0,0.6553,0.0211,0.6764,14.077,15.5252,12.6288,63.5117,15.1046,14.3033,10.6342,123.1714,15.8883,True
2012-01-27,16.6,16.795,16.51,14.8048195709,133100.0,0.6537,-0.0064,0.6473,14.1484,15.5922,12.7046,63.3708,14.945,14.3915,7.937,116.8793,15.8883,False
2012-01-30,16.47,16.5894,16.16,14.5475758516,123400.0,0.6423,-0.0456,0.5967,14.1967,15.626,12.7675,59.2844,14.8172,14.4624,7.3748,101.096,13.3194,False
2012-01-31,16.54,16.65,16.27,14.5387053785,99800.0,0.6237,-0.0743,0.5495,14.2553,15.6391,12.8715,59.1435,14.6966,14.5091,7.9767,99.6576,13.6564,False
2012-02-01,16.58,17.19,16.4985,15.0177109248,176200.0,0.6079,-0.0634,0.5444,14.332,15.7062,12.9578,64.0825,14.7445,14.586,10.689,113.6598,16.595,False
2012-02-02,16.74,16.9167,16.4726,14.707244367,186100.0,0.5882,-0.0787,0.5095,14.4083,15.6845,13.1322,59.1195,14.7232,14.641,10.5667,100.893,16.4018,False
2012-02-03,16.78,17.19,16.73,15.1152861287,148300.0,0.5724,-0.0634,0.5089,14.4899,15.7271,13.2527,63.1395,14.7853,14.7232,12.2063,110.4901,17.8625,False
2012-02-06,16.91,17.0188,16.42,14.6007986901,97800.0,0.5502,-0.0886,0.4616,14.5458,15.6938,13.3978,55.7353,14.7959,14.7948,10.9439,92.798,15.5339,False
2012-02-07,16.42,16.52,16.18,14.4588711208,187900.0,0.5218,-0.1138,0.4079,14.5768,15.6793,13.4744,53.8683,14.78,14.8539,5.3571,78.1125,13.7642,False
2012-02-08,16.35,16.66,16.19,14.4677415939,201300.0,0.4898,-0.1278,0.362,14.607,15.6618,13.5522,53.9715,14.67,14.8427,5.443,77.9527,14.5407,False
2012-02-09,16.44,16.9625,16.0601,14.4322597015,266500.0,0.4556,-0.1366,0.319,14.6345,15.6398,13.6292,53.4587,14.615,14.8143,7.9726,77.4537,16.1988,False
2012-02-10,16.42,18.73,16.42,15.0798042364,1214600.0,0.4312,-0.0978,0.3333,14.6944,15.655,13.7338,60.7506,14.6079,14.7794,19.1476,113.7233,24.8615,False
2012-02-13,17.32,17.64,16.84,15.5765507289,464900.0,0.421,-0.0406,0.3804,14.7968,15.671,13.9227,65.2283,14.803,14.8054,13.1495,109.0667,24.8615,False
2012-02-14,17.16,17.63,16.84,15.594291675,304300.0,0.4197,-0.0053,0.4144,14.898,15.6398,14.1562,65.3794,15.0301,14.8356,12.6518,106.3634,24.8615,False
