date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-23,12.65,12.73,12.54,10.7605915136,11338500.0,0.017,0.0798,0.0629,10.562,11.0074,10.1165,56.6498,10.786,10.589,-0.7794,56.5102,11.5136,True
2012-03-26,12.8,13.0,12.78,10.9895402692,12781600.0,0.0273,0.0969,0.0697,10.5802,11.0627,10.0977,63.6039,10.8081,10.6416,2.2013,89.0527,14.2414,True
2012-03-27,12.95,12.99,12.81,10.8708260996,13512700.0,0.0241,0.0998,0.0757,10.5912,11.0895,10.093,58.3994,10.8267,10.6877,2.0424,82.5073,14.2414,True
2012-03-28,12.77,12.8,12.3,10.5655610921,22290600.0,0.0006,0.0765,0.0758,10.6001,11.0898,10.1104,47.6557,10.7826,10.708,1.9108,30.3052,7.7526,True
2012-03-29,12.36,12.495,12.27,10.5825202592,12771100.0,-0.0137,0.0587,0.0724,10.6103,11.0895,10.1311,48.2227,10.7538,10.7247,1.0105,11.1281,7.3877,False
2012-03-30,12.58,12.58,12.41,10.5528417168,11287800.0,-0.0245,0.0418,0.0663,10.6198,11.0863,10.1533,47.2628,10.7123,10.7289,1.4516,17.6834,8.2826,False
2012-04-02,12.45,12.55,12.35,10.5994794263,12480900.0,-0.0276,0.0318,0.0594,10.6398,11.0652,10.2143,48.9729,10.6342,10.736,3.0378,11.4732,7.5367,False
2012-04-03,12.4,12.53,12.22,10.3790102542,15238900.0,-0.0427,0.006,0.0487,10.6497,11.0395,10.26,42.0641,10.5359,10.7213,2.7049,-20.4214,5.9289,False
2012-04-04,12.1,12.22,12.0,10.2263777505,15856500.0,-0.0602,-0.0265,0.0337,10.648,11.0448,10.2513,38.0794,10.468,10.6942,0.0,-75.6678,3.2716,False
2012-04-05,12.04,12.16,12.0,10.2009389999,11857900.0,-0.0699,-0.0537,0.0162,10.6415,11.0625,10.2204,37.446,10.3917,10.6512,-1.0578,-86.8492,3.2716,False
2012-04-09,11.86,11.94,11.79,10.0567860797,13325200.0,-0.0816,-0.0858,-0.0042,10.6198,11.1089,10.1308,34.011,10.2925,10.5969,-3.7873,-133.8552,0.776,False
2012-04-10,11.8,11.94,11.69,9.96351066071,13862800.0,-0.0906,-0.1175,-0.0269,10.5933,11.1584,10.0283,31.9774,10.1653,10.5359,-3.8647,-150.9654,0.3897,False
2012-04-11,11.83,12.0,11.8,10.1034237891,10200400.0,-0.0824,-0.1298,-0.0475,10.5685,11.1725,9.9645,37.941,10.1102,10.4909,-4.5346,-130.3895,0.3139,False
2012-04-12,11.92,12.145,11.86,10.2306175423,8476700.0,-0.0643,-0.1278,-0.0635,10.5484,11.169,9.9277,42.8235,10.1111,10.4539,-4.0679,-105.9227,2.0018,False
2012-04-13,11.99,12.08,11.79,10.0059085784,9016900.0,-0.0634,-0.1427,-0.0794,10.5064,11.154,9.8588,37.2728,10.072,10.4059,-6.2112,-136.4081,1.1609,False
2012-04-16,11.84,11.93,11.71,10.0567860797,9891600.0,-0.0555,-0.1487,-0.0932,10.4657,11.1189,9.8126,39.185,10.072,10.3589,-7.734,-144.8125,0.2008,False
2012-04-17,11.91,12.13,11.89,10.2009389999,10386800.0,-0.0376,-0.1402,-0.1026,10.4318,11.0657,9.7979,44.3364,10.1195,10.3064,-6.2495,-99.2747,2.5521,False
2012-04-18,11.98,11.98,11.81,10.0483064961,11011300.0,-0.0332,-0.1442,-0.1109,10.3953,11.0294,9.7613,40.4494,10.1085,10.2515,-6.6615,-126.4613,1.5786,False
2012-04-19,11.85,12.05,11.82,10.0610258714,9807600.0,-0.0269,-0.1446,-0.1177,10.3591,10.9824,9.7357,40.912,10.0746,10.2179,-6.5167,-116.4234,2.403,False
2012-04-20,11.91,11.99,11.77,9.98046982779,10119900.0,-0.0256,-0.1497,-0.1241,10.3218,10.942,9.7016,38.8637,10.0695,10.1778,-5.6277,-126.7303,1.7837,False
2012-04-23,11.61,11.63,11.48,9.81935774051,12516400.0,-0.0326,-0.1648,-0.1322,10.2747,10.8974,9.652,35.0983,10.022,10.1289,-8.641,-175.0323,1.722,False
2012-04-24,11.59,11.65,11.46,9.74304148864,10858100.0,-0.0389,-0.1809,-0.142,10.2124,10.7838,9.6409,33.4533,9.9304,10.0718,-10.3846,-172.044,1.722,False
2012-04-25,11.56,11.69,11.53,9.86599544999,8851600.0,-0.0317,-0.1816,-0.1499,10.1621,10.6659,9.6584,38.4341,9.894,10.0376,-10.0077,-151.2257,1.2247,False
2012-04-26,11.67,12.01,11.65,10.124622748,11964000.0,-0.0077,-0.1595,-0.1518,10.1401,10.6087,9.6715,47.3203,9.9067,10.0308,-6.1719,-101.2286,2.6476,False
2012-04-27,11.94,12.05,11.88,10.2009389999,10774600.0,0.0141,-0.1343,-0.1483,10.121,10.5449,9.6971,49.6194,9.9508,10.0308,-3.5614,-75.7344,3.1187,True
2012-04-30,11.99,12.1,11.96,10.1670206657,8445900.0,0.0261,-0.1157,-0.1418,10.1017,10.4777,9.7258,48.6092,10.0203,10.0381,-3.8156,-67.742,3.711,True
2012-05-01,12.01,12.06,11.85,10.0567860797,10757600.0,0.0266,-0.1086,-0.1351,10.0746,10.3733,9.7759,45.3913,10.0831,10.0443,-3.9044,-81.7263,2.3115,True
2012-05-02,11.83,11.84,11.72,10.0101483702,10064100.0,0.0237,-0.1055,-0.1292,10.0562,10.321,9.7913,44.0689,10.1119,10.0381,-5.5068,-101.8982,0.6787,True
2012-05-03,11.8,11.815,11.51,9.77695982281,11657600.0,0.007,-0.1205,-0.1275,10.0337,10.3129,9.7545,38.1195,10.0424,10.0079,-3.3142,-126.517,1.8934,True
2012-05-04,11.5,11.5,11.23,9.56497023428,13761300.0,-0.0162,-0.1477,-0.1315,10.0019,10.3369,9.6669,33.6895,9.9152,9.9785,-5.4276,-167.4399,5.1781,False
2012-05-07,11.18,11.25,11.11,9.48865398241,12523100.0,-0.0336,-0.1735,-0.1399,9.9735,10.3748,9.5721,32.2441,9.7795,9.9406,-5.7789,-184.5849,6.5418,False
2012-05-08,11.09,11.21,10.96,9.46321523179,13724200.0,-0.0431,-0.1938,-0.1507,9.9485,10.4074,9.4895,31.7575,9.6608,9.8914,-6.1139,-187.323,8.2198,False
2012-05-09,11.01,11.16,10.9,9.39537856346,12048100.0,-0.0497,-0.2128,-0.1631,9.9131,10.4249,9.4012,30.4448,9.5378,9.8479,-7.0,-187.8495,8.8852,False
2012-05-10,11.14,11.23,10.99,9.37841939638,16032300.0,-0.0509,-0.2267,-0.1758,9.8704,10.4106,9.3303,30.1114,9.4581,9.8024,-7.534,-171.9323,7.9566,False
2012-05-11,11.04,11.15,10.97,9.31058272805,15742100.0,-0.0516,-0.2404,-0.1887,9.8357,10.4238,9.2475,28.7616,9.4072,9.7577,-7.6987,-173.3343,8.1841,False
2012-05-14,10.91,11.04,10.85,9.28514397743,8960900.0,-0.0493,-0.2504,-0.2011,9.7971,10.4222,9.172,28.2528,9.3665,9.7221,-7.4602,-179.2375,9.5484,False
2012-05-15,10.88,11.03,10.78,9.16642980785,12692300.0,-0.051,-0.2649,-0.2138,9.7454,10.3989,9.0919,25.9566,9.3072,9.6837,-9.0684,-183.9904,10.3388,False
2012-05-16,10.82,10.9,10.65,9.03923605474,12209000.0,-0.0556,-0.2833,-0.2277,9.6949,10.4008,8.9891,23.7416,9.236,9.6286,-9.015,-194.9739,11.7944,False
2012-05-17,10.67,10.735,10.48,8.886603551,14533300.0,-0.0632,-0.3067,-0.2435,9.6362,10.4032,8.8692,21.3942,9.1376,9.546,-10.9129,-209.1553,13.6585,False
2012-05-18,10.46,10.67,10.35,8.78484854851,16363200.0,-0.0689,-0.3297,-0.2608,9.5764,10.4102,8.7426,19.983,9.0325,9.4516,-11.0092,-210.8836,15.0545,False
2012-05-21,10.36,10.685,10.36,9.03923605474,17115800.0,-0.0503,-0.3236,-0.2733,9.5374,10.3948,8.68,31.998,8.9833,9.3764,-8.1255,-185.1359,14.8366,False
2012-05-22,10.53,10.68,10.3,9.01379730412,14803000.0,-0.0351,-0.3172,-0.2821,9.5009,10.3819,8.62,31.4914,8.9527,9.3069,-7.5434,-171.9696,13.5797,False
2012-05-23,10.59,10.72,10.41,9.12497317219,16400000.0,-0.0141,-0.2997,-0.2856,9.4639,10.3427,8.5851,36.22,8.9699,9.2479,-7.5147,-151.8581,12.9911,False
2012-05-24,10.66,10.7,10.26,8.87696546648,20934100.0,-0.0134,-0.3024,-0.289,9.4015,10.2608,8.5423,31.0909,8.968,9.1879,-10.1468,-161.4599,14.6774,False
2012-05-25,10.41,10.63,10.4,9.01379730412,10078200.0,-0.0009,-0.2901,-0.2892,9.3422,10.1336,8.5507,36.4137,9.0138,9.1512,-11.031,-143.4161,14.6774,False
2012-05-29,10.64,10.77,10.57,9.1591811316,13307500.0,0.0189,-0.2656,-0.2845,9.2918,9.9896,8.594,41.5532,9.0377,9.1292,-10.2317,-118.1118,12.5715,True
2012-05-30,10.59,10.67,10.44,8.9453813853,19425900.0,0.0193,-0.2604,-0.2797,9.2362,9.8539,8.6185,36.8591,9.0241,9.0947,-10.7702,-129.1392,14.0618,True
2012-05-31,10.45,10.46,10.26,8.83420551722,21572400.0,0.014,-0.2622,-0.2762,9.1774,9.7067,8.6481,34.6766,8.9659,9.0573,-10.901,-139.8523,16.076,True
2012-06-01,10.19,10.27,9.97,8.55626584703,28393400.0,-0.0053,-0.2829,-0.2775,9.1164,9.6365,8.5962,29.9297,8.9018,9.0024,-12.3344,-158.319,19.1796,False
2012-06-04,10.08,10.16,9.985,8.63750975062,14961500.0,-0.0094,-0.2893,-0.2799,9.07,9.5873,8.5527,32.8103,8.8265,8.9576,-10.8978,-149.4576,19.1796,False
2012-06-05,10.06,10.32,10.06,8.79572156289,16388200.0,0.0011,-0.2785,-0.2796,9.0353,9.528,8.5426,38.1182,8.7538,8.9249,-7.4834,-129.0487,16.7168,True
2012-06-06,10.39,10.67,10.39,9.10359319756,16207700.0,0.0299,-0.2422,-0.2721,9.0174,9.471,8.5637,46.8692,8.7855,8.9208,-4.0044,-91.8414,11.587,True
2012-06-07,10.77,10.8,10.57,9.07366123308,17349300.0,0.0469,-0.2134,-0.2604,9.0013,9.4218,8.5808,46.1888,8.8334,8.923,-2.3995,-79.963,9.7648,True
2012-06-08,10.59,10.799,10.56,9.20194108086,11764600.0,0.0657,-0.1782,-0.244,8.9925,9.3875,8.5974,49.5517,8.9625,8.9441,-3.0168,-72.7653,9.8799,True
2012-06-11,10.9,10.9,10.58,9.05228125845,11645800.0,0.0667,-0.1606,-0.2273,8.9795,9.3482,8.6109,45.9613,9.0454,8.9619,-1.4074,-71.7306,8.4587,True
2012-06-12,10.61,10.85,10.58,9.26180500983,13340100.0,0.0793,-0.1282,-0.2075,8.9784,9.3433,8.6135,51.2588,9.1387,8.9767,-0.8818,-63.0156,8.4587,True
2012-06-13,10.79,10.94,10.72,9.20194108086,12389100.0,0.0811,-0.1061,-0.1872,8.9801,9.349,8.6113,49.7653,9.1583,8.9893,0.031,-55.5865,7.1811,True
2012-06-14,10.78,10.84,10.65,9.21904506057,13373400.0,0.0807,-0.0862,-0.167,8.9891,9.3718,8.6064,50.2094,9.1874,8.9956,0.2987,-58.2355,8.0379,True
2012-06-15,10.83,11.02,10.67,9.39863684746,18900800.0,0.0893,-0.0554,-0.1447,9.0147,9.4334,8.5961,54.7132,9.2267,9.0303,3.5314,-42.7009,5.4914,True
2012-06-18,10.94,11.06,10.91,9.40718883731,11441900.0,0.0918,-0.0299,-0.1217,9.0459,9.4836,8.6081,54.9213,9.2977,9.0566,4.5402,-31.0878,4.9325,True
2012-06-19,11.06,11.25,11.0,9.55684865972,11712400.0,0.0993,0.0024,-0.0969,9.0717,9.5628,8.5807,58.4962,9.3567,9.0831,6.1868,-13.3683,2.3138,True
2012-06-20,11.46,11.585,11.38,9.87754827918,23143600.0,0.1201,0.0532,-0.0669,9.1149,9.7173,8.5125,64.889,9.4919,9.1452,8.4738,28.8597,2.0683,True
2012-06-21,11.51,11.7,11.13,9.5525726648,18374000.0,0.1067,0.0665,-0.0402,9.1363,9.7683,8.5044,55.5922,9.5586,9.1931,9.1418,12.9847,1.145,True
2012-06-22,11.24,11.32,11.14,9.60816059884,23737900.0,0.0966,0.0806,-0.016,9.1729,9.8249,8.5209,56.7284,9.6005,9.2632,5.7944,3.6213,1.145,True
2012-06-25,11.12,11.13,10.9,9.35160090327,13901500.0,0.069,0.0702,0.0012,9.1898,9.8419,8.5376,50.3571,9.5893,9.3108,4.7037,-23.6446,4.141,True
2012-06-26,10.94,11.06,10.91,9.39436085253,11751600.0,0.0508,0.0647,0.0139,9.2015,9.8595,8.5436,51.3331,9.5568,9.3507,2.6927,-21.9688,4.141,True
2012-06-27,11.04,11.195,10.99,9.51836470539,8149000.0,0.0445,0.0696,0.0251,9.2302,9.8909,8.5694,54.1351,9.485,9.3784,4.9203,-4.0699,2.3367,True
2012-06-28,11.02,11.11,10.92,9.48415674598,10423200.0,0.0359,0.0699,0.034,9.2627,9.906,8.6193,53.2293,9.4713,9.4058,6.2141,-10.5303,3.2209,True
2012-06-29,11.295,11.47,11.26,9.78775238573,11453600.0,0.0476,0.0935,0.0459,9.3242,9.9193,8.7292,59.6493,9.5072,9.4448,11.6845,40.773,1.4455,True
2012-07-02,11.44,11.45,11.21,9.64664455317,8925400.0,0.043,0.0997,0.0567,9.3747,9.8947,8.8547,55.8327,9.5663,9.4844,12.6969,31.9582,0.8018,True
2012-07-03,11.25,11.47,11.23,9.80913236036,4511800.0,0.0478,0.1164,0.0686,9.4254,9.9058,8.9449,59.0642,9.6492,9.5209,11.1434,44.7538,1.0572,True
2012-07-05,11.41,11.49,11.25,9.68085251258,11933600.0,0.0394,0.1179,0.0785,9.4542,9.9231,8.9854,55.6219,9.6817,9.5529,7.6851,40.6986,1.3155,True
2012-07-06,11.26,11.26,10.96,9.44139679672,12733200.0,0.0161,0.0986,0.0825,9.4726,9.908,9.0372,49.8154,9.6732,9.5677,4.2593,2.4247,2.4407,True
2012-07-09,11.05,11.11,10.93,9.41574082716,9766200.0,-0.0017,0.0804,0.0821,9.4833,9.9017,9.0649,49.2255,9.5988,9.5688,2.8799,-6.3046,2.8197,False
2012-07-10,10.51,10.93,10.4,9.1591811316,23012000.0,-0.0299,0.0447,0.0746,9.4886,9.8872,9.0901,43.6831,9.5013,9.5523,0.2752,-58.554,9.1604,False
2012-07-11,10.65,10.695,10.51,9.03945327367,10875300.0,-0.0544,0.0067,0.061,9.4775,9.9116,9.0435,41.3549,9.3473,9.5178,-1.4286,-71.0778,9.1604,False
2012-07-12,10.47,10.505,10.29,8.86841347663,14315400.0,-0.0783,-0.0368,0.0414,9.4609,9.9571,8.9646,38.2358,9.1848,9.4505,-3.9762,-102.4752,11.6355,False
2012-07-13,10.37,10.52,10.35,8.962485365,10460600.0,-0.0836,-0.063,0.0206,9.448,9.9806,8.9155,40.8641,9.0891,9.4112,-2.952,-89.3084,11.425,False
