date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2015-01-23,89.51,89.92,89.14,79.5847712879,1940730.0,0.711,-0.1788,0.5321,77.5771,79.591,81.605,55.3835,79.3118,79.2066,-1.9946,81.4367,11.7453,False
2015-01-26,89.04,89.2,88.24,79.4598904542,1997695.0,0.6693,-0.1667,0.5026,77.6684,79.4911,81.3139,54.6076,79.3457,79.2208,-2.9802,65.0124,8.962,False
2015-01-27,87.95,88.32,86.0,76.8552330662,3689037.0,0.5886,-0.3227,0.2659,77.3213,79.2636,81.206,41.5877,78.9068,79.1507,-3.7069,13.3574,2.5002,False
2015-01-28,86.93,87.12,84.33,75.2496223475,3469070.0,0.4608,-0.5114,-0.0506,76.4879,78.9889,81.4899,35.9297,78.1968,79.0109,-4.3163,-28.9611,1.9101,False
2015-01-29,84.95,85.7,83.94,76.3913899697,3590586.0,0.3272,-0.5342,-0.2069,76.1378,78.786,81.4341,41.9472,77.5082,78.8391,-5.6583,-36.0634,2.9023,False
2015-01-30,85.12,85.44,83.86,74.9552603824,3837548.0,0.1735,-0.6151,-0.4416,75.4568,78.5505,81.6442,37.2343,76.5823,78.4912,-5.5703,-55.9961,3.1068,False
2015-02-02,84.42,85.85,83.47,76.5608711011,3088515.0,0.0403,-0.5327,-0.4924,75.2234,78.4162,81.6091,44.6796,76.0025,78.2563,-4.7064,-42.3152,1.9875,False
2015-02-03,86.25,87.96,85.97,78.4251635466,3501305.0,-0.0433,-0.3345,-0.3778,75.2578,78.4421,81.6264,51.7934,76.3165,78.1617,-0.4076,17.7709,3.4951,False
2015-02-04,89.18,89.18,87.165,77.9078000929,2764092.0,-0.0997,-0.2253,-0.325,75.3153,78.4702,81.6251,49.886,76.8481,78.0137,1.6065,33.3127,6.4521,False
2015-02-05,88.11,88.54,87.34,78.9157668218,2102529.0,-0.1196,-0.0799,-0.1995,75.3143,78.4675,81.6208,53.4634,77.353,77.9952,-0.2366,37.9232,6.4521,False
2015-02-06,88.6,89.1,87.84,78.6303249162,2386506.0,-0.1201,-0.0017,-0.1217,75.3338,78.3904,81.4469,52.33,78.088,77.994,-1.1647,43.319,7.7933,False
2015-02-09,87.51,88.23,87.1,77.9256402119,2670455.0,-0.1192,0.0036,-0.1156,75.3218,78.2824,81.2431,49.5513,78.3609,77.903,-2.1298,18.2502,5.7557,True
2015-02-10,87.74,87.91,86.68,78.0683611647,2573782.0,-0.1149,0.0169,-0.0981,75.3204,78.1937,81.0669,50.126,78.2896,77.8376,-2.344,10.9654,4.6144,True
2015-02-11,87.52,88.17,87.25,78.4608437848,1829790.0,-0.1023,0.0504,-0.0519,75.3729,78.1103,80.8476,51.7456,78.4002,77.815,-3.4705,22.4927,5.2581,True
2015-02-12,88.06,89.22,87.98,79.4688105138,1931324.0,-0.0688,0.134,0.0652,75.3624,78.1241,80.8859,55.7036,78.5108,77.7906,-0.3574,50.8583,7.813,True
2015-02-13,89.09,89.8,89.08,80.0932146821,1774397.0,-0.0138,0.2199,0.2061,75.3107,78.1964,81.082,57.9907,78.8034,77.8245,0.7856,73.4948,9.1887,True
2015-02-17,89.63,89.79,88.825,79.6561317643,1915989.0,0.0448,0.2344,0.2792,75.2971,78.2147,81.1322,55.8288,79.1495,77.8376,0.8763,63.6675,8.465,True
2015-02-18,89.0,89.515,88.86,79.7720925384,1509467.0,0.1043,0.2383,0.3426,75.2754,78.2508,81.2262,56.292,79.4902,78.0321,0.1062,60.6683,8.465,True
2015-02-19,89.53,90.38,89.37,80.5213775404,1751661.0,0.1731,0.275,0.4481,75.2073,78.3369,81.4664,59.2502,79.9023,78.3835,1.9745,82.5424,10.545,True
2015-02-20,90.02,90.98,89.31,80.7176188505,2950629.0,0.2467,0.2946,0.5413,75.1451,78.381,81.6169,60.0097,80.1521,78.672,1.5855,88.6917,11.9562,True
2015-02-23,90.6,90.79,90.13,80.7889793269,1579045.0,0.3202,0.2937,0.6139,75.0757,78.4412,81.8067,60.298,80.2912,79.0609,0.9675,94.0304,11.9562,True
2015-02-24,90.17,90.995,89.89,81.0387409942,1592032.0,0.3929,0.2908,0.6837,74.9926,78.5202,82.0477,61.3431,80.5678,79.3594,2.0123,94.1923,11.2303,True
2015-02-25,90.64,91.44,90.33,80.8157395055,1732915.0,0.4568,0.2559,0.7127,75.1424,78.7182,82.294,59.8363,80.7765,79.5188,3.5326,98.7032,12.3025,True
2015-02-26,90.82,91.23,90.0,80.5481377191,2156791.0,0.5067,0.1994,0.7061,75.7015,78.9831,82.2647,58.0045,80.7818,79.6948,4.7176,86.6256,11.2888,True
2015-02-27,90.05,90.76,89.86,80.3072961113,1686052.0,0.5401,0.1335,0.6736,76.0768,79.1789,82.281,56.3412,80.6998,79.7876,5.9043,74.5475,10.8571,True
2015-03-02,89.76,91.24,89.73,81.3331029593,1974960.0,0.5765,0.1458,0.7223,76.9333,79.4978,82.0623,61.3931,80.8086,79.9677,6.7884,89.3557,12.0467,True
2015-03-03,91.18,91.27,90.55,81.0298209347,2888328.0,0.6068,0.1212,0.728,77.4583,79.7212,81.9842,59.2224,80.8068,80.1747,6.3133,92.5903,12.1212,True
2015-03-04,90.83,91.2,90.06,81.0922613515,2728849.0,0.6313,0.0979,0.7292,77.5985,79.8546,82.1107,59.5379,80.8621,80.3763,3.6835,84.6892,10.5649,True
2015-03-05,91.31,92.18,91.18,82.10914814,3019572.0,0.6656,0.1373,0.8029,77.7905,80.0647,82.3389,64.3519,81.1743,80.6195,3.364,118.4038,13.0206,True
2015-03-06,91.62,91.95,90.49,80.8781799224,3735001.0,0.6831,0.0702,0.7533,77.9263,80.1628,82.3993,55.7492,81.2885,80.7135,3.8514,89.9495,10.8414,True
2015-03-09,90.73,90.96,90.14,80.9852206369,1464248.0,0.6894,0.025,0.7144,78.133,80.2805,82.4281,56.2936,81.2189,80.7729,2.0875,74.1431,9.7498,True
2015-03-10,89.96,90.21,88.05,78.5500443803,3230953.0,0.6478,-0.1663,0.4816,78.2874,80.3118,82.3361,43.3077,80.723,80.6992,2.2441,5.4434,3.5567,False
2015-03-11,88.29,88.9,86.76,77.4796372345,4320442.0,0.5599,-0.3517,0.2082,78.1162,80.2823,82.4484,39.0638,80.0004,80.5464,1.1262,-45.5619,0.0142,False
2015-03-12,87.03,88.3,86.86,78.674925214,2165238.0,0.4653,-0.3783,0.0871,78.1612,80.293,82.4249,45.4584,79.3136,80.4233,0.1474,-40.7167,0.0142,False
2015-03-13,88.18,88.21,86.4,78.3805632489,3617194.0,0.3658,-0.3981,-0.0323,77.974,80.2386,82.5032,44.2336,78.8141,80.2675,-1.132,-60.2027,1.2318,False
2015-03-16,88.32,89.1,88.14,79.3082494419,2245954.0,0.2823,-0.3339,-0.0515,77.8991,80.1994,82.4996,48.884,78.4787,80.1687,-0.7795,-11.3307,1.1902,False
2015-03-17,88.35,88.88,88.21,79.2458090251,2210911.0,0.2117,-0.2826,-0.0709,77.8524,80.1788,82.5053,48.5918,78.6178,80.0492,-1.0135,-19.0637,1.1902,False
2015-03-18,88.8,91.3499,88.365,81.1101014706,2664857.0,0.182,-0.1186,0.0634,77.8931,80.2457,82.5984,56.8444,79.3439,80.0688,2.0498,58.237,7.5394,False
2015-03-19,90.89,91.34,89.99,80.4500170641,2658467.0,0.1687,-0.0534,0.1152,77.891,80.2422,82.5933,53.5814,79.6989,80.0623,1.0622,72.6571,7.5394,False
2015-03-20,90.89,91.65,90.51,81.6007047458,3558190.0,0.1842,0.0621,0.2463,77.8689,80.2863,82.7038,58.0763,80.343,80.1485,0.7364,106.5959,8.3042,True
2015-03-23,91.38,91.775,91.21,81.654225103,1916215.0,0.2175,0.133,0.3505,77.8476,80.3296,82.8116,58.2776,80.8122,80.1699,1.0849,120.6092,8.6141,True
2015-03-24,91.49,91.49,89.28,79.7542524193,2948550.0,0.2293,0.0473,0.2766,77.7936,80.2654,82.7371,49.2766,80.9139,80.0849,0.544,51.6715,3.1397,True
2015-03-25,89.41,89.95,88.18,78.6838452735,3606465.0,0.2094,-0.0793,0.1301,77.6085,80.1588,82.709,45.0743,80.4286,79.9243,-1.6295,-10.3093,0.2122,False
2015-03-26,91.51,94.98,90.94,84.0002007642,7156948.0,0.2551,0.1828,0.438,77.2809,80.3314,83.3819,62.2194,81.1386,80.0504,4.1105,214.6855,11.8477,True
2015-03-27,93.92,94.14,92.65,83.7950393946,4352015.0,0.3357,0.3221,0.6578,77.1024,80.5058,83.9092,61.4266,81.5775,80.2449,3.7241,214.0035,11.8477,True
2015-03-30,94.15,94.84,93.94,84.2232022529,3333089.0,0.4399,0.4168,0.8567,76.8917,80.6503,84.4088,62.4952,82.0913,80.4607,3.9456,236.0202,13.3027,True
2015-03-31,94.01,94.49,93.55,83.5720379059,2708039.0,0.5421,0.4088,0.9508,76.81,80.7774,84.7448,59.796,82.8549,80.7955,3.528,199.76,12.2529,True
2015-04-01,93.56,93.93,92.68,83.4560771318,2737163.0,0.6346,0.3699,1.0045,76.7604,80.8956,85.0308,59.3073,83.8093,81.194,2.9934,168.8378,9.9422,True
