date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-01,35.19,35.9,35.19,35.8,212800.0,1.0786,0.1172,1.1958,36.7789,30.4951,33.637,73.8314,35.346,34.404,14.2952,187.654,25.8871,True
2012-02-02,35.99,36.21,35.55,36.01,169500.0,1.1067,0.1124,1.2191,36.8402,30.9988,33.9195,74.808,35.472,34.6413,18.7992,187.5224,26.856,True
2012-02-03,36.33,36.79,35.98,36.7,271900.0,1.141,0.1375,1.2785,37.0567,31.3433,34.2,77.7336,35.752,34.8847,16.7937,196.2798,28.6312,True
2012-02-06,36.6,36.85,36.48,36.61,148800.0,1.1735,0.1298,1.3033,37.2595,31.6205,34.44,76.4922,36.05,35.0987,13.8048,187.2387,28.813,True
2012-02-07,36.5,36.69,36.29,36.38,156200.0,1.1967,0.0929,1.2896,37.2908,32.0712,34.681,73.2875,36.3,35.2753,14.3703,167.4753,27.7651,True
2012-02-08,36.35,37.39,36.23,37.24,171900.0,1.2239,0.1088,1.3327,37.448,32.452,34.95,77.1266,36.588,35.5047,16.8072,173.637,29.9016,True
2012-02-09,37.33,38.0,37.2401,37.85,169600.0,1.2591,0.1408,1.4,37.7459,32.6941,35.22,79.3789,36.956,35.7207,16.6002,186.1552,31.692,True
2012-02-10,37.39,37.39,36.64,36.68,125700.0,1.276,0.0674,1.3434,37.7959,33.0071,35.4015,66.0195,36.952,35.8553,12.8584,149.7689,28.4108,True
2012-02-13,37.01,37.35,36.81,37.23,100100.0,1.2863,0.0413,1.3276,37.9284,33.2576,35.593,68.6748,37.076,36.0453,11.6592,147.2063,28.4108,True
2012-02-14,37.15,37.178,36.81,36.94,133800.0,1.2844,-0.0075,1.277,37.9939,33.5131,35.7535,65.7713,37.188,36.212,9.3471,134.3358,28.4108,False
2012-02-15,37.17,37.17,36.27,36.36,132700.0,1.2629,-0.0863,1.1765,37.9465,33.8165,35.8815,60.3076,37.012,36.3153,9.8404,117.0116,25.4526,False
2012-02-16,36.47,36.81,36.4,36.59,168600.0,1.2308,-0.1281,1.1027,37.9811,33.9799,35.9805,61.6608,36.76,36.396,5.9281,111.5098,25.4526,False
2012-02-17,36.71,37.05,36.41,36.61,75200.0,1.1914,-0.1575,1.0339,38.0002,34.1558,36.078,61.7821,36.746,36.4833,6.3738,109.0099,26.2337,False
2012-02-21,36.59,36.9,36.31,36.57,88700.0,1.1462,-0.1811,0.9651,37.9534,34.4216,36.1875,61.3658,36.614,36.58,5.0983,102.0135,25.6757,False
2012-02-22,36.53,36.95,35.0,36.58,88600.0,1.0971,-0.1962,0.9009,37.8734,34.7156,36.2945,61.4354,36.542,36.6767,6.8228,87.3754,18.6869,False
2012-02-23,36.99,39.03,36.11,38.99,321100.0,1.0842,-0.0516,1.0327,38.3285,34.6785,36.5035,73.6807,37.068,36.8893,12.0908,132.1831,25.3867,False
2012-02-24,39.43,39.43,38.44,38.69,227400.0,1.0874,0.0127,1.1002,38.6501,34.6879,36.669,70.6872,37.488,37.068,11.3842,146.9422,26.5699,True
2012-02-27,37.22,39.16,37.22,38.88,299100.0,1.1011,0.0546,1.1557,38.9455,34.7505,36.848,71.4736,37.942,37.2133,10.6215,130.037,20.6362,True
2012-02-28,39.0,39.17,38.1,38.25,236700.0,1.108,0.0277,1.1357,39.0287,34.9803,37.0045,65.2538,38.278,37.3227,11.0576,126.5704,20.6672,True
2012-02-29,38.22,38.71,37.72,37.77,205000.0,1.1002,-0.0313,1.0689,38.9918,35.2812,37.1365,60.9258,38.516,37.4153,8.9195,111.0743,18.8727,False
2012-03-01,37.98,38.33,37.79,37.94,162000.0,1.0837,-0.0658,1.0179,39.0234,35.4636,37.2435,61.8851,38.306,37.462,6.7688,106.0821,18.8727,False
2012-03-02,37.95,38.12,36.93,37.26,135400.0,1.0494,-0.1373,0.9121,38.9937,35.6183,37.306,55.9935,38.02,37.4227,5.2748,88.571,14.8744,False
2012-03-05,37.17,37.61,37.11,37.53,164600.0,1.0076,-0.1672,0.8403,39.0142,35.6808,37.3475,57.7065,37.75,37.4793,2.2289,85.2572,14.8744,False
2012-03-06,37.17,37.52,37.05,37.29,120500.0,0.9571,-0.2017,0.7554,39.014,35.749,37.3815,55.6437,37.558,37.4833,1.8182,79.6384,14.5963,False
2012-03-07,37.4,37.61,37.2,37.32,130500.0,0.9022,-0.2196,0.6826,38.9958,35.8612,37.4285,55.8551,37.468,37.5087,2.5075,79.5864,14.9105,False
2012-03-08,37.59,37.6099,37.13,37.28,134500.0,0.8447,-0.2301,0.6147,38.997,35.864,37.4305,55.4775,37.336,37.57,0.5881,76.4703,14.577,False
2012-03-09,37.25,37.93,37.25,37.92,147300.0,0.7969,-0.1914,0.6054,39.0045,35.8635,37.434,60.1014,37.468,37.6587,-0.1842,83.1702,15.7145,False
2012-03-12,37.89,38.26,37.6,37.82,41300.0,0.7542,-0.1708,0.5834,39.0303,35.9517,37.491,59.0743,37.526,37.7393,2.3268,85.6948,16.8748,False
2012-03-13,38.16,38.2075,37.35,37.69,191700.0,0.7131,-0.1641,0.549,39.0508,35.9772,37.514,57.7008,37.606,37.814,2.2959,80.2127,15.6482,False
2012-03-14,37.71,37.785,37.1,37.38,265400.0,0.6687,-0.1776,0.4911,39.0517,36.0203,37.536,54.4655,37.618,37.8673,1.6327,70.0073,14.4269,False
2012-03-15,37.47,37.69,37.1,37.68,74400.0,0.6278,-0.1637,0.4641,39.0189,36.1851,37.602,56.9673,37.698,37.78,1.399,70.026,14.4269,False
2012-03-16,37.7,38.18,37.38,37.38,121000.0,0.585,-0.1713,0.4138,38.9855,36.2975,37.6415,53.8002,37.59,37.6927,3.7218,72.6085,16.2203,False
2012-03-19,37.39,38.11,37.042,37.73,88300.0,0.5475,-0.15,0.3975,38.9555,36.4395,37.6975,56.8022,37.572,37.616,2.861,70.5016,14.5365,False
2012-03-20,37.41,37.65,36.97,37.35,77000.0,0.508,-0.1581,0.3499,38.8969,36.5761,37.7365,52.8104,37.504,37.556,2.0325,60.4596,14.1781,False
2012-03-21,37.46,37.965,37.46,37.7,197500.0,0.4737,-0.1372,0.3365,38.8253,36.7597,37.7925,55.8708,37.568,37.5513,2.747,69.98,15.3564,False
2012-03-22,37.4,37.74,37.22,37.63,76100.0,0.4423,-0.1256,0.3167,38.6001,36.8489,37.7245,55.105,37.558,37.5307,-3.3051,63.0964,14.1422,False
2012-03-23,37.54,37.9,37.3,37.86,65900.0,0.417,-0.1012,0.3158,38.4426,36.9234,37.683,57.1716,37.654,37.5707,-3.8803,66.5498,14.7505,False
2012-03-26,38.1,38.97,38.01,38.8,111900.0,0.4109,-0.0244,0.3866,38.4138,36.9442,37.679,64.3563,37.868,37.6553,-0.4852,94.547,18.6696,False
2012-03-27,38.92,39.03,38.43,38.48,117300.0,0.4111,0.0009,0.412,38.4667,36.9143,37.6905,60.6455,38.094,37.7347,-0.3574,95.4333,18.8823,True
2012-03-28,38.39,38.82,38.19,38.7,160500.0,0.4179,0.027,0.4449,38.6294,36.8446,37.737,62.2489,38.294,37.8267,0.2842,92.1532,17.6311,True
2012-03-29,38.4,38.85,38.1901,38.67,93800.0,0.4269,0.0362,0.4631,38.7517,36.7953,37.7735,61.8806,38.502,37.9193,1.3566,91.6996,17.7412,True
