date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-23,514.54,517.8296,509.5,15.883649256,20286700.0,0.6464,0.0487,0.6952,13.2851,14.8055,16.3259,79.2855,15.6785,15.1113,13.9464,163.3034,37.9753,True
2012-02-24,519.67,522.9,518.64,16.0688185438,14824000.0,0.6579,0.046,0.704,13.4025,14.9252,16.4478,80.788,15.8028,15.2493,16.5133,165.4995,39.078,True
2012-02-27,521.31,528.5,516.28,16.1718612538,19556500.0,0.6686,0.0425,0.7111,13.5297,15.0459,16.562,81.5845,15.9482,15.3848,17.8425,159.871,40.2706,True
2012-02-28,527.96,535.41,525.85,16.4686857766,21442400.0,0.6813,0.0509,0.7322,13.626,15.1726,16.7192,83.6733,16.0747,15.5313,17.9577,165.4223,41.7027,True
2012-02-29,541.56,547.61,535.7,16.6849216724,34000400.0,0.6966,0.0611,0.7577,13.7163,15.3048,16.8933,85.0013,16.2556,15.6822,19.5029,171.7579,44.1087,True
2012-03-01,548.17,548.21,538.77,16.7473624788,24402500.0,0.7121,0.0619,0.774,13.8462,15.4406,17.0349,85.3694,16.4283,15.8212,19.4383,165.3972,44.2239,True
2012-03-02,544.24,546.8,542.52,16.7692013815,15418300.0,0.7256,0.0541,0.7797,14.029,15.5791,17.1291,85.5028,16.5684,15.9279,19.6054,158.4875,44.2239,True
2012-03-05,545.42,547.48,526.0,16.3994779863,28897300.0,0.7296,0.0162,0.7458,14.2528,15.6921,17.1314,73.3723,16.6139,16.0094,19.0174,137.2393,36.233,True
2012-03-06,523.66,533.69,516.221,16.3102768343,28937100.0,0.7244,-0.0208,0.7036,14.4892,15.794,17.0989,70.7767,16.5822,16.0661,14.777,118.3033,31.8359,False
2012-03-07,536.8,537.78,523.3,16.323503212,28518600.0,0.7123,-0.0487,0.6636,14.7293,15.8892,17.0491,70.94,16.51,16.1096,14.4822,118.8838,32.759,False
2012-03-08,534.69,542.99,532.12,16.6710801144,18444900.0,0.7003,-0.0479,0.6524,14.9284,15.9896,17.0508,74.891,16.4947,16.2005,13.8845,125.8604,33.9183,False
2012-03-09,544.21,547.74,543.11,16.7688937913,14961400.0,0.689,-0.045,0.644,15.0268,16.0696,17.1124,75.8799,16.4946,16.2886,10.2647,129.3567,34.958,False
2012-03-12,548.982,552.0,547.0,16.9789778836,14545800.0,0.6806,-0.0338,0.6469,15.1296,16.1597,17.1898,77.8841,16.6105,16.3909,10.928,130.3825,35.8781,False
2012-03-13,557.54,568.18,555.75,17.4741980719,24673400.0,0.6807,0.0005,0.6812,15.1343,16.2604,17.3865,81.7203,16.8433,16.5001,12.7722,142.9599,39.2003,True
2012-03-14,578.05,594.72,575.4,18.1349017765,50673000.0,0.6952,0.0579,0.7531,15.027,16.3836,17.7403,85.3522,17.2056,16.6571,16.7125,165.7619,44.0369,True
2012-03-15,599.61,600.01,578.55,18.0112505245,41418500.0,0.7143,0.0766,0.7909,15.0815,16.5188,17.9561,82.082,17.4736,16.7989,14.0075,159.6865,44.9249,True
2012-03-16,584.72,589.2,578.0,18.0115581147,29481700.0,0.7338,0.0778,0.8116,15.1583,16.647,18.1357,82.0839,17.7222,16.9284,16.6987,147.6767,44.6822,True
2012-03-19,598.37,601.77,589.05,18.4892456627,32187000.0,0.7584,0.0983,0.8567,15.214,16.7992,18.3845,84.6857,18.0242,17.0829,18.5123,157.1989,46.7551,True
2012-03-20,599.51,606.9,582.0,18.6387344898,29166500.0,0.7855,0.1086,0.8941,15.2288,16.9394,18.6499,85.3968,18.2571,17.2276,17.879,151.3765,43.6841,True
2012-03-21,602.74,609.65,601.41,18.5323082878,23001500.0,0.8094,0.0954,0.9048,15.3194,17.0769,18.8345,82.4757,18.3366,17.3507,18.2661,152.4614,44.1477,True
2012-03-22,597.78,604.5,595.53,18.4351097912,22281100.0,0.8265,0.0686,0.8951,15.4415,17.2045,18.9675,79.8045,18.4214,17.4632,16.7372,140.8096,41.6127,True
2012-03-23,600.49,601.8,594.401,18.3339126223,15374600.0,0.835,0.0342,0.8692,15.5702,17.3178,19.0653,77.0218,18.4859,17.5676,15.0889,132.8913,41.1281,True
2012-03-26,599.79,607.15,595.26,18.670108688,21276500.0,0.8412,0.0246,0.8658,15.6835,17.4427,19.2019,79.5588,18.522,17.7189,14.8817,134.9932,42.0833,True
2012-03-27,606.18,616.28,606.06,18.9008013223,21683200.0,0.8473,0.0244,0.8717,15.7557,17.5643,19.3729,81.0936,18.5744,17.8916,15.1043,140.934,43.6693,True
2012-03-28,618.38,621.45,610.31,18.9973846385,23409300.0,0.8527,0.0215,0.8741,15.8161,17.6799,19.5437,81.7096,18.6675,18.0699,13.484,140.9446,44.5438,True
2012-03-29,612.78,616.56,607.23,18.7586946596,21722800.0,0.8515,-0.0045,0.847,15.9118,17.7805,19.6492,75.2202,18.7322,18.2091,12.4678,130.0895,43.197,False
2012-03-30,608.77,610.56,597.94,18.441569185,26108500.0,0.8394,-0.0486,0.7908,16.0346,17.8641,19.6936,67.58,18.7537,18.3206,11.6606,115.9712,39.2179,False
2012-04-02,601.83,618.77,600.38,19.0284512466,21369700.0,0.8284,-0.0439,0.7846,16.2292,17.9955,19.7619,73.0148,18.8254,18.4572,13.0215,123.4516,40.6988,False
2012-04-03,627.3,632.21,622.51,19.357265148,29805700.0,0.8221,-0.0252,0.797,16.4657,18.1479,19.8301,75.482,18.9167,18.5828,18.4602,136.649,43.0104,False
2012-04-04,624.35,625.86,617.0,19.2031624683,20463600.0,0.8148,-0.0294,0.7853,16.774,18.2919,19.8098,72.1687,18.9578,18.654,16.3784,125.1864,40.7234,False
2012-04-05,626.98,634.66,623.4,19.4913744661,22903500.0,0.8099,-0.0196,0.7902,17.0233,18.4329,19.8424,74.4188,19.1044,18.7526,16.8824,129.921,42.2241,False
2012-04-09,626.13,639.84,625.3,19.5698099617,21340600.0,0.8062,-0.0148,0.7913,17.3029,18.5729,19.843,75.008,19.33,18.8565,16.8145,129.0584,43.0866,False
