date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-28,26.74,27.3625,26.3,24.3859001522,6003000.0,1.4371,1.3832,0.0539,22.028,19.5891,24.467,79.8255,23.5343,22.5171,24.5448,136.5076,25.5595,True
2012-02-29,27.02,27.19,26.63,24.4584502456,3714700.0,1.4602,1.3986,0.0616,22.2724,19.8885,24.6563,80.09,23.9189,22.7154,22.9204,131.7344,25.5595,True
2012-03-01,27.4,27.54,26.87,24.8212007127,4890900.0,1.4906,1.417,0.0736,22.5236,20.1775,24.8698,81.3967,24.2471,22.9023,25.2387,131.7299,26.5396,True
2012-03-02,27.33,28.16,27.22,24.9028195678,5231500.0,1.504,1.4344,0.0696,22.7336,20.3257,25.1415,81.6864,24.5373,23.0785,20.8584,132.2437,28.2417,True
2012-03-05,27.31,27.4,25.83,23.6422616946,6803100.0,1.3968,1.4269,-0.0301,22.8419,20.4757,25.2082,64.9475,24.4421,23.2363,14.1191,107.4164,21.8072,False
2012-03-06,25.6,25.68,24.89,23.0165171388,8333300.0,1.2469,1.3909,-0.144,22.9299,20.6778,25.182,58.5647,24.1682,23.3421,8.7214,85.1317,17.7443,False
2012-03-07,25.99,26.17,25.5,23.6603992179,5229000.0,1.1667,1.346,-0.1794,23.0387,20.8677,25.2097,62.6152,24.0086,23.4697,10.2823,92.8796,19.1735,False
2012-03-08,26.33,26.84,26.08,24.277075012,3197900.0,1.1397,1.3048,-0.1651,23.1516,20.9697,25.3336,66.0235,23.8998,23.6226,9.2834,101.2644,21.0802,False
2012-03-09,27.01,27.31,26.66,24.4040376755,5232200.0,1.1157,1.267,-0.1512,23.2589,21.0522,25.4655,66.6934,23.8001,23.7248,10.6743,105.5142,22.3863,False
2012-03-12,26.83,26.92,26.36,23.9868746383,3171500.0,1.0509,1.2237,-0.1728,23.3945,21.3659,25.423,62.3651,23.869,23.8209,10.509,96.4186,21.0855,False
2012-03-13,26.63,27.15,26.47,24.6216879558,4049000.0,1.0388,1.1868,-0.1479,23.5541,21.672,25.4361,65.9663,24.19,23.9642,13.1722,100.4649,21.7341,False
