date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-04,24.77,24.81,24.6,21.7372450669,1339500.0,-0.219,-0.1072,-0.1117,21.8257,22.6373,23.4489,33.5677,22.0932,22.5073,-4.7235,-184.1409,17.4024,False
2012-04-05,24.51,24.65,24.41,21.5962657717,1116300.0,-0.2611,-0.1195,-0.1416,21.6555,22.5681,23.4808,31.7954,21.947,22.4051,-6.0573,-200.5926,18.4011,False
2012-04-09,24.08,24.14,23.855,21.0852158269,720700.0,-0.332,-0.1523,-0.1797,21.3917,22.462,23.5323,26.3849,21.7038,22.2694,-8.5606,-269.4266,21.2301,False
2012-04-10,23.82,23.92,23.4711,20.7944460307,1354400.0,-0.4069,-0.1818,-0.2251,21.0814,22.3624,23.6434,23.9052,21.4447,22.1285,-9.4282,-288.3785,23.1054,False
2012-04-11,23.84,23.9896,23.75,20.9971037675,1012600.0,-0.4448,-0.1757,-0.2691,20.8975,22.2545,23.6114,28.8955,21.2421,22.0216,-8.7848,-241.1222,22.5674,False
2012-04-12,23.88,24.26,23.86,21.2702511518,447500.0,-0.4476,-0.1428,-0.3048,20.7922,22.1677,23.5432,35.0469,21.1487,21.9329,-8.4183,-195.8273,20.487,False
2012-04-13,24.02,24.1,23.63,20.8385020604,629100.0,-0.4792,-0.1395,-0.3396,20.6361,22.0531,23.4701,30.5683,20.9971,21.8224,-8.9879,-215.0567,21.6375,False
2012-04-16,23.88,23.88,23.5,20.8561244723,1061900.0,-0.497,-0.1259,-0.3711,20.5203,21.9399,23.3595,30.9541,20.9513,21.7149,-9.7506,-212.0481,22.2839,False
2012-04-17,23.9,24.24,23.895,21.3054959755,854600.0,-0.4695,-0.0787,-0.3908,20.4878,21.8597,23.2316,40.0558,21.0535,21.6162,-8.0774,-155.5863,19.5079,False
2012-04-18,23.97,24.12,23.87,21.0323485912,822000.0,-0.4644,-0.0589,-0.4055,20.4085,21.7813,23.1541,36.8889,21.0605,21.5058,-6.4754,-161.9658,19.6367,False
