date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-02,39.73,39.94,38.91,38.995,185100.0,0.2904,0.7207,0.4303,39.6514,36.7895,33.9276,64.3294,38.482,37.298,11.8298,186.3411,10.4677,True
2012-02-03,39.38,39.64,39.2,39.275,252100.0,0.2809,0.7814,0.5005,39.9649,36.9833,34.0016,65.7337,38.757,37.5837,11.2233,181.7554,10.4677,True
2012-02-06,38.96,39.43,38.87,39.41,55100.0,0.2643,0.8309,0.5666,40.2283,37.1983,34.1682,66.4167,39.077,37.8797,11.0079,163.6525,9.1466,True
2012-02-07,39.38,39.708,39.13,39.52,94600.0,0.2419,0.869,0.6271,40.4333,37.4268,34.4202,66.9911,39.413,38.1443,12.1062,168.1708,10.068,True
2012-02-08,39.65,39.85,39.295,39.335,116500.0,0.1976,0.8741,0.6765,40.5749,37.63,34.6851,64.9882,39.307,38.3307,11.9068,161.7791,10.5393,True
2012-02-09,39.49,39.88,39.26,39.84,150900.0,0.1856,0.9085,0.7229,40.7812,37.8425,34.9038,67.8035,39.476,38.5027,11.74,163.0879,10.3942,True
2012-02-10,39.34,39.5,39.0201,39.25,72100.0,0.1241,0.878,0.7539,40.7431,38.0555,35.3679,61.6029,39.471,38.614,11.1114,133.9058,9.3939,True
2012-02-13,39.72,39.95,39.43,39.67,154200.0,0.099,0.8776,0.7787,40.6611,38.2905,35.9199,64.1065,39.523,38.75,13.6881,151.882,10.9334,True
2012-02-14,36.6,39.55,36.17,38.83,715500.0,0.0173,0.8003,0.783,40.4715,38.4545,36.4375,56.2477,39.385,38.8533,10.9708,68.3206,1.4081,True
2012-02-15,38.95,39.23,38.09,38.5,328000.0,-0.063,0.7043,0.7672,40.3683,38.5525,36.7367,53.4877,39.218,38.9173,7.3618,88.6134,1.4081,False
2012-02-16,38.55,39.515,38.35,39.01,289300.0,-0.0844,0.6617,0.7461,40.3646,38.64,36.9154,56.9828,39.052,39.0033,5.4859,103.2527,0.3983,False
2012-02-17,39.15,39.15,38.09,38.34,225400.0,-0.143,0.5674,0.7104,40.3399,38.678,37.0161,51.5323,38.87,39.0327,4.0393,77.8674,1.31,False
2012-02-21,38.3,38.7593,38.09,38.14,215800.0,-0.1915,0.471,0.6625,40.3152,38.7035,37.0918,50.0026,38.564,39.0547,1.8106,65.3208,1.31,False
2012-02-22,38.01,38.09,37.766,37.92,267300.0,-0.2319,0.3726,0.6045,40.2557,38.7355,37.2153,48.3123,38.382,39.06,1.5733,41.9602,2.4608,False
2012-02-23,37.36,38.568,37.33,38.51,255000.0,-0.2129,0.3384,0.5513,40.2073,38.784,37.3607,52.8882,38.384,38.9697,2.3567,51.5524,0.6992,False
2012-02-24,38.54,38.76,38.46,38.64,216700.0,-0.1866,0.318,0.5046,40.1698,38.83,37.4902,53.8527,38.31,38.946,2.4855,76.3662,0.0031,False
2012-02-27,38.29,38.83,37.85,38.63,308400.0,-0.1656,0.2977,0.4633,40.1412,38.8665,37.5918,53.762,38.368,38.903,2.3728,64.126,2.2006,False
2012-02-28,38.62,38.77,38.35,38.52,171800.0,-0.155,0.2696,0.4245,40.0939,38.902,37.7101,52.7155,38.444,38.8437,2.08,68.3664,2.2006,False
2012-02-29,38.66,38.71,38.12,38.44,389200.0,-0.1491,0.2381,0.3872,40.0429,38.932,37.8211,51.9278,38.548,38.7717,1.601,60.6116,3.0338,False
2012-03-01,38.63,38.93,38.23,38.32,237200.0,-0.1489,0.2011,0.35,39.9088,38.8548,37.8007,50.7101,38.51,38.704,-2.675,63.249,2.1869,False
2012-03-02,38.23,38.54,38.07,38.15,201200.0,-0.1549,0.1563,0.3113,39.9076,38.8125,37.7174,48.9672,38.412,38.5913,-3.5053,49.6634,2.7779,False
