date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-15,25.73,26.06,25.39,24.7765676815,988000.0,-0.026,0.8189,0.8449,23.7754,25.5114,22.0394,61.4185,24.442,23.7286,4.0735,102.335,16.856,False
2012-03-16,25.61,26.4,25.4,25.4051691254,1305000.0,0.0269,0.8786,0.8517,23.7967,25.6003,21.9931,64.1348,24.5638,23.8117,1.8912,107.4589,17.7046,True
2012-03-19,26.23,26.41,25.72,25.463193874,1223700.0,0.0547,0.92,0.8653,23.8431,25.7643,21.9219,64.3828,24.9023,23.9046,2.2455,108.5921,17.7297,True
2012-03-20,26.0,26.17,25.56,25.0086666761,810300.0,0.0323,0.9057,0.8734,23.9209,25.8977,21.9441,60.8512,25.0938,23.9542,2.7887,100.6454,17.148,True
2012-03-21,25.82,26.39,25.52,25.1924117136,771000.0,0.0203,0.8988,0.8785,24.037,26.0262,22.0478,61.7597,25.1692,24.0348,9.0496,101.4545,17.7165,True
2012-03-22,25.89,26.34,25.4,25.4051691254,1360200.0,0.0173,0.9001,0.8828,24.1202,26.1905,22.0499,62.8299,25.2949,24.1625,6.4673,99.7058,17.2702,True
2012-03-23,26.07,26.98,25.96,26.0821245265,1352100.0,0.0497,0.9449,0.8952,24.2164,26.4566,21.9761,66.0672,25.4303,24.3804,6.6403,112.3447,18.9373,True
2012-03-26,27.27,27.43,26.58,25.985416612,1626900.0,0.053,0.9616,0.9085,24.3121,26.6793,21.9449,65.1981,25.5348,24.6267,9.8078,117.5293,20.0888,True
2012-03-27,26.92,27.44,26.7,26.0240997778,722700.0,0.0466,0.9667,0.9201,24.4001,26.8817,21.9185,65.3932,25.7378,24.9081,8.8889,116.2266,20.1144,True
2012-03-28,26.99,26.99,26.46,26.0047581949,810200.0,0.0304,0.9582,0.9277,24.5012,27.0698,21.9326,65.1974,25.9003,25.1286,7.0395,107.79,19.181,True
2012-03-29,26.65,26.79,25.68,25.7339760345,1084900.0,-0.007,0.919,0.926,24.6134,27.1916,22.0352,62.3948,25.9661,25.2343,5.514,94.818,16.1964,False
