date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-23,27.85,27.93,27.515,20.8415099513,2823300.0,0.2354,0.1204,0.3558,19.9257,19.0002,20.8513,67.6699,20.5648,19.9804,7.2993,211.9773,14.8135,True
2012-01-24,27.65,27.87,27.53,20.9016586092,2842000.0,0.2652,0.1191,0.3843,19.9821,18.9674,20.9969,68.3214,20.84,20.0686,5.6082,200.8543,14.8135,True
2012-01-25,27.88,27.88,27.1999,20.7212126356,3290200.0,0.2897,0.0981,0.3878,20.0242,18.9613,21.0871,64.1652,20.84,20.1303,5.2075,173.1224,12.6514,True
2012-01-26,27.69,27.96,27.26,20.5783595731,4377200.0,0.3067,0.068,0.3747,20.0603,18.9739,21.1468,61.0168,20.7934,20.1964,5.2315,163.7765,13.0549,True
2012-01-27,27.35,27.9,27.05,20.5933967376,4283700.0,0.3176,0.0437,0.3614,20.1111,19.0246,21.1976,61.2313,20.7272,20.2581,5.482,146.9362,11.6777,True
2012-01-30,27.16,27.24,26.7,20.3979135995,2944300.0,0.3203,0.0109,0.3312,20.1449,19.067,21.2228,56.8718,20.6385,20.3102,3.3776,99.7697,9.4184,True
2012-01-31,27.24,27.47,26.66,20.1798747148,2492000.0,0.3136,-0.0271,0.2864,20.175,19.1289,21.2211,52.4122,20.4942,20.3323,4.0925,92.9801,10.6267,False
2012-02-01,27.18,27.45,26.951,20.4881365863,3650700.0,0.3054,-0.0327,0.2727,20.2096,19.1701,21.249,57.4646,20.4475,20.3794,2.0826,110.8789,10.6267,False
2012-02-02,27.35,27.43,27.08,20.4279879285,2656700.0,0.2951,-0.0411,0.254,20.2517,19.2491,21.2543,56.2168,20.4175,20.4255,4.1382,108.5525,10.6267,False
2012-02-03,27.4,27.875,27.26,20.8565471158,3972600.0,0.2902,-0.0196,0.2706,20.3111,19.313,21.3092,62.4424,20.4701,20.4987,6.5151,140.3894,12.9884,False
2012-02-06,27.56,27.62,27.15,20.5069330419,2113100.0,0.2827,-0.03,0.2527,20.3556,19.4073,21.304,55.5397,20.4919,20.5651,5.219,111.4888,12.2428,False
2012-02-07,27.16,27.32,26.95,20.4655808396,2137600.0,0.2727,-0.0402,0.2325,20.3864,19.4663,21.3066,54.7724,20.549,20.6277,3.1333,90.9091,10.8898,False
2012-02-08,27.2,27.58,27.1561,20.6648232688,1869200.0,0.2641,-0.0342,0.2299,20.4306,19.5468,21.3144,57.7833,20.5844,20.624,3.6063,108.2419,12.2876,False
2012-02-09,27.68,27.79,27.325,20.8715842803,2312700.0,0.2596,-0.0179,0.2417,20.4874,19.6444,21.3304,60.6928,20.6731,20.628,4.8284,122.0071,13.4034,False
2012-02-10,27.58,27.6,27.07,20.4430250929,1948300.0,0.2505,-0.0365,0.2141,20.5216,19.7468,21.2963,52.6367,20.5904,20.5959,4.5851,89.716,11.6495,False
2012-02-13,27.42,27.5599,26.91,20.5708409909,1353400.0,0.2404,-0.0403,0.2001,20.5746,19.954,21.1952,54.5639,20.6032,20.5779,4.6314,86.7284,10.5585,False
2012-02-14,27.22,27.511,27.22,20.6685825599,2475900.0,0.2313,-0.0366,0.1947,20.6317,20.2396,21.0239,56.0298,20.6438,20.5623,5.2448,95.4416,10.5585,False
2012-02-15,27.56,27.89,27.37,20.7963984579,2969600.0,0.2247,-0.0262,0.1985,20.6355,20.2385,21.0325,57.9314,20.6701,20.5673,0.941,109.489,12.6495,False
2012-02-16,27.7,28.75,27.69,21.5332195168,3873900.0,0.2314,0.0266,0.258,20.6716,20.1172,21.226,66.7999,20.8024,20.631,3.1945,158.3701,17.1207,True
