date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-08,38.26,38.85,38.15,38.36,2203300.0,1.2978,1.5261,0.2283,31.5223,39.6032,35.5627,71.8899,37.825,36.557,18.3012,167.7077,13.6318,True
2012-02-09,38.35,38.61,37.98,38.4,2500700.0,1.3459,1.5384,0.1924,31.9673,39.7802,35.8737,72.0393,38.141,36.755,18.218,155.9936,13.1259,True
2012-02-10,37.76,38.125,37.28,37.53,1944000.0,1.3689,1.461,0.0921,32.5323,39.7382,36.1352,64.1022,38.077,36.921,17.4522,128.4609,11.0555,True
2012-02-13,37.99,38.5,37.82,38.37,1865800.0,1.3853,1.4508,0.0655,33.2939,39.6216,36.4577,67.7751,38.2,37.1683,19.6767,139.5682,11.9336,True
2012-02-14,38.19,38.84,38.14,38.79,1431300.0,1.4002,1.4598,0.0596,34.1503,39.4282,36.7892,69.4496,38.29,37.367,18.0009,145.7562,12.728,True
2012-02-15,39.0199,39.18,38.48,38.65,1997900.0,1.408,1.439,0.031,34.5005,39.509,37.0047,68.1842,38.348,37.5283,13.3353,144.6064,13.5213,True
2012-02-16,38.71,39.65,38.63,39.53,2398400.0,1.4217,1.4765,0.0549,34.5863,39.8332,37.2097,71.6616,38.574,37.727,9.773,149.8946,14.6124,True
2012-02-17,39.51,39.58,38.88,38.91,2182400.0,1.4253,1.4397,0.0144,34.8795,39.927,37.4032,66.1998,38.85,37.881,10.3122,138.5852,14.6124,True
2012-02-21,39.0,39.01,37.87,38.11,3253500.0,1.4063,1.3305,-0.0758,35.3746,39.7769,37.5757,59.8893,38.798,38.0277,9.7945,112.9937,11.4862,False
2012-02-22,38.01,38.35,37.61,37.76,3232600.0,1.3655,1.2019,-0.1635,35.6262,39.7203,37.6732,57.3278,38.592,38.145,6.7056,98.5983,10.6958,False
2012-02-23,37.79,38.61,37.4,38.2,4318200.0,1.3169,1.1226,-0.1943,35.8249,39.7186,37.7717,59.6522,38.502,38.225,6.481,99.514,11.3351,False
