date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-08,54.42,55.67,54.42,54.1330477486,442200.0,3.3359,-0.1751,3.1609,47.5422,51.8289,56.1156,68.1697,53.7588,52.8346,16.0759,119.0007,12.7499,False
2012-02-09,54.56,54.9062,52.97,53.0735569659,956700.0,3.2625,-0.2938,2.9686,48.6641,52.1646,55.6651,63.5283,53.7746,52.8353,16.2282,104.7875,10.6343,False
2012-02-10,55.88,58.48,53.52,54.8954850408,2336300.0,3.1959,-0.2663,2.9296,49.803,52.5631,55.3232,67.5936,54.0103,52.9877,23.1158,120.0415,14.6485,False
2012-02-13,56.17,60.59,55.72,58.8760018132,1542600.0,3.1933,-0.0102,3.1831,49.5588,53.0528,56.5467,74.2994,54.9391,53.4809,21.3013,140.3998,16.89,False
2012-02-14,59.28,59.45,57.709,58.0739573889,663500.0,3.2109,0.0705,3.2815,49.5727,53.4464,57.32,71.1222,55.8104,53.8149,14.9903,134.2538,16.89,True
2012-02-15,59.45,59.744,57.5108,57.4402432759,556500.0,3.2229,0.0477,3.2706,49.6117,53.7439,57.8761,68.6374,56.4718,54.1977,14.1678,125.914,17.2034,True
2012-02-16,58.31,60.5,58.0,59.8364747658,502600.0,3.2615,0.1545,3.4159,49.1889,54.0825,58.9762,72.526,57.8244,54.6717,9.7008,129.666,18.0117,True
2012-02-17,60.81,61.18,58.56,58.1630734361,657900.0,3.2807,0.0767,3.3574,49.2091,54.3603,59.5115,66.3688,58.478,55.0533,12.9616,122.3532,18.7374,True
2012-02-21,58.89,59.17,56.58,56.4302614083,612500.0,3.2516,-0.1165,3.1351,49.5594,54.6078,59.6563,60.6557,57.9888,55.4124,10.0428,102.078,15.7049,False
2012-02-22,56.77,57.88,56.32,56.3213417951,334500.0,3.1845,-0.2681,2.9164,49.7219,54.7707,59.8196,60.3061,57.6383,55.6823,7.8643,93.8529,15.3116,False
2012-02-23,57.14,57.14,55.59,55.5093955878,834200.0,3.0771,-0.4299,2.6472,50.1069,54.9613,59.8157,57.652,57.2521,55.8276,6.4654,84.6389,14.2033,False
2012-02-24,56.13,56.89,55.41,55.9450740405,432400.0,2.9498,-0.509,2.4408,50.3623,55.1222,59.8821,58.6971,56.4738,56.0243,4.0607,81.7706,13.9287,False
2012-02-27,55.97,58.05,55.1001,56.6183952856,412800.0,2.8208,-0.5159,2.305,50.6953,55.3312,59.967,60.3185,56.1649,56.2177,8.1207,83.0094,15.2639,False
2012-02-28,55.85,56.0,52.19,52.519057117,1294200.0,2.6257,-0.7804,1.8453,51.0033,55.4049,59.8065,48.021,55.3827,56.1035,6.6667,57.4076,10.8758,False
2012-02-29,53.01,55.5,52.45,52.1130840133,646500.0,2.3869,-0.9552,1.4317,50.9724,55.397,59.8217,47.0042,54.541,55.9966,4.6775,54.0059,10.8758,False
2012-03-01,52.32,54.86,51.64,54.2617709278,957600.0,2.1621,-0.8993,1.2628,51.0878,55.4435,59.7993,52.6855,54.2915,56.0051,0.3843,54.2509,9.6739,False
2012-03-02,55.21,57.05,53.65,53.7072710789,2747200.0,1.944,-0.8722,1.0718,51.1931,55.4792,59.7653,51.1688,53.8439,56.0474,3.9162,61.9884,12.2881,False
2012-03-05,53.96,54.47,52.435,52.1724947114,871200.0,1.7127,-0.9252,0.7875,50.9396,55.402,59.8644,47.144,52.9547,55.8659,-0.0917,46.5132,10.484,False
2012-03-06,51.81,51.81,49.69,50.3505666364,1143300.0,1.4523,-1.0418,0.4105,50.2489,55.2079,60.1669,42.8564,52.521,55.2975,-8.4305,26.1748,6.5508,False
2012-03-07,50.89,51.84,50.85,51.0634950136,454200.0,1.1953,-1.028,0.1673,49.83,55.0752,60.3204,44.9552,52.3111,54.8301,-5.4877,29.8992,6.5878,False
2012-03-08,51.73,53.55,51.29,52.9646373527,511600.0,0.9815,-0.855,0.1265,49.7053,55.0168,60.3283,50.183,52.0517,54.5318,-3.8082,39.7312,8.6814,False
2012-03-09,53.46,54.24,52.22,52.2022000604,474500.0,0.7917,-0.7594,0.0323,49.5849,54.9732,60.3615,48.2154,51.7507,54.0228,-1.2133,40.8038,9.5135,False
2012-03-12,52.87,54.93,52.5401,53.3310033243,811500.0,0.643,-0.5948,0.0481,49.4593,54.895,60.3307,51.2476,51.9824,53.7007,-6.0705,45.6853,10.3444,False
2012-03-13,54.07,55.24,53.6,54.4598065881,496100.0,0.5444,-0.3943,0.1501,49.5536,54.6742,59.7948,54.1256,52.8042,53.5693,-8.8298,51.7801,10.719,False
