date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-22,62.65,62.9425,62.44,47.8220977111,7782600.0,1.1128,1.1069,-0.0059,44.0978,46.4956,48.8935,74.4699,47.6615,47.109,7.264,139.8364,19.1132,False
2012-02-23,62.53,63.66,62.32,48.5560579638,12639300.0,1.1171,1.1343,0.0171,44.2006,46.6684,49.1362,78.4366,47.9567,47.3104,6.9916,145.7674,20.9084,True
2012-02-24,63.8,63.81,63.37,48.5025400287,7904800.0,1.1214,1.1385,0.0171,44.5691,46.8836,49.1982,77.4959,48.1356,47.4485,7.5147,147.4857,21.2799,True
2012-02-27,62.9,63.61,62.75,48.4031495778,9785200.0,1.1213,1.1209,-0.0004,45.0497,47.0946,49.1396,75.6896,48.2564,47.5632,9.3895,133.9839,18.9321,False
2012-02-28,63.4,63.45,62.49,48.0820419673,12045600.0,1.1108,1.0687,-0.0421,45.4573,47.2575,49.0577,70.0389,48.2732,47.6559,8.5651,125.0847,19.0672,False
2012-02-29,62.66,62.97,62.0,47.8634174944,13508600.0,1.0883,0.9982,-0.09,45.9242,47.4021,48.8801,66.4216,48.2814,47.7097,6.823,114.0542,18.0151,False
2012-03-01,62.21,62.89,62.15,48.1944125012,9941100.0,1.0622,0.958,-0.1042,46.293,47.5351,48.7771,69.0173,48.2091,47.7895,5.973,113.1387,18.0151,False
2012-03-02,62.68,62.74,62.16,48.0558564518,6715500.0,1.0307,0.9046,-0.1261,46.4645,47.6163,48.7681,66.7046,48.1198,47.8362,1.9659,106.4494,18.0151,False
2012-03-05,62.23,62.32,61.51,47.8095345863,9243000.0,0.9911,0.8327,-0.1584,46.6016,47.6726,48.7437,62.7026,48.0011,47.8772,2.3072,92.7475,15.4755,False
2012-03-06,61.77,62.45,60.93,47.3861688799,14198800.0,0.9395,0.7332,-0.2064,46.7247,47.7074,48.6902,56.4641,47.8619,47.8894,2.8729,82.4794,13.2639,False
