date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-07,17.14,17.32,17.08,12.6082947085,6009800.0,-0.2463,-0.2033,-0.043,12.8873,13.2797,12.4949,37.8501,12.5995,12.8768,-12.6135,-121.9461,10.4438,False
2012-03-08,17.4,17.54,17.33,12.7033137411,7324700.0,-0.2358,-0.2098,-0.026,12.8745,13.2734,12.4757,40.7716,12.5908,12.8646,-4.6739,-96.1025,8.3193,False
2012-03-09,17.39,17.73,17.35,12.9152792754,9875700.0,-0.2079,-0.2094,0.0015,12.872,13.2691,12.4749,46.7539,12.6463,12.8578,-0.6723,-76.856,6.5197,True
2012-03-12,17.62,17.89,17.56,12.9956799952,8885100.0,-0.1774,-0.203,0.0256,12.8791,13.2797,12.4785,48.8534,12.7399,12.8485,0.9594,-59.1686,5.0254,True
2012-03-13,17.86,18.12,17.82,13.2368821549,9122800.0,-0.1321,-0.1888,0.0567,12.8963,13.3262,12.4663,54.6065,12.8919,12.868,1.5126,-29.6959,2.9148,True
2012-03-14,18.07,18.25,17.94,13.2661187803,7476400.0,-0.0929,-0.1696,0.0768,12.9135,13.3727,12.4542,55.2601,13.0235,12.8748,3.4448,-12.2892,0.844,True
2012-03-15,18.03,18.18,17.95,13.2293705288,8929300.0,-0.064,-0.1485,0.0845,12.9306,13.4097,12.4515,54.209,13.1287,12.8865,2.9279,-17.5977,0.844,True
2012-03-16,17.99,18.16,17.95,13.2661187803,6010600.0,-0.0377,-0.1263,0.0887,12.943,13.4429,12.4431,55.1236,13.1988,12.8997,2.5301,-17.6219,0.844,True
2012-03-19,18.02,18.07,17.8801,13.2293705288,7438600.0,-0.0196,-0.105,0.0854,12.9478,13.4566,12.439,53.9687,13.2456,12.907,0.9451,-26.1727,1.4781,True
2012-03-20,17.93,17.97,17.76,13.0897271732,6052300.0,-0.0163,-0.0873,0.0709,12.955,13.4676,12.4425,49.727,13.2161,12.9132,0.2194,-42.5468,2.5668,True
2012-03-21,17.8,17.81,17.61,12.9427341674,7627500.0,-0.0253,-0.0749,0.0496,12.944,13.4475,12.4405,45.678,13.1515,12.9248,-0.6729,-61.5927,3.9154,True
