date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-12-10,29.42,29.75,29.25,29.45,191000.0,-0.6403,-0.7139,-0.0736,30.5735,28.3678,32.7792,41.3072,29.564,30.7653,-5.7052,-100.2539,1.4796,False
2012-12-11,29.66,30.24,29.38,29.83,471900.0,-0.6529,-0.7032,-0.0503,30.582,28.3891,32.7749,43.4295,29.492,30.6833,-2.4264,-89.5866,2.4948,False
2012-12-12,30.03,31.28,29.41,30.63,834600.0,-0.6469,-0.623,0.0239,30.6395,28.5057,32.7733,47.6954,29.736,30.614,2.591,-72.9312,4.6161,True
2012-12-13,30.35,30.96,29.82,30.33,410300.0,-0.6329,-0.577,0.0559,30.7205,28.7708,32.6702,46.2928,29.908,30.5573,1.1765,-72.5497,4.6161,True
2012-12-14,30.29,30.94,30.02,30.54,374000.0,-0.6099,-0.5177,0.0922,30.658,28.7703,32.5457,47.4518,30.156,30.542,-3.252,-67.4678,4.6161,True
2012-12-17,30.5,31.13,30.0,31.1,382800.0,-0.572,-0.4206,0.1514,30.6955,28.8039,32.5871,50.5035,30.486,30.582,-9.7681,-59.7482,5.0132,True
2012-12-18,31.01,33.0,31.01,32.63,834000.0,-0.5012,-0.2177,0.2835,30.774,28.7063,32.8417,57.6955,31.046,30.7373,4.9618,-21.3179,8.8126,True
2012-12-19,32.85,32.85,31.96,32.43,439400.0,-0.4154,-0.0722,0.3432,30.812,28.6539,32.9701,56.5448,31.406,30.8187,-2.6667,-13.879,8.8126,True
2012-12-20,32.28,32.85,32.25,32.83,343900.0,-0.3174,0.0745,0.3919,30.8945,28.5669,33.2221,58.3258,31.906,30.854,2.1138,-4.696,8.8126,True
2012-12-21,32.48,32.74,32.23,32.49,622600.0,-0.2216,0.1615,0.3831,30.9805,28.5528,33.4082,56.2271,32.296,30.8447,4.9359,-5.7517,8.7637,True
2012-12-24,32.24,32.569,30.9,31.66,675400.0,-0.145,0.1616,0.3066,31.0385,28.604,33.473,51.3903,32.408,30.8193,5.5379,-27.4232,5.5534,True
2012-12-26,30.84,30.94,29.39,29.95,3430400.0,-0.1113,0.0234,0.1347,31.021,28.5607,33.4813,43.1894,31.872,30.8033,0.4545,-78.4257,2.0749,True
2012-12-27,29.49,29.99,29.25,29.52,1234900.0,-0.1129,-0.1194,-0.0065,30.9365,28.3932,33.4798,41.409,31.29,30.8107,-4.4296,-94.7564,1.7587,False
2012-12-28,29.16,29.48,28.9,29.05,1107000.0,-0.1438,-0.2674,-0.1236,30.774,28.1851,33.3629,39.502,30.534,30.7827,-10.1767,-108.6856,0.9636,False
2012-12-31,28.94,30.25,28.9,30.03,1247300.0,-0.1755,-0.3022,-0.1267,30.644,28.183,33.105,45.1456,30.042,30.8313,-8.3889,-85.9506,2.6652,False
2013-01-02,30.75,30.75,29.18,30.2,1525500.0,-0.2029,-0.3124,-0.1095,30.552,28.1703,32.9337,46.0805,29.75,30.8813,-5.8193,-72.4642,3.7571,False
2013-01-03,30.1,30.4,29.41,29.69,863100.0,-0.2338,-0.3575,-0.1237,30.527,28.1203,32.9337,43.6873,29.698,30.872,-6.1439,-78.947,3.7571,False
2013-01-04,29.8,29.84,28.96,29.02,1034400.0,-0.2755,-0.4423,-0.1668,30.5075,28.0589,32.9561,40.7112,29.598,30.7647,-2.1318,-99.9287,2.6849,False
2013-01-07,28.54,29.1,27.021,27.36,2517000.0,-0.3476,-0.636,-0.2884,30.402,27.624,33.18,34.4766,29.26,30.5667,-1.855,-157.2096,1.7635,False
2013-01-08,27.36,27.61,25.611,26.2,2826800.0,-0.4527,-0.8731,-0.4204,30.247,26.944,33.55,30.9302,28.494,30.2773,-6.7828,-209.5769,4.8129,False
2013-01-09,26.35,26.67,25.54,26.37,1430400.0,-0.5693,-1.0354,-0.4661,30.093,26.3925,33.7935,32.0281,27.728,29.962,-10.3529,-214.7674,4.9639,False
2013-01-10,26.45,26.62,26.15,26.46,691200.0,-0.6841,-1.1435,-0.4594,29.9245,25.8988,33.9502,32.6355,27.082,29.5507,-11.9709,-199.3438,4.9639,False
2013-01-11,26.6,27.5,26.4601,27.46,1133800.0,-0.7744,-1.1355,-0.3611,29.766,25.6162,33.9158,39.1124,26.77,29.2193,-12.0844,-162.3828,2.8712,False
2013-01-14,27.22,27.28,25.94,26.07,1047100.0,-0.8649,-1.2271,-0.3622,29.553,25.1136,33.9924,34.2133,26.512,28.7687,-11.8863,-186.2298,4.0214,False
2013-01-15,26.04,27.48,25.59,27.22,1239100.0,-0.9306,-1.1931,-0.2626,29.387,24.8603,33.9137,40.7877,26.716,28.4173,-11.1829,-166.6127,4.7929,False
2013-01-16,27.23,27.48,26.85,27.34,798000.0,-0.9731,-1.1434,-0.1702,29.199,24.6602,33.7378,41.442,26.91,28.1293,-11.725,-142.8396,4.7929,False
2013-01-17,27.42,27.78,27.25,27.6,953100.0,-0.9926,-1.0706,-0.078,28.9475,24.6457,33.2493,42.9064,27.138,27.9727,-15.8182,-125.8723,4.0515,False
2013-01-18,27.53,27.75,27.16,27.4,392000.0,-0.9976,-1.0174,-0.0198,28.696,24.658,32.734,42.0399,27.126,27.8313,-15.5251,-126.329,4.2581,False
2013-01-22,27.16,27.72,26.83,27.62,905700.0,-0.9874,-0.9465,0.0409,28.4355,24.8511,32.0199,43.3874,27.436,27.736,-15.6164,-123.6412,5.0209,True
2013-01-23,27.56,28.01,27.45,27.93,601600.0,-0.961,-0.8555,0.1055,28.2075,25.1411,31.2739,45.3071,27.578,27.596,-14.4472,-102.7989,4.2784,True
2013-01-24,27.64,29.59,27.0,29.52,1730100.0,-0.8983,-0.6475,0.2507,28.1005,25.3954,30.8056,53.8979,28.014,27.5507,-9.1467,-60.5809,0.3476,True
2013-01-25,29.54,31.5,29.385,31.1,1529400.0,-0.7889,-0.3512,0.4376,28.158,25.2563,31.0597,60.5031,28.714,27.6447,1.81,31.0589,4.0967,True
2013-01-28,30.88,31.47,30.72,31.25,944900.0,-0.6517,-0.1031,0.5486,28.2445,25.0931,31.3959,61.0704,29.484,27.7933,4.935,54.886,4.0967,True
2013-01-29,31.22,31.23,29.9,30.2,1111000.0,-0.5196,0.0087,0.5283,28.302,25.0535,31.5505,55.1311,30.0,27.9827,5.9362,22.5504,2.0892,True
2013-01-30,30.07,30.5,28.57,28.97,2502000.0,-0.4161,-0.0019,0.4142,28.249,25.0814,31.4166,49.1337,30.208,28.1673,0.8264,-28.2639,1.0581,True
2013-01-31,27.75,30.5,27.65,27.72,3539400.0,-0.3549,-0.1099,0.2449,28.125,25.0809,31.1691,43.9301,29.848,28.2573,-0.813,-60.1464,3.1582,True
2013-02-01,26.33,28.84,25.71,28.07,8243400.0,-0.317,-0.1654,0.1516,28.044,25.0857,31.0023,45.6567,29.242,28.3647,-5.1316,-107.3141,7.3744,True
2013-02-04,28.0,29.15,27.7,28.96,1650300.0,-0.2808,-0.1359,0.1448,28.041,25.0866,30.9954,49.863,28.784,28.4647,-2.3123,-54.7327,6.6201,True
2013-02-05,28.9,29.92,28.61,29.78,1909700.0,-0.2338,-0.0459,0.1879,28.162,25.1318,31.1922,53.422,28.7,28.712,2.8179,-13.214,4.7611,True
2013-02-06,29.36,29.785,29.36,29.72,757400.0,-0.183,0.0204,0.2033,28.338,25.3759,31.3001,53.1263,28.85,28.8787,7.8776,-3.0644,4.7611,True
2013-02-07,29.42,29.45,28.581,29.42,1066000.0,-0.1367,0.0481,0.1849,28.4905,25.6374,31.3436,51.5966,29.19,29.0173,10.4237,-25.3839,6.4673,True
2013-02-08,29.35,29.83,29.24,29.83,1021300.0,-0.089,0.102,0.191,28.659,25.9093,31.4087,53.5549,29.542,29.166,12.0586,-1.0768,5.5294,True
2013-02-11,29.75,29.75,29.15,29.55,721400.0,-0.047,0.1208,0.1678,28.7635,26.0453,31.4817,52.0151,29.66,29.3093,8.1818,-8.5825,5.7295,True
2013-02-12,29.5,29.75,29.04,29.25,679300.0,-0.0156,0.1101,0.1257,28.9225,26.4968,31.3482,50.3531,29.554,29.418,9.0543,-15.5944,5.9769,True
2013-02-13,29.59,29.89,28.7,29.78,2704200.0,0.0161,0.1428,0.1267,29.0505,26.7298,31.3712,53.1845,29.566,29.5413,8.77,-9.1742,6.7463,True
2013-02-14,30.63,33.21,30.4,32.88,5687800.0,0.0957,0.4141,0.3184,29.3275,26.6023,32.0527,65.5107,30.258,29.7653,20.8515,125.7585,1.2757,True
2013-02-15,33.0,34.12,32.341,33.86,3513300.0,0.2166,0.7001,0.4835,29.6405,26.393,32.888,68.3347,31.064,29.9493,22.8222,180.1745,3.3013,True
2013-02-19,33.66,34.33,32.86,33.46,3227700.0,0.3501,0.8843,0.5342,29.9435,26.466,33.421,65.9724,31.846,30.0967,23.7117,180.8568,3.7647,True
2013-02-20,33.4,33.92,32.84,32.96,1476000.0,0.4758,0.9786,0.5028,30.2105,26.6682,33.7528,63.0532,32.588,30.2807,22.3665,160.1279,3.7166,True
2013-02-21,32.13,32.9,31.14,31.54,2572500.0,0.5663,0.9281,0.3618,30.391,26.9659,33.8161,55.5709,32.94,30.452,17.4581,94.6068,0.2821,True
2013-02-22,31.45,33.86,31.11,33.48,2128800.0,0.6596,1.0327,0.3732,30.589,26.9378,34.2402,62.1462,33.06,30.836,14.4306,131.4227,1.8901,True
2013-02-25,33.48,33.75,32.0,32.17,1357600.0,0.7273,0.9984,0.2711,30.6425,26.9321,34.3529,56.1356,32.722,31.1093,7.1429,118.084,1.8901,True
2013-02-26,31.88,32.11,30.89,31.25,2125500.0,0.7592,0.8868,0.1275,30.6425,26.9321,34.3529,52.3274,32.28,31.262,2.0337,65.1286,0.6824,True
2013-02-27,31.59,33.63,31.26,32.2,1950400.0,0.7804,0.865,0.0846,30.7425,26.9778,34.5072,55.6556,32.128,31.4233,7.6849,104.6268,2.7373,True
2013-02-28,32.14,32.55,31.78,32.47,937500.0,0.7962,0.8596,0.0634,30.9175,27.1733,34.6617,56.5787,32.314,31.6067,6.7213,100.5057,2.7373,True
2013-03-01,32.06,33.01,31.69,32.79,1562300.0,0.8112,0.8711,0.0599,31.171,27.647,34.695,57.697,32.176,31.8313,8.2295,109.1059,3.7604,True
2013-03-04,32.49,33.78,32.48,33.68,1298700.0,0.8372,0.9411,0.104,31.4515,28.0693,34.8337,60.712,32.478,32.088,17.129,137.4021,5.4533,True
2013-03-05,33.65,36.82,33.33,36.57,3713600.0,0.9129,1.2159,0.303,31.832,27.9773,35.6867,68.5184,33.542,32.556,26.3122,212.651,11.6903,True
2013-03-06,36.41,37.47,35.72,36.95,2400700.0,1.0198,1.4476,0.4277,32.1905,27.8614,36.5196,69.3756,34.492,33.0693,25.234,236.1319,12.9391,True
2013-03-07,36.82,37.0,36.45,36.77,572200.0,1.1355,1.5982,0.4627,32.543,27.9367,37.1493,68.4299,35.352,33.5353,24.2236,219.8628,12.9391,True
2013-03-08,36.95,36.95,36.33,36.66,610800.0,1.2463,1.6893,0.443,32.905,28.2004,37.6096,67.8246,36.126,33.7873,25.4669,202.1154,12.635,True
