date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-23,19.85,20.07,19.56,14.9466166557,50013100.0,0.2995,0.2204,0.0791,14.252,13.3949,15.109,65.6947,14.8313,14.4153,9.7255,198.7755,17.9584,True
2012-01-24,19.75,19.86,19.56,14.9353105917,30828500.0,0.3068,0.2377,0.0691,14.3177,13.4626,15.1728,65.3753,14.9082,14.5054,9.3521,179.7317,17.9584,True
2012-01-25,19.8,19.87,19.48,14.9466166557,37205000.0,0.31,0.2521,0.0578,14.3713,13.5,15.2427,65.5547,14.9519,14.5657,7.8096,166.8924,17.1508,True
2012-01-26,19.97,19.99,19.71,14.9466166557,36818500.0,0.3089,0.2635,0.0454,14.4207,13.5365,15.3049,65.5547,14.9579,14.6079,7.5879,171.8492,18.0071,True
2012-01-27,19.58,19.69,19.36,14.7431075031,43539600.0,0.2883,0.2684,0.0198,14.4757,13.6572,15.2941,59.2145,14.9037,14.6401,6.2583,125.395,14.4971,True
2012-01-30,19.404,19.63,19.27,14.7431075031,31384800.0,0.2689,0.2685,0.0003,14.5272,13.7811,15.2734,59.2145,14.863,14.6758,7.7899,114.9752,13.6134,True
2012-01-31,19.69,19.73,19.44,14.8071751993,40629600.0,0.2557,0.266,-0.0103,14.5884,13.9725,15.2044,60.5919,14.8373,14.7097,8.2206,125.4249,14.3603,False
2012-02-01,19.84,19.95,19.7,14.9240045276,57074800.0,0.2518,0.2631,-0.0113,14.6325,14.0542,15.2108,63.0312,14.8328,14.7584,5.7794,145.8052,15.9853,False
2012-02-02,19.83,19.98,19.8,14.9240045276,36405200.0,0.2459,0.2597,-0.0138,14.663,14.0909,15.2352,63.0312,14.8283,14.7951,5.1579,144.8187,16.2058,False
2012-02-03,19.99,20.2,19.91,15.1425884323,54491000.0,0.2558,0.2589,-0.0031,14.7071,14.1299,15.2844,67.3694,14.9082,14.8423,6.3158,162.5528,17.8144,False
2012-02-06,20.04,20.2,19.92,15.2179621926,37141900.0,0.2668,0.2605,0.0063,14.7576,14.1872,15.328,68.7253,15.0031,14.8991,6.3158,158.576,17.8144,True
2012-02-07,20.09,20.33,20.0,15.2254995686,61422400.0,0.2729,0.263,0.0099,14.804,14.2397,15.3682,68.864,15.0868,14.9441,6.4398,160.214,18.7674,True
2012-02-08,20.22,20.45,20.09,15.3988592172,91349200.0,0.2884,0.268,0.0203,14.8643,14.3166,15.4119,71.93,15.1818,14.9888,6.2338,167.0265,19.6421,True
2012-02-09,20.23,20.49,19.87,15.0747520481,131157200.0,0.2714,0.2687,0.0027,14.8993,14.3936,15.4051,60.0794,15.2119,14.9994,7.0533,137.3299,17.2875,True
2012-02-10,19.79,20.06,19.73,14.9956095999,63115200.0,0.2487,0.2647,-0.016,14.9274,14.4679,15.3869,57.5968,15.1825,14.9981,4.4792,108.3271,15.8125,False
2012-02-13,20.01,20.06,19.9,15.0973641762,50426600.0,0.2362,0.259,-0.0228,14.964,14.5784,15.3495,59.8805,15.1584,15.0082,4.6427,113.7484,15.8125,False
2012-02-14,19.9001,20.07,19.83,15.1275136803,31854000.0,0.2261,0.2524,-0.0263,14.9928,14.6514,15.3342,60.5549,15.1388,15.021,3.882,107.8559,15.0642,False
2012-02-15,20.09,20.21,19.85,15.0069156639,44880700.0,0.206,0.2431,-0.0372,15.0067,14.6877,15.3258,56.4855,15.0604,15.025,2.9547,103.2908,16.1659,False
2012-02-16,19.98,20.27,19.91,15.2179621926,42558500.0,0.2047,0.2354,-0.0307,15.0218,14.6929,15.3507,61.355,15.0891,15.0431,1.604,111.2423,16.6371,False
2012-02-17,20.2,20.35,20.0,15.2933359528,54249700.0,0.2074,0.2298,-0.0224,15.0357,14.6863,15.3852,62.9418,15.1486,15.0798,2.1074,114.8726,17.2677,False
