date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-19,33.66,34.0,33.59,30.1162944246,439200.0,0.1104,0.0037,0.1067,29.7072,28.8505,30.5639,57.4225,29.6224,29.5554,0.8005,107.6416,7.6166,True
2012-01-20,33.8,34.0,33.655,30.1340621499,408200.0,0.1451,0.0308,0.1144,29.7036,28.8547,30.5526,57.5898,29.7521,29.5732,-0.1762,107.3283,7.6166,True
2012-01-23,33.89,34.04,33.406,30.0896428366,278300.0,0.1672,0.0422,0.1249,29.7121,28.8514,30.5728,56.9901,29.9439,29.572,0.2356,96.0415,6.3234,True
2012-01-24,33.67,34.34,33.6,30.3828103045,235600.0,0.2059,0.0648,0.1411,29.7276,28.831,30.6243,59.9397,30.1198,29.607,0.6153,122.0248,7.6826,True
2012-01-25,34.23,34.5,33.93,30.6493261843,551900.0,0.2552,0.0913,0.1639,29.7489,28.7882,30.7097,62.4481,30.2744,29.646,1.2918,144.4527,8.4034,True
2012-01-26,34.66,34.67,34.22,30.5693714204,303100.0,0.2845,0.0965,0.188,29.7578,28.7706,30.7451,61.216,30.365,29.7313,0.6678,151.0386,9.1697,True
2012-01-27,34.22,34.59,33.9,30.5604875577,168500.0,0.3035,0.0924,0.2111,29.7925,28.7454,30.8395,61.0726,30.4503,29.8178,0.2609,132.1416,7.4489,True
2012-01-30,34.1,34.545,33.92,30.4716489311,394500.0,0.3079,0.0774,0.2305,29.8107,28.7302,30.8912,59.5769,30.5267,29.9191,1.4537,125.8351,7.4489,True
2012-01-31,34.37,34.66,34.19,30.3828103045,427000.0,0.3007,0.0562,0.2445,29.8369,28.728,30.9458,58.0535,30.5267,30.0044,1.5576,132.7286,7.988,True
2012-02-01,34.21,34.59,33.77,30.684861635,731000.0,0.3157,0.057,0.2588,29.868,28.7021,31.0339,61.6277,30.5338,30.0956,0.2899,122.5828,5.7015,True
2012-02-02,34.06,34.84,34.06,30.4760908624,703000.0,0.3073,0.0388,0.2685,29.9273,28.7643,31.0903,57.9698,30.5152,30.1675,3.4506,127.7671,6.8948,True
2012-02-03,34.86,35.37,34.64,31.262312708,458200.0,0.3598,0.0731,0.2867,30.0272,28.7699,31.2846,66.0909,30.6555,30.286,7.1169,183.8466,9.3675,True
2012-02-06,35.03,35.29,34.77,31.0846354548,293800.0,0.3828,0.0768,0.3059,30.1338,28.8977,31.37,63.1371,30.7781,30.4163,6.4876,169.0391,9.3675,True
2012-02-07,34.84,35.07,34.79,31.1112870428,286800.0,0.3985,0.074,0.3245,30.2342,29.0233,31.4452,63.4,30.9238,30.5235,6.2727,156.3189,9.3675,True
2012-02-08,35.22,35.22,34.535,30.8891904762,352600.0,0.3886,0.0513,0.3373,30.3128,29.147,31.4787,59.6046,30.9647,30.591,6.2764,139.0734,7.9172,True
2012-02-09,34.83,35.09,34.64,30.9513775148,321600.0,0.3813,0.0352,0.3461,30.3906,29.2731,31.508,60.3172,31.0598,30.6467,5.8841,133.2022,7.9172,True
2012-02-10,34.53,34.575,34.19,30.5427198324,209900.0,0.3387,-0.0059,0.3446,30.4434,29.405,31.4819,53.6527,30.9158,30.6739,4.1102,88.6059,5.3673,False
2012-02-13,34.76,34.76,34.1,30.8358873002,303800.0,0.3248,-0.0158,0.3406,30.5287,29.6713,31.3861,57.2807,30.8661,30.7237,5.4932,96.568,6.293,False
2012-02-14,34.48,34.94,34.48,31.0046806908,333300.0,0.3237,-0.0136,0.3372,30.6038,29.8638,31.3438,59.2486,30.8448,30.7651,4.2985,112.4996,7.1913,False
2012-02-15,35.0,35.0,34.31,30.5960230084,409900.0,0.2865,-0.0406,0.3271,30.6398,29.979,31.3005,52.9245,30.7861,30.7616,3.3058,93.7752,6.2134,False
2012-02-16,34.34,34.85,34.34,30.8403292316,442200.0,0.2737,-0.0428,0.3164,30.676,30.0558,31.2961,55.9371,30.7639,30.7796,2.8407,100.9963,6.2134,False
2012-02-17,34.67,34.67,33.82,30.2253053249,474100.0,0.2114,-0.084,0.2954,30.6805,30.0752,31.2858,47.7032,30.7004,30.7573,2.3095,61.2698,3.2244,False
2012-02-21,33.94,34.0,33.49,29.8776831168,359000.0,0.1324,-0.1304,0.2628,30.6699,30.018,31.3219,43.7989,30.5088,30.7177,0.2145,20.0211,1.3832,False
2012-02-22,33.49,33.62,33.28,29.7618090475,409600.0,0.0599,-0.1624,0.2222,30.6389,29.8842,31.3936,42.555,30.2602,30.6763,-1.7713,-5.5856,0.2262,False
2012-02-23,33.41,34.06,33.314,30.1183446455,308600.0,0.0307,-0.1532,0.1839,30.6123,29.8243,31.4004,47.473,30.1647,30.6385,-0.9472,17.7294,2.5947,False
2012-02-24,33.81,34.09,33.44,29.9668170163,964500.0,-0.0045,-0.1508,0.1462,30.5822,29.7454,31.4191,45.6917,29.99,30.6046,-1.3461,13.928,2.7548,False
2012-02-27,33.3,33.76,33.06,29.9668170163,357400.0,-0.0321,-0.1427,0.1106,30.5525,29.6736,31.4314,45.6917,29.9383,30.5182,-2.0751,-16.1321,0.6248,False
2012-02-28,33.68,33.97,33.53,30.0916044757,328700.0,-0.0434,-0.1231,0.0798,30.5335,29.6323,31.4347,47.5522,29.9811,30.452,-1.3377,13.1711,1.7691,False
2012-02-29,33.75,33.9802,33.4,30.0737776958,630600.0,-0.0531,-0.1063,0.0532,30.5181,29.5967,31.4395,47.3041,30.0435,30.3828,-1.6355,6.2453,1.0367,False
2012-03-01,33.76,34.08,33.68,30.0381241359,392000.0,-0.063,-0.093,0.03,30.4857,29.5449,31.4266,46.7812,30.0274,30.3261,-1.1469,18.6264,1.5896,False
2012-03-02,33.63,33.74,33.3,29.8331161671,399300.0,-0.0864,-0.0931,0.0067,30.4536,29.4706,31.4366,43.7986,30.0007,30.2515,-2.8354,-21.656,0.5617,False
2012-03-05,33.3,33.4,33.03,29.663761758,412600.0,-0.1172,-0.0991,-0.0181,30.3737,29.4069,31.3405,41.4591,29.9401,30.1929,-5.2558,-55.8906,2.0604,False
2012-03-06,32.93,33.1,32.76,29.3963600595,405500.0,-0.1614,-0.1146,-0.0468,30.2893,29.2912,31.2873,38.0231,29.801,30.097,-5.894,-91.5041,3.5389,False
2012-03-07,33.01,33.55,32.89,29.9044232867,331800.0,-0.1536,-0.0855,-0.0681,30.2289,29.2929,31.1649,46.97,29.7672,30.0236,-4.0162,-45.1773,0.9558,False
2012-03-08,33.83,33.9073,33.37,30.029210746,234600.0,-0.1358,-0.0542,-0.0817,30.1859,29.2974,31.0744,48.9108,29.7654,29.9858,-3.4072,-4.1856,1.0376,False
2012-03-09,33.66,34.13,33.55,30.029210746,459400.0,-0.1203,-0.0309,-0.0894,30.1398,29.3221,30.9575,48.9108,29.8046,29.9318,-2.4125,11.7543,2.2609,False
2012-03-12,33.76,33.93,33.6,30.1629115953,197400.0,-0.0962,-0.0054,-0.0908,30.1208,29.324,30.9176,51.1115,29.9044,29.9276,-1.5393,9.9666,2.2609,False
2012-03-13,34.13,34.51,33.82,30.7511953321,271800.0,-0.0292,0.0492,-0.0784,30.1166,29.3343,30.8989,59.3636,30.1754,29.9858,-0.3892,73.9218,5.4102,True
2012-03-14,34.33,34.6,34.13,30.572927533,295300.0,0.0094,0.0702,-0.0609,30.095,29.3921,30.7979,56.2793,30.3091,30.0399,-0.644,80.6306,5.8888,True
2012-03-15,34.24,34.48,34.02,30.4392266838,439300.0,0.0288,0.0718,-0.0429,30.0871,29.4036,30.7707,54.0238,30.3911,30.0613,-1.1583,60.4179,5.2271,True
2012-03-16,34.09,34.16,33.79,30.1539982053,609100.0,0.021,0.0511,-0.0302,30.0528,29.4612,30.6444,49.4902,30.4161,30.0738,-1.9799,17.3157,3.8473,True
2012-03-19,33.75,34.31,33.6,30.2431321048,345200.0,0.0217,0.0415,-0.0198,30.0537,29.461,30.6464,50.8706,30.4321,30.0922,-1.0384,19.6145,2.7158,True
2012-03-20,33.67,33.92,33.61,30.020297356,228100.0,0.0042,0.0192,-0.015,30.0609,29.4734,30.6483,47.4007,30.2859,30.0874,-0.2353,-11.5285,2.7158,True
2012-03-21,33.75,34.09,33.53,30.3233526144,299300.0,0.0147,0.0237,-0.009,30.0889,29.5077,30.6702,52.1561,30.236,30.1041,1.398,9.1545,3.6869,True
2012-03-22,33.78,33.96,33.45,30.1272580355,262400.0,0.0071,0.0129,-0.0058,30.0894,29.508,30.6707,49.0799,30.1736,30.11,-0.2936,-11.4864,3.1939,True
2012-03-23,33.77,34.0,33.55,30.2431321048,196000.0,0.0103,0.0129,-0.0026,30.1032,29.521,30.6854,50.9129,30.1914,30.1374,-0.264,2.247,3.4274,True
2012-03-26,34.24,34.57,33.99,30.769022112,300200.0,0.0546,0.0458,0.0088,30.1433,29.4972,30.7894,58.2252,30.2966,30.211,2.3993,77.7754,6.6882,True
2012-03-27,34.46,34.71,34.22,30.769022112,300900.0,0.0887,0.0639,0.0248,30.1772,29.4767,30.8776,58.2252,30.4464,30.3026,2.1784,91.7168,7.4686,True
2012-03-28,34.51,34.65,34.15,30.6888016024,277000.0,0.108,0.0666,0.0415,30.2079,29.4751,30.9408,56.745,30.5194,30.3548,1.9711,78.4274,7.0136,True
2012-03-29,34.32,34.47,34.04,30.5016204134,288000.0,0.107,0.0524,0.0546,30.2311,29.4919,30.9703,53.354,30.5943,30.3863,1.1444,53.7766,6.2943,True
2012-03-30,34.51,34.51,34.1,30.4124865139,292200.0,0.0979,0.0346,0.0632,30.2601,29.5404,30.9797,51.7754,30.6282,30.4119,2.2822,51.797,6.5266,True
2012-04-02,34.06,34.48,33.83,30.6264078727,278200.0,0.1067,0.0347,0.0719,30.3082,29.6267,30.9897,55.1849,30.5997,30.4428,3.2335,46.8488,4.7438,True
2012-04-03,34.36,34.39,33.53,30.4570534637,262300.0,0.0988,0.0215,0.0773,30.3612,29.8215,30.9009,52.0627,30.5373,30.4232,3.8973,16.5152,2.7999,True
2012-04-04,33.81,33.86,33.506,30.1094312556,402000.0,0.0638,-0.0108,0.0746,30.3715,29.8598,30.8832,46.3015,30.4214,30.3923,0.924,-35.0915,2.6449,False
2012-04-05,33.57,33.88,33.48,30.1539982053,272200.0,0.0392,-0.0283,0.0675,30.3777,29.88,30.8754,47.1055,30.3519,30.3733,-0.0805,-36.005,2.4747,False
2012-04-09,33.29,33.53,33.16,29.6191948082,690700.0,-0.0231,-0.0725,0.0494,30.3572,29.7769,30.9376,39.5013,30.1932,30.3376,-1.758,-107.4955,0.3911,False
2012-04-10,33.13,33.22,32.62,29.28939938,580300.0,-0.0981,-0.118,0.0199,30.3135,29.5722,31.0549,35.6942,29.9258,30.274,-2.0925,-173.7469,2.9936,False
2012-04-11,33.16,33.387,32.9,29.7083287077,322000.0,-0.1222,-0.1137,-0.0085,30.2614,29.504,31.0189,43.1512,29.7761,30.2532,-3.2541,-128.2392,1.913,False
2012-04-12,33.33,33.65,33.19,29.8776831168,238300.0,-0.1262,-0.0942,-0.0321,30.2266,29.4658,30.9875,45.87,29.7297,30.2235,-2.7457,-88.5409,0.2287,False
2012-04-13,33.33,33.38,32.94,29.3607064996,248000.0,-0.1692,-0.1097,-0.0595,30.1727,29.3312,31.0143,39.6655,29.5711,30.1724,-3.1903,-147.7039,1.7976,False
2012-04-16,33.04,33.23,32.73,29.3874466695,208700.0,-0.1988,-0.1114,-0.0873,30.1344,29.2258,31.043,40.1144,29.5247,30.1154,-2.7225,-159.4344,3.0992,False
2012-04-17,33.09,33.76,33.05,29.9757304063,283600.0,-0.1728,-0.0683,-0.1044,30.121,29.2113,31.0307,49.0499,29.662,30.0625,-1.603,-76.0512,0.2927,False
2012-04-18,33.63,33.73,33.42,29.9133366766,315000.0,-0.1554,-0.0408,-0.1146,30.1157,29.2024,31.0289,48.2321,29.703,30.0054,-0.5601,-61.1056,0.2927,False
2012-04-19,33.44,33.75,32.91,29.5033207389,260900.0,-0.1727,-0.0465,-0.1263,30.0747,29.1293,31.02,43.1649,29.6281,29.9264,-0.9974,-107.3202,2.8868,False
