date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-18,5.66,5.99,5.63,5.97,49200.0,-0.2863,-0.292,0.0057,6.101,6.7651,5.4369,45.0014,5.764,5.9827,-15.8708,-94.4599,6.1831,True
2012-07-19,6.07,6.07,5.7469,5.88,94400.0,-0.2701,-0.2876,0.0175,6.055,6.642,5.468,43.7686,5.842,5.9847,-14.1443,-88.4038,5.4992,True
2012-07-20,5.96,6.33,5.95,6.1,144300.0,-0.2368,-0.2774,0.0406,6.03,6.5621,5.4979,47.533,5.854,5.972,-7.1848,-68.2339,3.3002,True
2012-07-23,6.03,6.25,6.03,6.21,41600.0,-0.1992,-0.2618,0.0626,6.01,6.4798,5.5402,49.3495,5.962,5.9713,-6.8554,-63.6556,3.3002,True
2012-07-24,6.23,6.25,5.76,5.83,74100.0,-0.1978,-0.249,0.0512,5.9875,6.4464,5.5286,43.7439,5.998,5.9473,-5.0152,-78.3023,5.4174,True
2012-07-25,5.87,6.01,5.65,5.76,63400.0,-0.2001,-0.2392,0.0391,5.976,6.4455,5.5065,42.7847,5.956,5.9187,-6.9659,-86.0415,6.2677,True
2012-07-26,5.81,5.92,5.64,5.87,96900.0,-0.1908,-0.2295,0.0388,5.977,6.4455,5.5085,44.8218,5.954,5.8973,-1.1686,-83.2264,6.3456,True
2012-07-27,5.93,5.93,5.77,5.84,21300.0,-0.1837,-0.2204,0.0367,5.9545,6.4035,5.5055,44.3603,5.902,5.8707,-6.9074,-78.2251,6.2558,True
2012-07-30,5.89,6.23,5.76,5.9,72100.0,-0.1713,-0.2105,0.0393,5.9385,6.371,5.506,45.5615,5.84,5.8507,-5.9481,-67.6649,3.5891,True
2012-07-31,5.91,5.91,5.63,5.81,66000.0,-0.1668,-0.2018,0.035,5.9195,6.3394,5.4996,44.0337,5.836,5.8507,-10.4545,-79.7675,4.6437,True
2012-08-01,5.87,6.1155,5.63,5.64,30400.0,-0.1749,-0.1964,0.0215,5.892,6.3094,5.4746,41.2354,5.812,5.844,-2.4641,-76.8779,2.8354,True
2012-08-02,5.63,5.89,5.612,5.78,23900.0,-0.1681,-0.1908,0.0226,5.8715,6.2681,5.4749,44.3555,5.794,5.8633,-7.3899,-78.0091,2.9848,True
2012-08-03,5.89,6.06,5.65,6.03,26900.0,-0.141,-0.1808,0.0398,5.861,6.2281,5.4939,49.4869,5.832,5.8627,-4.4164,-63.9197,1.4867,True
2012-08-06,6.02,6.33,5.988,6.33,28900.0,-0.0941,-0.1635,0.0693,5.8675,6.262,5.473,54.8412,5.918,5.9067,-1.5552,-35.9829,0.843,True
2012-08-07,6.25,6.89,6.22,6.67,194500.0,-0.0292,-0.1366,0.1074,5.9105,6.4362,5.3848,59.9909,6.09,5.9747,8.7609,0.9031,5.4224,True
2012-08-08,6.59,6.59,4.81,5.07,633000.0,-0.1057,-0.1304,0.0247,5.877,6.5152,5.2388,38.0904,5.976,5.9147,9.4684,-102.1445,5.7258,True
2012-08-09,5.43,5.75,5.19,5.56,211200.0,-0.1253,-0.1294,0.0041,5.8805,6.5109,5.2501,44.713,5.932,5.8933,-3.3613,-99.7663,5.7258,True
2012-08-10,5.58,5.8606,5.552,5.63,90800.0,-0.1337,-0.1303,-0.0034,5.86,6.495,5.225,45.6036,5.852,5.862,-4.2386,-80.2156,4.8266,False
2012-08-13,5.65,5.72,5.01,5.07,145000.0,-0.1834,-0.1409,-0.0425,5.83,6.5492,5.1108,40.0706,5.6,5.786,-10.19,-122.9442,8.6967,False
2012-08-14,5.07,5.32,5.06,5.17,128700.0,-0.2122,-0.1552,-0.0571,5.806,6.5777,5.0343,41.4302,5.3,5.742,-8.1174,-131.1413,8.6967,False
2012-08-15,5.17,5.21,4.66,5.04,153500.0,-0.2428,-0.1727,-0.0701,5.7595,6.5955,4.9235,40.1611,5.294,5.694,-13.0217,-154.8182,11.4451,False
2012-08-16,5.04,5.18,5.0,5.06,35100.0,-0.2624,-0.1906,-0.0718,5.7185,6.6057,4.8313,40.4618,5.194,5.64,-14.6623,-141.5454,11.4451,False
2012-08-17,5.1,5.33,5.07,5.26,96500.0,-0.2588,-0.2043,-0.0545,5.6765,6.567,4.786,43.5028,5.12,5.6013,-15.7978,-123.6699,10.1591,False
2012-08-20,5.32,5.32,5.0301,5.23,39000.0,-0.2554,-0.2145,-0.0409,5.6275,6.5029,4.7521,43.1486,5.152,5.5567,-14.88,-125.2678,10.4387,False
2012-08-21,5.25,5.36,5.0,5.14,95700.0,-0.257,-0.223,-0.034,5.593,6.4879,4.6981,42.0482,5.146,5.512,-14.24,-126.7944,10.0894,False
2012-08-22,5.05,5.125,4.99,5.0,69500.0,-0.2666,-0.2317,-0.0348,5.555,6.4823,4.6277,40.3338,5.138,5.4693,-14.7255,-141.7152,10.1616,False
2012-08-23,4.99,5.09,4.88,4.97,53100.0,-0.2734,-0.24,-0.0333,5.51,6.4589,4.5611,39.9597,5.12,5.4153,-14.0203,-145.9137,10.9618,False
2012-08-24,4.96,5.08,4.88,4.94,94600.0,-0.278,-0.2476,-0.0303,5.465,6.4322,4.4978,39.5666,5.056,5.3427,-14.3339,-143.8657,10.9618,False
2012-08-27,4.98,5.19,4.9279,5.1,47900.0,-0.2657,-0.2512,-0.0144,5.425,6.3831,4.4669,42.7834,5.03,5.2607,-16.6934,-124.7747,9.949,False
2012-08-28,5.16,5.22,5.01,5.01,93600.0,-0.2602,-0.253,-0.0071,5.385,6.3422,4.4278,41.4535,5.004,5.15,-11.6751,-122.486,9.6714,False
2012-08-29,5.06,5.23,5.04,5.11,91000.0,-0.2449,-0.2514,0.0065,5.3585,6.3154,4.4016,43.5427,5.026,5.1527,-14.4796,-114.5896,9.5776,True
2012-08-30,5.37,5.37,4.89,4.9,139400.0,-0.2469,-0.2505,0.0036,5.3145,6.2707,4.3583,40.3066,5.012,5.1087,-8.8285,-119.868,10.742,True
2012-08-31,4.99,4.99,4.91,4.96,62900.0,-0.2409,-0.2486,0.0077,5.261,6.1696,4.3524,41.6344,5.016,5.064,-17.6568,-128.947,10.742,True
2012-09-04,4.98,5.1001,4.83,4.96,198700.0,-0.2334,-0.2456,0.0121,5.1925,5.9648,4.4202,41.6344,4.988,5.0567,-19.4297,-123.6535,9.67,True
2012-09-05,4.98,5.39,4.83,5.28,208100.0,-0.1994,-0.2363,0.0369,5.123,5.4999,4.7461,48.6306,5.042,5.064,-21.7707,-93.1425,6.899,True
2012-09-06,5.33,5.33,4.95,4.98,168000.0,-0.1944,-0.2279,0.0335,5.1185,5.4999,4.7371,43.4046,5.016,5.06,-19.1199,-100.8792,6.899,True
2012-09-07,5.02,5.02,4.32,4.53,537400.0,-0.2242,-0.2272,0.003,5.067,5.4734,4.6606,37.0122,4.942,5.0247,-12.6957,-158.1838,11.9017,True
2012-09-10,4.55,4.87,4.55,4.61,112500.0,-0.2385,-0.2295,-0.0091,5.016,5.3809,4.6511,38.7309,4.872,4.9813,-16.9027,-144.7797,11.9017,False
2012-09-11,4.68,4.81,4.66,4.68,50900.0,-0.2415,-0.2319,-0.0096,4.9965,5.3884,4.6046,40.2592,4.816,4.9447,-15.9091,-133.9067,11.9017,False
2012-09-12,4.68,4.85,4.6,4.84,63800.0,-0.2283,-0.2311,0.0028,4.98,5.3691,4.5909,43.6984,4.728,4.9247,-8.8346,-122.8544,12.3734,True
2012-09-13,4.89,5.02,4.83,4.9,99800.0,-0.2106,-0.227,0.0165,4.973,5.3626,4.5834,44.9712,4.712,4.918,-3.6468,-98.2488,10.6663,True
2012-09-14,4.93,5.24,4.93,5.22,90500.0,-0.1688,-0.2154,0.0466,4.981,5.3837,4.5783,51.2669,4.85,4.9347,1.1583,-66.1916,8.4973,True
2012-09-17,5.16,5.18,4.99,4.99,118800.0,-0.1524,-0.2028,0.0504,4.9675,5.3495,4.5855,47.1158,4.926,4.938,-2.8143,-74.062,8.4973,True
2012-09-18,5.01,5.14,4.9517,4.97,81100.0,-0.1395,-0.1901,0.0506,4.9545,5.3171,4.5919,46.7631,4.984,4.9293,-3.3835,-75.9305,8.819,True
2012-09-19,5.01,5.25,4.98,5.11,162800.0,-0.1166,-0.1754,0.0588,4.953,5.3127,4.5933,49.5936,5.038,4.936,-2.0522,-60.4222,7.7127,True
2012-09-20,5.05,5.21,5.05,5.12,95100.0,-0.0965,-0.1596,0.0631,4.959,5.3256,4.5924,49.7979,5.082,4.9367,1.6585,-56.4738,7.7127,True
2012-09-21,5.21,5.22,5.11,5.11,118000.0,-0.0805,-0.1438,0.0633,4.966,5.3385,4.5935,49.5826,5.06,4.9507,2.554,-51.8547,7.6099,True
2012-09-24,5.09,5.17,4.66,4.88,94200.0,-0.0854,-0.1321,0.0467,4.963,5.3372,4.5888,44.8088,5.038,4.9453,1.7717,-84.4106,11.4781,True
2012-09-25,4.92,4.92,4.7,4.75,256100.0,-0.0986,-0.1254,0.0268,4.9455,5.3252,4.5658,42.3401,4.994,4.9313,-5.2023,-97.8589,11.4781,True
2012-09-26,4.79,4.88,4.68,4.75,123300.0,-0.1078,-0.1219,0.0141,4.9325,5.3202,4.5448,42.3401,4.922,4.896,-6.5134,-97.8492,11.6481,True
2012-09-27,4.81,4.81,4.58,4.6,303300.0,-0.1258,-0.1227,-0.0031,4.907,5.3113,4.5027,39.4605,4.818,4.8707,-8.0306,-110.1458,12.5027,False
2012-09-28,4.5,4.51,4.05,4.14,343500.0,-0.1751,-0.1332,-0.042,4.869,5.3937,4.3443,32.2529,4.624,4.8447,-16.0149,-167.9607,16.8379,False
2012-10-01,4.2,4.2895,3.88,3.89,242800.0,-0.2317,-0.1529,-0.0789,4.8155,5.4892,4.1418,29.1524,4.426,4.7967,-14.0381,-192.6499,18.1606,False
2012-10-02,3.94,4.065,3.805,3.84,155100.0,-0.2774,-0.1778,-0.0996,4.7595,5.5517,3.9673,28.564,4.244,4.7407,-20.2957,-203.5445,18.7404,False
2012-10-03,3.89,4.09,3.85,3.94,93300.0,-0.3021,-0.2027,-0.0994,4.6925,5.523,3.862,31.5256,4.082,4.6807,-24.1187,-189.0219,18.4559,False
2012-10-04,3.95,3.95,3.78,3.85,82300.0,-0.3252,-0.2272,-0.098,4.636,5.5318,3.7402,30.3137,3.932,4.6107,-25.8912,-195.7788,19.0085,False
2012-10-05,3.85,3.92,3.62,3.65,86700.0,-0.3555,-0.2528,-0.1027,4.592,5.5854,3.5986,27.7718,3.834,4.506,-21.9124,-205.0125,20.2644,False
2012-10-08,3.66,3.75,3.55,3.64,134700.0,-0.376,-0.2775,-0.0985,4.5435,5.6199,3.4671,27.6477,3.784,4.416,-22.9979,-208.782,20.8108,False
2012-10-09,3.64,3.69,3.22,3.33,206500.0,-0.4125,-0.3045,-0.108,4.476,5.6723,3.2797,24.0721,3.682,4.3067,-23.2848,-229.9742,23.3294,False
2012-10-10,3.37,3.37,3.08,3.15,147600.0,-0.4507,-0.3337,-0.117,4.3915,5.7059,3.0771,22.2796,3.524,4.176,-30.5155,-242.7414,24.3672,False
2012-10-11,3.1801,3.35,3.08,3.32,367800.0,-0.462,-0.3594,-0.1026,4.3125,5.6839,2.9411,27.7256,3.418,4.056,-33.2669,-221.8881,24.3672,False
2012-10-12,3.34,3.68,3.25,3.63,163500.0,-0.4409,-0.3757,-0.0652,4.233,5.5686,2.8974,36.4287,3.414,3.9573,-29.771,-177.9597,20.3945,False
2012-10-15,3.68,3.8682,3.6301,3.8,166000.0,-0.4057,-0.3817,-0.024,4.1735,5.4745,2.8725,40.6293,3.446,3.8853,-25.3243,-141.6176,18.2047,False
2012-10-16,3.84,3.87,3.59,3.62,280500.0,-0.3879,-0.3829,-0.005,4.106,5.3744,2.8376,37.796,3.504,3.81,-24.7082,-142.3724,18.5258,False
2012-10-17,3.67,3.85,3.51,3.76,128800.0,-0.3583,-0.378,0.0197,4.0385,5.2272,2.8498,41.2123,3.626,3.744,-26.6667,-133.3452,19.1696,True
2012-10-18,3.79,3.8089,3.66,3.7,67700.0,-0.3359,-0.3696,0.0337,3.9675,5.0546,2.8804,40.1986,3.702,3.684,-26.8925,-124.7608,19.1696,True
2012-10-19,3.65,3.84,3.4,3.7,163200.0,-0.3145,-0.3586,0.0441,3.897,4.8536,2.9404,40.1986,3.716,3.6547,-26.4368,-126.6005,21.2608,True
2012-10-22,3.7,3.7,3.49,3.51,54700.0,-0.3093,-0.3487,0.0394,3.8285,4.6847,2.9723,36.8991,3.658,3.6293,-28.4333,-128.7185,21.2608,True
2012-10-23,3.48,3.48,3.3,3.42,55300.0,-0.3089,-0.3407,0.0319,3.762,4.5228,3.0012,35.4234,3.618,3.6013,-29.2683,-138.8274,22.7708,True
2012-10-24,3.46,3.59,3.37,3.49,19100.0,-0.2994,-0.3325,0.0331,3.699,4.3175,3.0805,37.5061,3.564,3.5713,-26.4344,-123.6401,21.4001,True
2012-10-25,3.55,3.69,3.53,3.64,42000.0,-0.2766,-0.3213,0.0447,3.651,4.1111,3.1909,41.8145,3.552,3.5573,-23.2848,-104.5719,20.1598,True
2012-10-26,3.63,3.64,3.5,3.51,33000.0,-0.266,-0.3102,0.0442,3.6195,4.0243,3.2147,39.2987,3.514,3.548,-19.2905,-106.3078,20.4079,True
2012-10-31,3.57,3.77,3.4649,3.67,77900.0,-0.2419,-0.2966,0.0547,3.6085,3.9948,3.2222,43.7607,3.546,3.55,-12.111,-93.4074,18.7814,True
2012-11-01,3.74,3.79,3.41,3.5,104700.0,-0.2338,-0.284,0.0502,3.5915,3.9653,3.2177,40.3816,3.562,3.5613,-6.7651,-95.7817,19.2499,True
2012-11-02,3.64,3.64,3.31,3.33,47700.0,-0.2384,-0.2749,0.0365,3.561,3.9151,3.2069,37.2959,3.53,3.5733,-11.0024,-105.1732,20.1035,True
2012-11-05,3.27,3.5065,3.26,3.43,81100.0,-0.2313,-0.2662,0.0349,3.54,3.8722,3.2078,40.1769,3.488,3.5807,-11.2278,-103.368,20.5306,True
2012-11-06,3.6,3.75,3.3,3.52,129900.0,-0.2159,-0.2561,0.0402,3.5335,3.8619,3.2051,42.715,3.49,3.5733,-4.3367,-87.5981,17.4216,True
2012-11-07,3.57,3.57,3.2,3.28,115400.0,-0.2205,-0.249,0.0285,3.5155,3.8578,3.1732,38.097,3.412,3.5387,-4.8,-100.6634,18.3017,True
2012-11-08,3.32,3.72,2.37,2.45,576900.0,-0.2878,-0.2567,-0.0311,3.4715,4.0456,2.8974,27.2007,3.202,3.4607,0.813,-143.1085,25.0448,False
2012-11-09,2.63,2.8,2.492,2.65,502900.0,-0.3213,-0.2697,-0.0517,3.4465,4.1109,2.7821,32.2067,3.066,3.3867,-16.9139,-154.7106,25.0448,False
2012-11-12,2.7,2.7,2.37,2.42,157400.0,-0.3623,-0.2882,-0.0741,3.4015,4.202,2.601,29.6911,2.864,3.3013,-19.403,-160.7267,25.9735,False
2012-11-13,2.43,2.43,2.1,2.21,352000.0,-0.407,-0.3119,-0.095,3.3305,4.2761,2.3849,27.5834,2.602,3.202,-33.9674,-174.7051,27.982,False
2012-11-14,2.86,2.86,2.06,2.11,273100.0,-0.4453,-0.3386,-0.1067,3.246,4.304,2.188,26.6193,2.368,3.1087,-26.0638,-159.1424,22.595,False
2012-11-15,2.11,2.265,1.94,2.0,284100.0,-0.4791,-0.3667,-0.1124,3.165,4.3379,1.9921,25.5661,2.278,3.014,-41.4729,-175.3955,23.5087,False
2012-11-16,2.02,2.2,1.92,1.99,233700.0,-0.5009,-0.3935,-0.1073,3.0765,4.3214,1.8316,25.468,2.146,2.914,-42.8571,-171.0571,23.6615,False
2012-11-19,2.04,2.26,2.02,2.22,215800.0,-0.4939,-0.4136,-0.0803,3.0025,4.2661,1.7389,31.9093,2.106,2.8193,-40.6653,-154.2054,22.9127,False
2012-11-20,2.31,2.65,2.2499,2.59,256100.0,-0.4532,-0.4215,-0.0317,2.947,4.1804,1.7136,40.7371,2.182,2.758,-30.9896,-122.5768,18.1825,False
