date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-03,48.63,48.63,47.64,23.7545992638,829800.0,0.3123,0.1472,0.4595,21.1336,22.521,23.9084,66.217,23.4507,22.6544,7.66,170.9256,12.4886,True
2012-01-04,47.88,48.33,47.58,23.7842000106,828700.0,0.3474,0.1405,0.4879,21.104,22.593,24.082,66.4704,23.5316,22.7817,5.3926,159.0993,12.2901,True
2012-01-05,48.05,48.24,47.58,23.6756639392,787200.0,0.3771,0.1188,0.4959,21.1218,22.6685,24.2152,64.5679,23.6076,22.9077,6.2087,147.4788,12.2901,True
2012-01-06,45.48,47.07,45.2,22.8715103192,2810200.0,0.3881,0.0442,0.4323,21.173,22.704,24.235,52.6135,23.4921,22.987,4.5336,59.4845,4.7104,True
2012-01-09,46.6,47.45,46.4518,23.3845899295,1287000.0,0.3942,0.0243,0.4186,21.2883,22.7844,24.2806,57.9372,23.4941,23.0984,5.8679,99.7845,5.7435,True
2012-01-10,47.85,48.21,47.65,23.7693996372,771900.0,0.4021,0.0316,0.4337,21.3394,22.8651,24.3908,61.4202,23.4971,23.2169,7.1333,137.7188,7.777,True
2012-01-11,48.16,48.52,48.05,23.9124699132,595000.0,0.4121,0.0399,0.452,21.4473,22.967,24.4867,62.6521,23.5227,23.3675,8.8869,146.005,8.595,True
2012-01-12,48.62,48.89,47.86,23.7052646859,840800.0,0.4186,0.0261,0.4447,21.6128,23.0629,24.513,59.6943,23.5286,23.4188,8.2116,136.5759,9.5686,True
2012-01-13,47.4,47.41,46.72,23.231652738,1186400.0,0.4141,-0.018,0.3961,21.8353,23.1404,24.4455,53.5079,23.6007,23.4451,7.0713,79.3584,6.03,False
2012-01-17,47.28,47.95,47.25,23.4832590853,588100.0,0.406,-0.0324,0.3736,22.0942,23.2289,24.3636,56.0976,23.6204,23.4833,7.5836,100.2467,7.4695,False
2012-01-18,47.58,48.63,47.47,23.9914052378,456400.0,0.4033,-0.011,0.3923,22.3,23.3288,24.3577,60.8201,23.6648,23.5375,7.66,125.282,9.2498,False
2012-01-19,49.0,49.16,48.51,23.9963386956,961900.0,0.4032,-0.0004,0.4028,22.7173,23.446,24.1747,60.8639,23.6816,23.5786,9.2202,142.7285,10.613,False
2012-01-20,48.56,48.71,48.03,23.7792665528,717000.0,0.4004,-0.0112,0.3891,22.7853,23.4882,24.1911,57.8174,23.6964,23.6109,4.6177,117.1436,9.1036,False
2012-01-23,48.32,48.32,47.78,23.7249985171,1019700.0,0.3942,-0.0246,0.3697,22.8903,23.5326,24.1749,57.0525,23.7951,23.6293,4.0931,102.6267,8.3207,False
2012-01-24,47.64,48.715,47.43,23.9519375755,1030200.0,0.389,-0.0207,0.3683,22.985,23.5846,24.1843,59.4558,23.8888,23.6678,4.1586,106.3815,9.3657,False
2012-01-25,48.53,50.24,48.44,24.7610246532,939300.0,0.3968,0.0308,0.4276,22.9035,23.6638,24.4242,66.5962,24.0427,23.7349,6.8936,159.0828,13.2481,True
2012-01-26,49.84,50.6,49.62,24.7067566175,891600.0,0.4104,0.0545,0.4648,22.8573,23.7302,24.603,65.7639,24.1848,23.7964,6.5712,171.2315,14.1311,True
2012-01-27,49.85,50.69,49.85,24.7758250266,879600.0,0.4271,0.0671,0.4942,22.8445,23.8042,24.7638,66.3376,24.3841,23.8697,7.1444,167.8462,14.3528,True
2012-01-30,49.71,50.19,49.41,24.672222413,818600.0,0.4424,0.061,0.5034,22.8498,23.8654,24.8809,64.5979,24.5736,23.9898,5.4412,145.7768,12.9039,True
2012-01-31,50.27,50.4,49.56,24.6771558708,522700.0,0.4549,0.0502,0.5052,22.8826,23.9305,24.9784,64.6452,24.7186,24.0759,5.9046,143.0153,13.4362,True
2012-02-01,50.24,50.54,50.02,24.7610246532,1073000.0,0.4655,0.0421,0.5075,22.8764,23.9808,25.0852,65.4852,24.7186,24.142,3.9276,145.6166,13.7935,True
2012-02-02,50.48,50.7022,50.21,24.8350265201,1004100.0,0.4743,0.0352,0.5095,22.8728,24.0333,25.1939,66.2435,24.7443,24.2035,4.9083,144.2696,14.2106,True
2012-02-03,50.69,50.84,50.6,25.0274313739,697800.0,0.4835,0.037,0.5206,22.8759,24.1009,25.3259,68.1902,24.7946,24.2917,5.3897,146.9466,14.5677,True
2012-02-06,50.44,50.72,50.31,24.8794276402,326800.0,0.4891,0.0224,0.5115,23.0703,24.2013,25.3324,65.0962,24.836,24.4015,7.7544,132.9463,13.556,True
2012-02-07,50.29,50.68,50.22,24.9386291337,385400.0,0.492,0.0113,0.5033,23.1698,24.279,25.3883,65.762,24.8883,24.4986,6.8072,126.9674,13.2404,True
2012-02-08,50.71,51.53,50.48,25.4122410816,901300.0,0.4994,0.0296,0.5289,23.1744,24.3612,25.5479,70.5732,25.0186,24.5933,6.8865,141.6188,15.4961,True
2012-02-09,51.68,51.99,51.35,25.6145128511,670800.0,0.5113,0.0478,0.5591,23.1605,24.4463,25.7321,72.351,25.1744,24.7012,7.1517,150.8965,16.6882,True
2012-02-10,51.1,51.66,51.08,25.3925072505,807700.0,0.5208,0.0379,0.5587,23.2291,24.5306,25.8322,67.5517,25.2475,24.8087,5.6658,134.3597,15.7138,True
2012-02-13,51.78,52.0,51.14,25.2938380946,659400.0,0.5254,0.0186,0.5441,23.4377,24.6337,25.8298,65.4832,25.3303,24.9133,9.7243,130.9068,16.6582,True
2012-02-14,51.16,51.9,51.11,25.5998318433,666100.0,0.5305,0.0203,0.5509,23.596,24.7396,25.8831,68.6708,25.4626,25.0232,8.28,130.2155,16.5476,True
2012-02-15,52.0,52.3,51.57,25.5850256942,573900.0,0.5342,0.0146,0.5487,23.6732,24.8193,25.9653,68.3435,25.4971,25.0781,7.5888,133.0562,17.607,True
2012-02-16,51.87,52.27,51.58,25.7133456533,372500.0,0.5375,0.0135,0.551,23.7613,24.9051,26.0489,69.6848,25.5169,25.1452,6.3678,130.7608,17.607,True
2012-02-17,52.37,52.37,51.96,25.7232164194,235600.0,0.5395,0.0078,0.5473,23.9295,25.0023,26.0751,69.7903,25.5831,25.2084,7.5558,131.155,17.8765,True
2012-02-21,52.16,52.22,51.45,25.4567057351,292500.0,0.535,-0.018,0.517,24.1746,25.0889,26.0031,63.4072,25.6156,25.2607,8.1134,116.7706,15.9099,False
2012-02-22,51.65,52.04,51.4,25.4320288198,356400.0,0.5251,-0.0398,0.4853,24.402,25.1629,25.9238,62.8371,25.5821,25.311,6.8671,111.3834,15.7174,False
2012-02-23,51.69,51.99,51.32,25.6294441416,304100.0,0.5142,-0.0435,0.4707,24.443,25.2063,25.9696,65.4964,25.5909,25.3689,3.5237,111.2948,15.4056,False
2012-02-24,52.07,52.5001,51.93,25.6343795246,454300.0,0.5022,-0.0479,0.4543,24.5038,25.2527,26.0016,65.5624,25.5752,25.4222,3.7956,119.1863,16.8584,False
