date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-01-20,33.59,33.74,33.26,26.5109890549,11312300.0,0.7493,0.3508,0.3985,21.6281,26.4404,24.0343,71.213,25.7221,24.3493,14.4117,226.5518,16.1994,True
2012-01-23,33.39,33.798,33.005,26.1563533511,14837600.0,0.788,0.3116,0.4764,21.7487,26.6847,24.2167,66.957,26.0752,24.5516,14.842,201.2312,14.929,True
2012-01-24,33.34,33.48,32.46,25.6283401922,20920600.0,0.7672,0.2327,0.5346,21.8366,26.8348,24.3357,61.1289,26.3045,24.7307,13.1081,160.2328,12.2614,True
2012-01-25,32.56,32.9,32.0,25.8490024079,17599800.0,0.7598,0.1802,0.5796,21.911,27.0024,24.4567,62.5871,26.1595,24.8907,10.4397,141.6178,10.0685,True
2012-01-26,32.87,33.23,32.24,25.5022474975,12689000.0,0.7177,0.1104,0.6072,22.0327,27.0957,24.5642,58.869,25.9294,25.0373,11.5288,140.552,11.3321,True
2012-01-27,31.98,32.83,31.95,25.833240821,8431400.0,0.7029,0.0765,0.6264,22.2411,27.1797,24.7104,61.2248,25.7938,25.1949,11.3775,136.2731,10.7402,True
2012-01-30,32.18,32.295,32.0,25.492600111,9225100.0,0.6561,0.0238,0.6323,22.4501,27.2078,24.8289,57.5878,25.6611,25.3298,10.57,112.857,10.7402,True
2012-01-31,32.4,32.47,31.995,25.6510376506,12000000.0,0.6246,-0.0061,0.6308,22.7266,27.2023,24.9644,58.8073,25.6656,25.4553,10.8671,114.304,11.4342,False
2012-02-01,32.7899,33.19,32.45,26.0312877454,11813400.0,0.6232,-0.0061,0.6292,22.9233,27.2637,25.0935,61.6432,25.7021,25.5794,11.4329,138.3411,14.2243,False
2012-02-02,32.85,33.2,32.84,26.189725285,9876300.0,0.6276,-0.0013,0.6289,23.1821,27.2936,25.2379,62.7869,25.8396,25.7108,12.1784,144.0892,14.2625,False
2012-02-03,33.34,34.09,33.25,26.8789285819,14258500.0,0.6788,0.0399,0.6389,23.4027,27.414,25.4084,67.3274,26.0487,25.8549,14.6077,173.7594,17.5803,True
2012-02-06,33.74,33.78,33.3,26.6254285187,8693800.0,0.6911,0.0417,0.6493,23.7042,27.4281,25.5662,64.2385,26.2753,26.0038,14.0232,157.1192,17.5803,True
2012-02-07,33.3601,33.62,33.07,26.4828347331,9965500.0,0.6814,0.0256,0.6557,23.9946,27.4092,25.7019,62.5101,26.4416,26.1373,11.6461,139.2606,16.3767,True
2012-02-08,33.43,34.06,33.41,26.8155535661,8367800.0,0.6926,0.0295,0.6631,24.2143,27.454,25.8341,64.873,26.5985,26.1534,11.5593,148.5354,18.0095,True
2012-02-09,33.95,33.99,33.68,26.7759441812,6474900.0,0.6903,0.0217,0.6685,24.4743,27.4498,25.9621,64.3556,26.7157,26.1616,11.0045,143.6928,18.0095,True
2012-02-10,33.4,33.51,33.19,26.4273815943,5420100.0,0.6528,-0.0126,0.6654,24.6626,27.4324,26.0475,59.855,26.6254,26.156,7.1396,118.0963,15.4141,False
2012-02-13,33.5,33.77,32.75,26.344201886,7301600.0,0.6094,-0.0448,0.6542,24.9839,27.3065,26.1452,58.8035,26.5692,26.1685,8.2463,109.3763,13.1417,False
2012-02-14,33.09,33.24,32.71,26.3164753166,7100000.0,0.5662,-0.0704,0.6366,25.3609,27.1129,26.2369,58.4369,26.5359,26.2144,6.4796,97.6834,12.9362,False
2012-02-15,33.01,33.54,33.01,26.4669909792,8579500.0,0.5379,-0.0789,0.6169,25.3626,27.1005,26.2316,59.8914,26.4662,26.2556,-0.3404,103.1353,14.1262,False
2012-02-16,33.47,34.21,33.3,26.863084828,8888700.0,0.5413,-0.0605,0.6017,25.3483,27.1359,26.2421,63.4934,26.4836,26.3463,0.8456,116.1131,16.7117,False
2012-02-17,34.08,34.15,33.46,26.6095847647,7659300.0,0.5175,-0.0674,0.5849,25.3463,27.1478,26.247,59.8102,26.5201,26.3981,1.7428,108.3706,16.7117,False
2012-02-21,33.63,33.63,33.2,26.3640065785,6831500.0,0.4733,-0.0892,0.5626,25.3563,27.1585,26.2574,56.4135,26.524,26.4562,0.0217,91.219,15.3183,False
2012-02-22,33.18,33.41,32.9,26.1105065152,6498700.0,0.4131,-0.1195,0.5327,25.4243,27.1387,26.2815,53.0796,26.4828,26.4868,0.3111,77.928,13.7251,False
2012-02-23,33.02,33.5,32.54,26.3956940864,5775600.0,0.384,-0.1189,0.503,25.4739,27.1437,26.3088,56.1997,26.4686,26.5111,2.3545,76.021,11.8395,False
2012-02-24,33.48,33.6,33.29,26.3956940864,3609200.0,0.3568,-0.1169,0.4737,25.6049,27.1022,26.3535,56.1997,26.3751,26.5248,1.6406,83.2703,12.2505,False
2012-02-27,33.06,33.4,32.8,26.2293346699,5986000.0,0.3182,-0.1244,0.4426,25.6607,27.086,26.3733,53.8038,26.299,26.4815,1.7362,69.6242,9.702,False
2012-02-28,33.19,33.84,33.14,26.7125691654,6378700.0,0.3229,-0.0958,0.4187,25.8336,27.035,26.4343,59.2151,26.3688,26.4873,4.784,83.6255,11.5361,False
2012-02-29,33.73,33.73,33.29,26.4194597173,7069700.0,0.2994,-0.0954,0.3948,25.9908,26.9547,26.4727,55.0262,26.4306,26.4831,3.8805,76.8596,11.5361,False
2012-03-01,33.49,33.56,33.0,26.2768659317,6630800.0,0.2663,-0.1028,0.3691,26.0374,26.9327,26.485,53.0694,26.4068,26.4472,1.1148,66.8698,10.013,False
2012-03-02,33.13,33.35,32.78,25.9996002375,4721800.0,0.2152,-0.1231,0.3383,25.9962,26.9548,26.4755,49.4089,26.3276,26.3954,0.4518,55.6747,8.8661,False
2012-03-05,32.71,32.78,32.12,25.500521988,7860800.0,0.1329,-0.1644,0.2972,25.7997,27.0135,26.4066,43.608,26.1818,26.3336,-3.8428,32.1213,5.5104,False
2012-03-06,31.86,32.18,31.66,25.4450688492,8830100.0,0.0624,-0.1878,0.2503,25.6198,27.0754,26.3476,43.0069,25.9283,26.2737,-4.7365,17.5977,3.2545,False
2012-03-07,32.12,32.76,32.06,25.8649283289,7537300.0,0.0401,-0.1682,0.2082,25.5625,27.0709,26.3167,48.739,25.8174,26.2436,-2.558,34.8162,5.836,False
2012-03-08,32.95,32.98,32.56,25.825318944,7189900.0,0.0189,-0.1515,0.1704,25.5205,27.0138,26.2672,48.2485,25.7271,26.2008,-3.1709,41.6313,6.7954,False
2012-03-09,32.2,32.49,32.02,25.5638970038,12369800.0,-0.0188,-0.1513,0.1325,25.4385,26.9746,26.2066,45.043,25.6399,26.1142,-4.4131,23.2253,4.1468,False
2012-03-12,32.31,32.44,31.9,25.2787094326,7050900.0,-0.0708,-0.1627,0.0919,25.2894,27.0089,26.1491,41.7973,25.5956,26.0255,-3.1931,14.7112,3.5663,False
2012-03-13,32.07,32.3,31.94,25.5797407578,10321000.0,-0.0867,-0.1429,0.0562,25.2218,27.0,26.1109,46.1831,25.6225,25.9732,-4.353,16.4306,3.5663,False
2012-03-14,32.21,32.64,31.92,25.3579282024,8657900.0,-0.1159,-0.1377,0.0217,25.1215,27.0044,26.063,43.5899,25.5211,25.923,-1.8051,14.9605,5.1159,False
2012-03-15,32.1,32.82,32.04,25.9679127296,8428200.0,-0.0888,-0.0885,-0.0004,25.1144,26.9616,26.038,51.5976,25.5496,25.8945,-2.1467,28.8942,5.9297,False
2012-03-16,32.78,33.3,32.69,26.1580377771,11965600.0,-0.0514,-0.0408,-0.0106,25.1573,26.8482,26.0028,53.7883,25.6685,25.8787,-2.66,48.5451,8.068,False
2012-03-19,33.0,33.93,32.96,26.8076316892,10684400.0,0.0303,0.0327,-0.0024,25.135,26.8903,26.0127,60.3566,25.9743,25.9172,-0.6442,75.4381,10.7751,True
2012-03-20,33.65,33.71,33.26,26.6016628878,7977800.0,0.0775,0.064,0.0136,25.1221,26.927,26.0246,57.5764,26.1786,25.9098,0.2379,71.93,10.7751,True
2012-03-21,33.57,33.76,33.23,26.6254285187,8250000.0,0.1156,0.0816,0.034,25.1109,26.9897,26.0503,57.8166,26.4321,25.9236,1.0476,72.0275,10.9902,True
2012-03-22,33.31,33.51,33.17,26.4828347331,5536800.0,0.1327,0.079,0.0537,25.1081,27.0012,26.0547,55.786,26.5351,25.9373,0.0299,61.963,10.6646,True
2012-03-23,33.49,33.56,33.01,26.4194597173,6339900.0,0.1395,0.0686,0.0709,25.1075,27.0042,26.0558,54.8684,26.5874,25.9653,-0.119,57.1842,9.7911,True
2012-03-26,33.57,34.0,33.45,26.9264598438,5712600.0,0.1837,0.0903,0.0934,25.0709,27.1105,26.0907,60.4454,26.6112,26.0603,1.7964,87.2931,11.7393,True
2012-03-27,34.02,34.24,33.87,26.8313973201,5476200.0,0.2087,0.0922,0.1165,25.0611,27.1321,26.0966,58.9812,26.6571,26.1528,1.182,98.3727,12.7842,True
2012-03-28,33.73,33.83,33.06,26.4036159633,6509900.0,0.1917,0.0602,0.1315,25.0613,27.1304,26.0959,52.8131,26.6128,26.1887,0.2965,57.9733,8.3806,True
2012-03-29,33.16,33.35,32.99,26.2927096857,7208600.0,0.1674,0.0287,0.1387,25.0615,27.1318,26.0966,51.3222,26.5747,26.2198,-0.6257,39.795,8.01,True
2012-03-30,33.32,33.9,33.26,26.6254285187,7785300.0,0.173,0.0274,0.1456,25.0689,27.187,26.1279,55.3716,26.6159,26.2906,1.6492,70.2494,10.4567,True
2012-04-02,33.14,33.41,32.95,26.344201886,7410300.0,0.153,0.0059,0.1471,25.1478,27.1924,26.1701,51.4924,26.4995,26.3616,1.9219,36.9917,8.798,True
2012-04-03,33.2,33.2,32.5275,25.825318944,7874900.0,0.0941,-0.0423,0.1365,25.2082,27.1701,26.1891,45.2284,26.2983,26.378,3.1697,-5.64,6.5798,False
2012-04-04,32.31,32.32,31.9,25.4767563571,10254000.0,0.0192,-0.0938,0.113,25.1493,27.1901,26.1697,41.5872,26.1129,26.3859,-1.3431,-76.4093,3.3958,False
2012-04-05,32.09,32.65,32.0,25.7144126664,6112500.0,-0.0208,-0.1071,0.0862,25.1352,27.1932,26.1642,44.8317,25.9972,26.369,-1.0006,-58.7944,4.915,False
2012-04-09,31.95,32.29,31.85,25.4609126031,5092200.0,-0.0721,-0.1267,0.0546,25.1171,27.201,26.159,42.1557,25.7643,26.3225,-0.6156,-97.5928,4.1579,False
