date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-05-16,199.42,201.35,198.18,145.798472408,5001000.0,-0.1167,-0.5487,-0.432,147.6145,152.1045,143.1245,42.7443,145.9926,148.2956,-0.9166,-50.5201,5.4057,False
2012-05-17,199.67,200.79,197.64,144.455313196,5626300.0,-0.236,-0.713,-0.4771,147.586,152.1481,143.0238,38.5014,145.597,147.9634,0.1874,-75.7171,4.6576,False
2012-05-18,198.78,198.78,195.16,142.988057754,5737100.0,-0.3789,-0.9507,-0.5718,147.4808,152.3544,142.6072,34.494,144.8247,147.4737,-0.2505,-123.6716,1.2998,False
2012-05-21,195.98,197.93,194.63,144.360416078,3831700.0,-0.5064,-1.0166,-0.5102,147.4798,152.3559,142.6038,40.6814,144.5794,147.0625,-0.1682,-119.9856,0.5983,False
2012-05-22,198.04,198.26,196.06,143.674236916,3567100.0,-0.6274,-1.1114,-0.484,147.3944,152.4702,142.3187,38.722,144.2553,146.561,-1.6711,-114.4498,1.0323,False
2012-05-23,195.53,196.49,193.2,143.163252434,4100000.0,-0.7447,-1.2138,-0.4691,147.1537,152.543,141.7645,37.289,143.7283,146.0224,-3.1278,-150.8525,2.7109,False
2012-05-24,195.99,196.28,194.0,143.141353099,3569300.0,-0.8521,-1.2819,-0.4297,146.8389,152.3908,141.287,37.2258,143.4655,145.5222,-4.4139,-145.3826,2.7109,False
2012-05-25,195.11,196.0,194.0,141.834692779,2901900.0,-0.9667,-1.4249,-0.4582,146.414,152.1296,140.6984,33.5837,143.2348,145.0439,-5.449,-157.581,2.7109,False
2012-05-29,195.22,198.08,195.22,143.411444897,3618500.0,-1.0523,-1.3949,-0.3426,146.0581,151.5879,140.5283,41.0416,143.045,144.7308,-4.3491,-118.0381,0.1195,False
2012-05-30,194.8,195.47,193.77,142.002587681,3602500.0,-1.1354,-1.4679,-0.3324,145.5984,150.8653,140.3315,37.0579,142.7107,144.3925,-6.0472,-154.3613,1.799,False
2012-05-31,194.1,194.93,192.0,140.812723814,9287500.0,-1.229,-1.6033,-0.3743,145.077,150.0634,140.0905,34.0657,142.2406,143.9872,-6.0103,-176.1844,4.0807,False
2012-06-01,190.12,191.72,188.6,138.024208496,5206400.0,-1.3659,-1.9135,-0.5476,144.4459,149.644,139.2479,28.3235,141.2171,143.4265,-7.8457,-234.0585,8.2452,False
2012-06-04,188.34,189.38,187.0,137.630020466,4624500.0,-1.526,-2.1662,-0.6402,143.877,149.4313,138.3226,27.6184,140.3762,142.8119,-8.1749,-245.6834,10.1129,False
2012-06-05,187.92,189.85,187.56,138.111805835,3556500.0,-1.681,-2.3011,-0.6201,143.3771,149.1146,137.6397,29.9036,139.3163,142.3136,-6.8951,-219.8238,9.4474,False
2012-06-06,190.78,194.0,190.02,141.608399651,3641300.0,-1.7651,-2.1016,-0.3365,143.1038,148.6272,137.5803,43.7201,139.2374,142.0678,-4.4617,-146.4977,3.8133,False
2012-06-07,195.28,195.8299,193.94,141.936889676,3701100.0,-1.7911,-1.8951,-0.104,142.8559,148.1155,137.5964,44.815,139.4623,141.8104,-3.5321,-106.7917,1.4711,False
2012-06-08,193.71,195.14,192.7,142.447874158,2479200.0,-1.7671,-1.671,0.0961,142.6566,147.6544,137.6589,46.5481,140.347,141.6765,-3.9902,-108.3547,2.9796,True
2012-06-11,196.6,196.7,192.37,140.52803246,3273300.0,-1.7396,-1.6296,0.11,142.3406,147.0276,137.6536,41.3238,140.9266,141.5125,-2.6816,-110.5784,1.0012,True
2012-06-12,192.14,194.67,192.14,142.017187237,3023700.0,-1.6836,-1.4597,0.2239,142.1621,146.6066,137.7175,46.3298,141.7077,141.3563,-3.0093,-106.9448,1.2855,True
2012-06-13,194.36,195.19,192.345,140.958719381,3247700.0,-1.6258,-1.3944,0.2313,141.9453,146.1753,137.7153,43.5033,141.5777,141.1753,-3.1161,-106.0091,0.6211,True
2012-06-14,193.0,195.83,192.74,142.418675045,3585000.0,-1.5428,-1.2109,0.3319,141.7763,145.6304,137.9222,48.1758,141.6741,141.1256,-2.7415,-87.236,0.1984,True
2012-06-15,196.08,199.27,195.4,145.338586373,6389000.0,-1.3983,-0.8204,0.5779,141.8205,145.814,137.8269,55.9776,142.2522,141.2721,-0.757,-35.8722,4.4519,True
2012-06-18,197.57,199.64,197.17,144.747304329,3378900.0,-1.2291,-0.5523,0.6768,141.9084,146.0748,137.7421,54.2071,143.0961,141.4663,0.4326,-27.9976,4.8953,True
2012-06-19,198.83,199.99,198.8,145.214490142,3297600.0,-1.043,-0.2987,0.7444,141.9511,146.233,137.6692,55.4013,143.7356,141.5865,1.0408,-13.7845,5.3179,True
2012-06-20,198.7,199.74,197.5,145.104993467,3378200.0,-0.8555,-0.1053,0.7502,142.0227,146.4622,137.5831,55.0408,144.5648,141.7933,0.7465,-20.8061,3.5793,True
2012-06-21,199.07,199.45,193.19,141.170412952,4316600.0,-0.7377,-0.2665,0.4712,141.923,146.3451,137.5009,44.0157,144.3152,141.8172,1.5064,-70.0904,1.882,True
2012-06-22,193.87,194.88,193.22,141.39670608,8823000.0,-0.6645,-0.3716,0.2928,141.8358,146.2271,137.4445,44.6983,143.5268,142.042,-0.7133,-89.3723,1.882,True
2012-06-25,192.48,193.39,191.68,140.783524701,3211600.0,-0.6313,-0.4987,0.1326,141.7832,146.1984,137.3681,43.1702,142.734,142.2522,-1.3316,-106.0637,3.7571,True
2012-06-26,193.54,193.68,190.75,140.119244874,3435900.0,-0.6342,-0.6456,-0.0114,141.6186,146.0242,137.2131,41.5224,141.715,142.3861,-2.2213,-110.6982,4.8736,False
2012-06-27,192.14,193.7,190.9,140.885721597,2762700.0,-0.6458,-0.6922,-0.0464,141.5628,145.9757,137.1498,44.1574,140.8711,142.3379,-0.9055,-101.3406,4.847,False
2012-06-28,191.23,192.08,188.9,139.717757066,3967300.0,-0.6794,-0.8139,-0.1345,141.508,145.9836,137.0325,41.1315,140.5806,142.1899,-1.4621,-125.3573,7.2396,False
2012-06-29,194.55,195.81,192.41,142.769064404,5259600.0,-0.6749,-0.6566,0.0182,141.7453,145.9519,137.5386,50.6059,140.8551,142.2114,2.1333,-61.6852,2.3581,True
2012-07-02,196.36,197.2,194.85,142.951558862,2827000.0,-0.6422,-0.5114,0.1308,142.0113,145.7951,138.2276,51.1101,141.2887,142.3729,4.1293,-37.7734,0.6223,True
2012-07-03,195.46,196.34,194.91,143.024556646,1450400.0,-0.5909,-0.3859,0.205,142.257,145.6095,138.9044,51.323,141.8697,142.4401,3.4185,-39.8835,0.6223,True
2012-07-05,194.88,196.85,193.63,142.557370833,2690200.0,-0.5368,-0.3205,0.2163,142.3044,145.6458,138.9631,49.8346,142.2041,142.5467,1.4691,-46.0616,2.2017,True
2012-07-06,193.92,193.94,189.74,139.725056844,4952900.0,-0.5278,-0.4915,0.0362,142.1938,145.7179,138.6698,41.9348,142.2055,142.3671,-0.9651,-102.4264,6.7806,True
2012-07-09,190.76,190.9991,188.05,138.454895416,3988100.0,-0.5665,-0.7212,-0.1548,141.9942,145.8727,138.1157,38.9668,141.3427,141.9082,-2.122,-133.2383,8.6698,False
2012-07-10,190.3,191.14,185.6,135.965671009,4690300.0,-0.6715,-1.0916,-0.4201,141.7661,146.4215,137.1106,33.9251,139.9455,141.3227,-2.8266,-158.5542,11.3193,False
2012-07-11,186.22,187.36,183.51,135.228393399,5456100.0,-0.8228,-1.4281,-0.6053,141.4266,146.8808,135.9725,32.5871,138.3863,140.657,-3.7551,-187.8291,13.4964,False
2012-07-12,184.25,184.39,181.85,133.651641281,4931300.0,-1.0185,-1.8012,-0.7828,141.0613,147.4847,134.6379,29.8862,136.6051,139.8934,-5.5331,-215.3105,15.1784,False
2012-07-13,183.46,186.33,183.03,135.783176551,3933000.0,-1.1954,-1.903,-0.7076,140.7295,147.5136,133.9455,37.401,135.8168,139.5343,-4.8511,-174.4845,12.5769,False
2012-07-16,185.58,186.1,184.58,134.892603596,3144400.0,-1.3628,-2.0322,-0.6694,140.2072,147.099,133.3154,35.6887,135.1043,139.1007,-6.6091,-165.2865,12.5769,False
