date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2014-01-29,503.95,507.37,498.62,15.9309508696,17957500.0,-0.1432,-0.1907,-0.0475,18.2029,17.2544,16.3059,32.806,16.9251,17.1964,-9.4128,-169.0877,11.0111,False
2014-01-30,502.54,506.5,496.7,15.9001547429,24232200.0,-0.1766,-0.2683,-0.0917,18.2331,17.157,16.0809,32.5445,16.5663,17.1038,-9.7598,-169.9448,11.5827,False
2014-01-31,495.18,501.53,493.55,15.9261787426,16599900.0,-0.1858,-0.324,-0.1382,18.2542,17.0734,15.8927,33.0279,16.277,17.0276,-9.9636,-173.8057,12.5204,False
2014-02-03,502.61,507.73,499.3,15.9557659304,14338000.0,-0.1787,-0.3616,-0.1828,18.2853,17.0107,15.7361,33.6074,15.9654,16.961,-8.3023,-151.4745,10.1816,False
2014-02-04,505.85,509.46,502.76,16.1867368806,13452900.0,-0.1485,-0.3684,-0.22,18.2703,16.9548,15.6393,38.0882,15.98,16.9038,-6.8288,-131.852,9.5356,False
2014-02-05,506.56,515.28,506.2519,16.3076307664,11726600.0,-0.112,-0.36,-0.248,18.2515,16.9111,15.5708,40.3461,16.0553,16.8321,-5.6195,-113.9611,7.3815,False
2014-02-06,510.06,513.5,507.81,16.4021188824,9205900.0,-0.075,-0.3417,-0.2667,18.2128,16.8668,15.5207,42.1138,16.1557,16.7435,-5.3164,-101.9091,6.9127,False
2014-02-07,521.38,522.9299,517.38,16.6315840487,13224300.0,-0.0308,-0.3052,-0.2744,18.1913,16.8449,15.4985,46.2577,16.2968,16.6767,-3.8068,-68.8897,3.4969,False
2014-02-10,518.66,531.99,518.0,16.9295367263,12341400.0,0.02,-0.2494,-0.2694,18.1896,16.8436,15.4976,51.1253,16.4915,16.6586,-1.0437,-45.3772,0.3639,True
2014-02-11,530.61,537.75,529.5,17.1526011906,10080600.0,0.0675,-0.185,-0.2525,18.1991,16.849,15.499,54.4356,16.6847,16.6376,-0.2857,-15.1158,1.5627,True
2014-02-12,536.95,539.56,533.24,17.1513210502,11003600.0,0.096,-0.1325,-0.2285,18.1729,16.8375,15.502,54.4129,16.8534,16.6113,-0.7241,-8.7424,2.1629,True
2014-02-13,534.66,544.85,534.2,17.4236709199,10978500.0,0.1283,-0.0682,-0.1965,18.1225,16.8221,15.5216,58.3638,17.0577,16.5932,-2.1613,10.2462,3.9042,True
2014-02-14,542.47,545.9799,541.21,17.4095893755,9747300.0,0.1427,-0.0181,-0.1608,18.0869,16.8109,15.5349,58.085,17.2133,16.5957,-1.3686,19.5345,4.2743,True
2014-02-18,546.0,551.19,545.61,17.4735963954,9294700.0,0.1498,0.0264,-0.1234,18.1225,16.8245,15.5265,59.0381,17.3222,16.593,0.4348,34.5005,5.9724,True
2014-02-19,544.75,546.89,534.35,17.1977261396,11206000.0,0.1299,0.039,-0.0909,18.0874,16.811,15.5346,53.4275,17.3312,16.6653,0.0136,-2.3009,1.9959,True
2014-02-20,532.99,537.0,529.0,16.9986643078,10923500.0,0.0987,0.0325,-0.0662,18.0186,16.7836,15.5487,49.7706,17.3006,16.7365,-3.0674,-36.3809,0.1795,True
2014-02-21,532.7927,534.57,524.6,16.8098435991,9956600.0,0.0626,0.012,-0.0506,17.902,16.7394,15.5768,46.5337,17.1779,16.7971,-3.369,-57.5045,1.2907,True
2014-02-24,523.15,529.9199,522.42,16.883451672,10318200.0,0.0418,0.0017,-0.0401,17.8432,16.7149,15.5866,47.9477,17.0727,16.8609,-4.0579,-65.5509,2.0152,True
2014-02-25,529.38,529.565,521.0,16.7077524024,8284000.0,0.0157,-0.0204,-0.0362,17.7419,16.6746,15.6074,44.9102,16.9195,16.9111,-3.9804,-76.2014,2.4893,True
2014-02-26,523.61,525.0,515.6,16.5570158705,9864900.0,-0.0107,-0.0496,-0.0389,17.7345,16.6968,15.6591,42.439,16.7913,16.9357,2.5484,-94.9886,4.2805,False
2014-02-27,517.14,528.78,516.05,16.8872920932,10781500.0,-0.0053,-0.0455,-0.0402,17.7232,16.7446,15.766,49.0241,16.7691,16.9744,4.84,-70.1556,2.9345,False
2014-02-28,529.08,532.75,522.12,16.8415270739,13284600.0,-0.0042,-0.0454,-0.0412,17.6906,16.7917,15.8927,48.2053,16.7754,17.0037,5.8086,-55.1353,1.5348,False
2014-03-03,523.42,530.65,522.81,16.8901724091,8527900.0,0.0002,-0.0409,-0.0412,17.6467,16.8399,16.0331,49.1721,16.7768,17.0209,6.4359,-52.6836,1.5348,True
2014-03-04,531.0,532.64,527.77,17.0015446237,9255000.0,0.0105,-0.0281,-0.0386,17.5914,16.8922,16.193,51.3973,16.8355,17.0257,5.5305,-35.1755,0.824,True
2014-03-05,530.92,534.75,529.13,17.0373885548,7145100.0,0.019,-0.0149,-0.0338,17.5563,16.9347,16.3131,52.1202,16.9316,17.018,5.5887,-26.1281,0.0687,True
